1,8-4 (66.7%),5-7-0  (41.7%),7-6 (53.8%),4-9-0 (30.8%),5-3 (62.5%),2-6-0 (25.0%),1-3 (25.0%),1-3-0 (25.0%),--
2,9-3 (75.0%),7-4-1  (63.6%),5-8 (38.5%),4-8-1 (33.3%),4-2 (66.7%),3-3-0 (50.0%),1-5 (16.7%),1-4-1 (20.0%),--
3,11-1 (91.7%),7-5-0  (58.3%),7-6 (53.8%),7-6-0 (53.8%),6-0 (100.%),4-2-0 (66.7%),1-5 (16.7%),3-3-0 (50.0%),--
4,9-4 (69.2%),5-8-0  (38.5%),8-5 (61.5%),6-7-0 (46.2%),7-3 (70.0%),4-6-0 (40.0%),1-2 (33.3%),2-1-0 (66.7%),--
5,9-3 (75.0%),6-6-0  (50.0%),9-4 (69.2%),8-5-0 (61.5%),8-2 (80.0%),6-4-0 (60.0%),1-1 (50.0%),2-0-0 (100.%),--
6,11-1 (91.7%),7-4-1  (63.6%),5-8 (38.5%),8-4-1 (66.7%),5-1 (83.3%),5-1-0 (83.3%),0-6 (0.0%),3-2-1 (60.0%),--
7,11-2 (84.6%),9-4-0  (69.2%),5-8 (38.5%),5-8-0 (38.5%),4-1 (80.0%),3-2-0 (60.0%),1-7 (12.5%),2-6-0 (25.0%),--
8,9-4 (69.2%),6-7-0  (46.2%),6-7 (46.2%),7-6-0 (53.8%),5-3 (62.5%),4-4-0 (50.0%),1-4 (20.0%),3-2-0 (60.0%),--
9,11-2 (84.6%),5-8-0  (38.5%),8-5 (61.5%),8-5-0 (61.5%),7-1 (87.5%),4-4-0 (50.0%),1-4 (20.0%),4-1-0 (80.0%),--
10,10-3 (76.9%),8-5-0  (61.5%),8-5 (61.5%),8-5-0 (61.5%),6-1 (85.7%),5-2-0 (71.4%),2-4 (33.3%),3-3-0 (50.0%),--
11,10-3 (76.9%),5-8-0  (38.5%),10-3 (76.9%),7-6-0 (53.8%),8-1 (88.9%),4-5-0 (44.4%),2-2 (50.0%),3-1-0 (75.0%),--
12,9-4 (69.2%),5-8-0  (38.5%),6-7 (46.2%),6-7-0 (46.2%),4-2 (66.7%),2-4-0 (33.3%),2-5 (28.6%),4-3-0 (57.1%),--
13,10-3 (76.9%),9-4-0  (69.2%),10-3 (76.9%),9-4-0 (69.2%),8-1 (88.9%),7-2-0 (77.8%),2-2 (50.0%),2-2-0 (50.0%),--
14,9-4 (69.2%),6-7-0  (46.2%),7-6 (53.8%),4-9-0 (30.8%),6-3 (66.7%),3-6-0 (33.3%),1-3 (25.0%),1-3-0 (25.0%),--
Playoffs,5-2 (71.4%),2-5-0  (28.6%),4-2 (66.7%),2-4-0 (33.3%),4-2 (66.7%),2-4-0 (33.3%),0-0,0-0-0,1-0-0 (100.%)
