Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,3-3 (50.0%),3-3-0  (50.0%),5-1 (83.3%),5-1-0 (83.3%),3-1 (75.0%),3-1-0 (75.0%),2-0 (100.%),2-0-0 (100.%),--
2,1-5 (16.7%),1-5-0  (16.7%),3-3 (50.0%),3-3-0 (50.0%),1-3 (25.0%),1-3-0 (25.0%),2-0 (100.%),2-0-0 (100.%),--
3,4-2 (66.7%),2-3-1  (40.0%),3-3 (50.0%),2-3-1 (40.0%),3-2 (60.0%),2-3-0 (40.0%),0-1 (0.0%),0-0-1,--
4,4-1 (80.0%),4-1-0  (80.0%),2-4 (33.3%),2-4-0 (33.3%),2-1 (66.7%),2-1-0 (66.7%),0-2 (0.0%),0-2-0 (0.0%),--
5,4-2 (66.7%),4-2-0  (66.7%),3-2 (60.0%),3-2-0 (60.0%),3-2 (60.0%),3-2-0 (60.0%),0-0,0-0-0,--
6,3-3 (50.0%),2-4-0  (33.3%),4-2 (66.7%),3-3-0 (50.0%),3-2 (60.0%),2-3-0 (40.0%),1-0 (100.%),1-0-0 (100.%),--
7,3-1 (75.0%),2-3-0  (40.0%),4-1 (80.0%),3-3-0 (50.0%),3-0 (100.%),2-2-0 (50.0%),1-0 (100.%),1-0-0 (100.%),--
8,4-2 (66.7%),3-3-0  (50.0%),3-3 (50.0%),4-2-0 (66.7%),2-1 (66.7%),2-1-0 (66.7%),1-2 (33.3%),2-1-0 (66.7%),--
9,5-1 (83.3%),4-2-0  (66.7%),3-3 (50.0%),2-4-0 (33.3%),3-1 (75.0%),2-2-0 (50.0%),0-2 (0.0%),0-2-0 (0.0%),--
10,4-2 (66.7%),4-2-0  (66.7%),3-3 (50.0%),3-3-0 (50.0%),3-2 (60.0%),3-2-0 (60.0%),0-1 (0.0%),0-1-0 (0.0%),--
11,5-1 (83.3%),4-2-0  (66.7%),3-3 (50.0%),2-4-0 (33.3%),3-1 (75.0%),2-2-0 (50.0%),0-2 (0.0%),0-2-0 (0.0%),--
12,4-2 (66.7%),4-2-0  (66.7%),2-4 (33.3%),2-4-0 (33.3%),2-2 (50.0%),2-2-0 (50.0%),0-2 (0.0%),0-2-0 (0.0%),--
Playoffs,1-0 (100.%),1-0-0  (100.%),1-0 (100.%),1-0-0 (100.%),1-0 (100.%),1-0-0 (100.%),0-0,0-0-0,--
