Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Baltimore Colts,9-3 (75.0%),7-4-1  (63.6%),9-3 (75.0%),7-4-1  (63.6%),4-2 (66.7%),4-2-0 (66.7%),4-2 (66.7%),4-2-0 (66.7%),--
Chicago Bears,8-4 (66.7%),7-5  (58.3%),6-2 (75.0%),5-3-0  (62.5%),4-2 (66.7%),3-3-0 (50.0%),4-1 (80.0%),3-2-0 (60.0%),--
Chicago Cardinals,2-10 (16.7%),3-9  (25.0%),1-1 (50.0%),1-1-0  (50.0%),2-3 (40.0%),2-3-0 (40.0%),1-1 (50.0%),1-1-0 (50.0%),--
Cleveland Browns,7-5 (58.3%),7-5  (58.3%),4-4 (50.0%),4-4-0  (50.0%),3-3 (50.0%),3-3-0 (50.0%),3-3 (50.0%),3-3-0 (50.0%),--
Detroit Lions,3-8-1 (27.3%),4-7-1  (36.4%),1-2 (33.3%),1-2-0  (33.3%),2-4 (33.3%),2-3-1 (40.0%),1-2 (33.3%),1-2-0 (33.3%),--
Green Bay Packers,7-5 (58.3%),7-5  (58.3%),3-0 (100.%),2-1-0  (66.7%),4-2 (66.7%),4-2-0 (66.7%),3-0 (100.%),2-1-0 (66.7%),--
Los Angeles Rams,2-10 (16.7%),3-9  (25.0%),1-6 (14.3%),1-6-0  (14.3%),0-6 (0.0%),0-6-0 (0.0%),0-4 (0.0%),0-4-0 (0.0%),--
New York Giants,10-2 (83.3%),9-3  (75.0%),7-2 (77.8%),6-3-0  (66.7%),5-1 (83.3%),4-2-0 (66.7%),5-1 (83.3%),4-2-0 (66.7%),--
Philadelphia Eagles,7-5 (58.3%),5-7  (41.7%),6-1 (85.7%),4-3-0  (57.1%),5-1 (83.3%),3-3-0 (50.0%),4-1 (80.0%),2-3-0 (40.0%),--
Pittsburgh Steelers,6-5-1 (54.5%),7-5  (58.3%),2-3 (40.0%),2-4-0  (33.3%),3-2 (60.0%),3-3-0 (50.0%),2-2 (50.0%),2-3-0 (40.0%),--
San Francisco 49ers,7-5 (58.3%),8-4  (66.7%),3-1 (75.0%),3-1-0  (75.0%),4-2 (66.7%),4-2-0 (66.7%),3-1 (75.0%),3-1-0 (75.0%),--
Washington Redskins,3-9 (25.0%),4-8  (33.3%),1-0 (100.%),1-0-0  (100.%),2-4 (33.3%),2-4-0 (33.3%),1-0 (100.%),1-0-0 (100.%),--
