Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Baltimore Colts,8-6 (57.1%),7-6-1  (53.8%),7-1 (87.5%),4-3-1  (57.1%),4-3 (57.1%),2-5-0 (28.6%),4-0 (100.%),2-2-0 (50.0%),--
Boston Patriots,8-6-1 (57.1%),8-6  (57.1%),5-3 (62.5%),5-4-0  (55.6%),5-1 (83.3%),5-2-0 (71.4%),4-0 (100.%),4-1-0 (80.0%),--
Buffalo Bills,7-7-1 (50.0%),7-6-1  (53.8%),6-2 (75.0%),5-2-1  (71.4%),4-3 (57.1%),5-3-0 (62.5%),4-2 (66.7%),4-2-0 (66.7%),--
Chicago Bears,11-1-2 (91.7%),8-6  (57.1%),9-1 (90.0%),6-6-0  (50.0%),6-0 (100.%),3-4-0 (42.9%),5-0 (100.%),2-4-0 (33.3%),--
Cleveland Browns,10-4 (71.4%),8-6  (57.1%),8-4 (66.7%),6-6-0  (50.0%),5-2 (71.4%),5-2-0 (71.4%),5-2 (71.4%),5-2-0 (71.4%),--
Dallas Cowboys,4-10 (28.6%),6-8  (42.9%),2-2 (50.0%),2-2-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),--
Denver Broncos,2-11-1 (15.4%),4-7-1  (36.4%),0-1 (0.0%),0-1-0  (0.0%),2-5 (28.6%),2-3-1 (40.0%),0-1 (0.0%),0-1-0 (0.0%),--
Detroit Lions,5-8-1 (38.5%),7-7  (50.0%),4-2 (66.7%),4-2-0  (66.7%),3-3 (50.0%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),--
Green Bay Packers,11-2-1 (84.6%),7-7  (50.0%),11-2 (84.6%),7-7-0  (50.0%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Houston Oilers,6-8 (42.9%),5-8  (38.5%),3-3 (50.0%),2-4-0  (33.3%),4-3 (57.1%),2-4-0 (33.3%),3-1 (75.0%),2-2-0 (50.0%),--
Kansas City Chiefs,5-7-2 (41.7%),5-8  (38.5%),3-5 (37.5%),3-6-0  (33.3%),4-3 (57.1%),4-3-0 (57.1%),3-3 (50.0%),3-3-0 (50.0%),--
Los Angeles Rams,5-9 (35.7%),7-7  (50.0%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),3-4-0 (42.9%),0-1 (0.0%),0-1-0 (0.0%),--
Minnesota Vikings,5-8-1 (38.5%),7-6-1  (53.8%),3-2 (60.0%),3-2-0  (60.0%),3-4 (42.9%),4-2-1 (66.7%),2-1 (66.7%),2-1-0 (66.7%),--
New York Giants,11-3 (78.6%),10-4  (71.4%),10-3 (76.9%),9-4-0  (69.2%),5-2 (71.4%),5-2-0 (71.4%),5-2 (71.4%),5-2-0 (71.4%),--
New York Jets,5-8-1 (38.5%),7-7  (50.0%),0-0,0-1-0  (0.0%),4-2 (66.7%),4-3-0 (57.1%),0-0,0-1-0 (0.0%),--
Oakland Raiders,10-4 (71.4%),8-6  (57.1%),6-2 (75.0%),4-4-0  (50.0%),6-1 (85.7%),4-3-0 (57.1%),5-1 (83.3%),3-3-0 (50.0%),--
Philadelphia Eagles,2-10-2 (16.7%),6-8  (42.9%),1-3 (25.0%),1-3-0  (25.0%),1-5 (16.7%),3-4-0 (42.9%),1-3 (25.0%),1-3-0 (25.0%),--
Pittsburgh Steelers,7-4-3 (63.6%),7-7  (50.0%),5-0 (100.%),3-4-0  (42.9%),5-0 (100.%),5-2-0 (71.4%),3-0 (100.%),2-2-0 (50.0%),--
San Diego Chargers,11-3 (78.6%),8-4  (66.7%),5-3 (62.5%),4-4-0  (50.0%),6-1 (85.7%),3-2-0 (60.0%),3-1 (75.0%),2-2-0 (50.0%),--
San Francisco 49ers,2-12 (14.3%),4-10  (28.6%),0-0,0-0-0,2-5 (28.6%),3-4-0 (42.9%),0-0,0-0-0,--
St Louis Cardinals,9-5 (64.3%),7-7  (50.0%),4-2 (66.7%),2-4-0  (33.3%),3-4 (42.9%),1-6-0 (14.3%),3-2 (60.0%),1-4-0 (20.0%),--
Washington Redskins,3-11 (21.4%),6-8  (42.9%),1-1 (50.0%),1-1-0  (50.0%),1-6 (14.3%),3-4-0 (42.9%),1-1 (50.0%),1-1-0 (50.0%),--
