Sun,"Oct 1, 2006",1:00,@,Kansas City Chiefs,W 41-0,W -7,,San Francisco 49ers,O 39.5,
Sun,"Oct 1, 2006",1:02,,San Diego Chargers,L 13-16,L -1,@,Baltimore Ravens,U 33.5,
Sun,"Oct 1, 2006",1:02,@,Buffalo Bills,W 17-12,W -1,,Minnesota Vikings,U 34.5,
Sun,"Oct 1, 2006",1:02,@,Carolina Panthers,W 21-18,L -7.5,,New Orleans Saints,U 41,
Sun,"Oct 1, 2006",1:02,,Miami Dolphins,L 15-17,L -4,@,Houston Texans,U 40,
Sun,"Oct 1, 2006",1:02,,Indianapolis Colts,W 31-28,L -8,@,New York Jets,O 46,
Sun,"Oct 1, 2006",1:03,@,Atlanta Falcons,W 32-10,W -7.5,,Arizona Cardinals,P 42,
Sun,"Oct 1, 2006",1:04,,Dallas Cowboys,W 45-14,W -9.5,@,Tennessee Titans,O 37,
Sun,"Oct 1, 2006",4:05,@,St Louis Rams,W 41-34,W -5,,Detroit Lions,O 42.5,
Sun,"Oct 1, 2006",4:15,@,Cincinnati Bengals,L 13-38,L -6,,New England Patriots,O 46,
Sun,"Oct 1, 2006",4:15,,Cleveland Browns,W 24-21,W -2.5,@,Oakland Raiders,O 33.5,
Sun,"Oct 1, 2006",4:15,,Jacksonville Jaguars,L 30-36 (OT),L -3,@,Washington Redskins,O 34,
Sun,"Oct 1, 2006",8:21,@,Chicago Bears,W 37-6,W -3.5,,Seattle Seahawks,O 37,
Mon,"Oct 2, 2006",8:40,@,Philadelphia Eagles,W 31-9,W -11.5,,Green Bay Packers,U 49.5,
