Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,8-8 (50.0%),7-9  (43.8%),5-5 (50.0%),4-6-0  (40.0%),4-4 (50.0%),3-5-0 (37.5%),3-3 (50.0%),2-4-0 (33.3%),5-11-0 (31.3%)
Atlanta Falcons,4-12 (25.0%),7-9  (43.8%),1-4 (20.0%),1-4-0  (20.0%),2-6 (25.0%),3-5-0 (37.5%),1-4 (20.0%),1-4-0 (20.0%),7-9-0 (43.8%)
Baltimore Ravens,11-5 (68.8%),10-6  (62.5%),10-4 (71.4%),8-6-0  (57.1%),5-3 (62.5%),5-3-0 (62.5%),5-3 (62.5%),5-3-0 (62.5%),7-9-0 (43.8%)
Buffalo Bills,13-3 (81.3%),11-5  (68.8%),10-1 (90.9%),7-4-0  (63.6%),7-1 (87.5%),6-2-0 (75.0%),5-0 (100.%),4-1-0 (80.0%),10-5-1 (66.7%)
Carolina Panthers,5-11 (31.3%),8-7-1  (53.3%),1-3 (25.0%),1-3-0  (25.0%),2-6 (25.0%),2-6-0 (25.0%),0-3 (0.0%),0-3-0 (0.0%),7-9-0 (43.8%)
Chicago Bears,8-8 (50.0%),8-8  (50.0%),2-1 (66.7%),1-2-0  (33.3%),3-5 (37.5%),3-5-0 (37.5%),1-1 (50.0%),0-2-0 (0.0%),8-8-0 (50.0%)
Cincinnati Bengals,4-11-1 (26.7%),9-7  (56.3%),1-0 (100.%),1-0-0  (100.%),3-5 (37.5%),5-3-0 (62.5%),1-0 (100.%),1-0-0 (100.%),7-8-1 (46.7%)
Cleveland Browns,11-5 (68.8%),6-10  (37.5%),9-2 (81.8%),4-7-0  (36.4%),6-2 (75.0%),3-5-0 (37.5%),6-1 (85.7%),3-4-0 (42.9%),9-7-0 (56.3%)
Dallas Cowboys,6-10 (37.5%),5-11  (31.3%),3-5 (37.5%),1-7-0  (12.5%),4-4 (50.0%),3-5-0 (37.5%),2-3 (40.0%),0-5-0 (0.0%),9-7-0 (56.3%)
Denver Broncos,5-11 (31.3%),9-7  (56.3%),0-0,0-0-0,2-6 (25.0%),4-4-0 (50.0%),0-0,0-0-0,8-8-0 (50.0%)
Detroit Lions,5-11 (31.3%),7-9  (43.8%),2-2 (50.0%),2-2-0  (50.0%),1-7 (12.5%),3-5-0 (37.5%),1-1 (50.0%),1-1-0 (50.0%),10-5-1 (66.7%)
Green Bay Packers,13-3 (81.3%),10-5-1  (66.7%),11-2 (84.6%),8-4-1  (66.7%),7-1 (87.5%),5-2-1 (71.4%),7-1 (87.5%),5-2-1 (71.4%),9-7-0 (56.3%)
Houston Texans,4-12 (25.0%),6-10  (37.5%),3-3 (50.0%),2-4-0  (33.3%),2-6 (25.0%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),8-8-0 (50.0%)
Indianapolis Colts,11-5 (68.8%),8-8  (50.0%),11-4 (73.3%),8-7-0  (53.3%),6-2 (75.0%),3-5-0 (37.5%),6-2 (75.0%),3-5-0 (37.5%),9-7-0 (56.3%)
Jacksonville Jaguars,1-15 (6.3%),7-9  (43.8%),0-1 (0.0%),0-1-0  (0.0%),1-7 (12.5%),3-5-0 (37.5%),0-1 (0.0%),0-1-0 (0.0%),8-8-0 (50.0%)
Kansas City Chiefs,14-2 (87.5%),7-9  (43.8%),13-1 (92.9%),6-8-0  (42.9%),6-2 (75.0%),3-5-0 (37.5%),6-1 (85.7%),3-4-0 (42.9%),8-8-0 (50.0%)
Las Vegas Raiders,8-8 (50.0%),8-8  (50.0%),5-2 (71.4%),3-4-0  (42.9%),2-6 (25.0%),4-4-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),12-3-1 (80.0%)
Los Angeles Chargers,7-9 (43.8%),9-7  (56.3%),6-3 (66.7%),5-4-0  (55.6%),4-4 (50.0%),4-4-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),9-7-0 (56.3%)
Los Angeles Rams,10-6 (62.5%),9-7  (56.3%),8-4 (66.7%),7-5-0  (58.3%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),4-12-0 (25.0%)
Miami Dolphins,10-6 (62.5%),11-5  (68.8%),5-2 (71.4%),4-3-0  (57.1%),5-3 (62.5%),7-1-0 (87.5%),3-0 (100.%),3-0-0 (100.%),7-9-0 (43.8%)
Minnesota Vikings,7-9 (43.8%),6-10  (37.5%),5-4 (55.6%),2-7-0  (22.2%),3-5 (37.5%),2-6-0 (25.0%),3-4 (42.9%),1-6-0 (14.3%),11-5-0 (68.8%)
New England Patriots,7-9 (43.8%),7-9  (43.8%),4-4 (50.0%),3-5-0  (37.5%),5-3 (62.5%),5-3-0 (62.5%),3-2 (60.0%),3-2-0 (60.0%),5-11-0 (31.3%)
New Orleans Saints,12-4 (75.0%),9-7  (56.3%),11-3 (78.6%),8-6-0  (57.1%),6-2 (75.0%),4-4-0 (50.0%),6-1 (85.7%),4-3-0 (57.1%),10-6-0 (62.5%)
New York Giants,6-10 (37.5%),9-7  (56.3%),2-0 (100.%),0-2-0  (0.0%),3-5 (37.5%),3-5-0 (37.5%),1-0 (100.%),0-1-0 (0.0%),3-13-0 (18.8%)
New York Jets,2-14 (12.5%),6-10  (37.5%),0-1 (0.0%),0-1-0  (0.0%),1-7 (12.5%),4-4-0 (50.0%),0-1 (0.0%),0-1-0 (0.0%),7-9-0 (43.8%)
Philadelphia Eagles,4-11-1 (26.7%),6-10  (37.5%),2-4 (33.3%),1-6-0  (14.3%),3-4 (42.9%),5-3-0 (62.5%),2-1 (66.7%),1-3-0 (25.0%),7-9-0 (43.8%)
Pittsburgh Steelers,12-4 (75.0%),10-6  (62.5%),9-2 (81.8%),6-5-0  (54.5%),7-1 (87.5%),5-3-0 (62.5%),6-1 (85.7%),4-3-0 (57.1%),7-7-2 (50.0%)
San Francisco 49ers,6-10 (37.5%),7-9  (43.8%),2-6 (25.0%),2-6-0  (25.0%),1-7 (12.5%),2-6-0 (25.0%),0-5 (0.0%),0-5-0 (0.0%),8-8-0 (50.0%)
Seattle Seahawks,12-4 (75.0%),8-8  (50.0%),11-3 (78.6%),7-7-0  (50.0%),7-1 (87.5%),6-2-0 (75.0%),7-1 (87.5%),6-2-0 (75.0%),7-9-0 (43.8%)
