1,7-1 (87.5%),6-2-0  (75.0%),9-2 (81.8%),6-3-0 (66.7%),5-0 (100.%),4-1-0 (80.0%),1-2 (33.3%),1-2-0 (33.3%),--
2,6-3 (66.7%),3-6-0  (33.3%),5-6 (45.5%),2-9-0 (18.2%),5-3 (62.5%),2-6-0 (25.0%),0-1 (0.0%),0-1-0 (0.0%),--
3,8-2 (80.0%),4-7-0  (36.4%),6-4 (60.0%),4-7-0 (36.4%),5-1 (83.3%),2-5-0 (28.6%),1-3 (25.0%),2-2-0 (50.0%),--
4,10-1 (90.9%),8-3-0  (72.7%),9-2 (81.8%),7-4-0 (63.6%),9-1 (90.0%),7-3-0 (70.0%),0-1 (0.0%),0-1-0 (0.0%),--
5,7-2 (77.8%),6-3-0  (66.7%),2-8 (20.0%),1-9-0 (10.0%),1-1 (50.0%),0-2-0 (0.0%),1-6 (14.3%),1-6-0 (14.3%),--
6,6-2 (75.0%),4-6-0  (40.0%),4-5 (44.4%),6-5-0 (54.5%),4-2 (66.7%),3-3-0 (50.0%),0-2 (0.0%),3-1-0 (75.0%),--
7,6-5 (54.5%),3-7-1  (30.0%),7-4 (63.6%),6-4-1 (60.0%),4-2 (66.7%),2-3-1 (40.0%),3-2 (60.0%),4-1-0 (80.0%),--
8,7-4 (63.6%),4-7-0  (36.4%),6-5 (54.5%),3-8-0 (27.3%),6-4 (60.0%),3-7-0 (30.0%),0-1 (0.0%),0-1-0 (0.0%),--
9,7-3 (70.0%),4-4-2  (50.0%),5-6 (45.5%),2-7-2 (22.2%),4-3 (57.1%),1-4-2 (20.0%),0-3 (0.0%),0-3-0 (0.0%),--
10,7-4 (63.6%),5-6-0  (45.5%),3-8 (27.3%),1-10-0 (9.1%),2-3 (40.0%),0-5-0 (0.0%),1-5 (16.7%),1-5-0 (16.7%),--
11,5-3 (62.5%),4-6-0  (40.0%),3-5 (37.5%),4-6-0 (40.0%),2-2 (50.0%),1-3-0 (25.0%),1-3 (25.0%),3-3-0 (50.0%),--
12,5-4 (55.6%),3-7-0  (30.0%),5-4 (55.6%),3-7-0 (30.0%),5-4 (55.6%),3-7-0 (30.0%),0-0,0-0-0,--
13,6-3 (66.7%),6-3-0  (66.7%),5-5 (50.0%),5-5-0 (50.0%),4-2 (66.7%),4-2-0 (66.7%),1-2 (33.3%),1-2-0 (33.3%),--
14,5-3 (62.5%),3-6-0  (33.3%),3-7 (30.0%),6-5-0 (54.5%),3-3 (50.0%),3-3-0 (50.0%),0-2 (0.0%),3-0-0 (100.%),--
15,4-1 (80.0%),3-2-0  (60.0%),5-0 (100.%),4-1-0 (80.0%),4-0 (100.%),3-1-0 (75.0%),1-0 (100.%),1-0-0 (100.%),--
Playoffs,1-1 (50.0%),1-1-0  (50.0%),1-1 (50.0%),1-1-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),0-0,0-0-0,--
