Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Kansas City Chiefs,3-6 (33.3%),3-6  (33.3%),0-1 (0.0%),0-1-0  (0.0%),2-2 (50.0%),2-2-0 (50.0%),0-0,0-0-0,4-5-0 (44.4%)
Los Angeles Raiders,8-1 (88.9%),6-3  (66.7%),5-0 (100.%),3-2-0  (60.0%),4-0 (100.%),2-2-0 (50.0%),4-0 (100.%),2-2-0 (50.0%),7-2-0 (77.8%)
Los Angeles Rams,2-7 (22.2%),3-6  (33.3%),1-4 (20.0%),1-4-0  (20.0%),1-4 (20.0%),1-4-0 (20.0%),1-3 (25.0%),1-3-0 (25.0%),6-3-0 (66.7%)
Miami Dolphins,7-2 (77.8%),6-3  (66.7%),4-2 (66.7%),3-3-0  (50.0%),4-0 (100.%),3-1-0 (75.0%),3-0 (100.%),2-1-0 (66.7%),5-4-0 (55.6%)
Minnesota Vikings,5-4 (55.6%),5-4  (55.6%),3-0 (100.%),2-1-0  (66.7%),4-1 (80.0%),3-2-0 (60.0%),3-0 (100.%),2-1-0 (66.7%),5-4-0 (55.6%)
New England Patriots,5-4 (55.6%),6-3  (66.7%),2-0 (100.%),2-0-0  (100.%),3-1 (75.0%),3-1-0 (75.0%),1-0 (100.%),1-0-0 (100.%),4-5-0 (44.4%)
New Orleans Saints,4-5 (44.4%),4-5  (44.4%),0-1 (0.0%),0-1-0  (0.0%),2-3 (40.0%),2-3-0 (40.0%),0-1 (0.0%),0-1-0 (0.0%),3-5-1 (37.5%)
New York Giants,4-5 (44.4%),4-5  (44.4%),2-2 (50.0%),1-3-0  (25.0%),2-3 (40.0%),1-4-0 (20.0%),2-2 (50.0%),1-3-0 (25.0%),4-5-0 (44.4%)
New York Jets,6-3 (66.7%),5-4  (55.6%),5-2 (71.4%),4-3-0  (57.1%),3-1 (75.0%),2-2-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),6-3-0 (66.7%)
Philadelphia Eagles,3-6 (33.3%),3-6  (33.3%),1-4 (20.0%),1-4-0  (20.0%),1-4 (20.0%),1-4-0 (20.0%),1-4 (20.0%),1-4-0 (20.0%),6-3-0 (66.7%)
Pittsburgh Steelers,6-3 (66.7%),6-3  (66.7%),4-2 (66.7%),4-2-0  (66.7%),4-0 (100.%),4-0-0 (100.%),3-0 (100.%),3-0-0 (100.%),5-4-0 (55.6%)
San Diego Chargers,6-3 (66.7%),6-3  (66.7%),4-2 (66.7%),4-2-0  (66.7%),3-1 (75.0%),3-1-0 (75.0%),3-1 (75.0%),3-1-0 (75.0%),6-3-0 (66.7%)
San Francisco 49ers,3-6 (33.3%),3-6  (33.3%),3-5 (37.5%),3-5-0  (37.5%),0-5 (0.0%),0-5-0 (0.0%),0-5 (0.0%),0-5-0 (0.0%),6-3-0 (66.7%)
Seattle Seahawks,4-5 (44.4%),5-4  (55.6%),2-1 (66.7%),1-2-0  (33.3%),3-2 (60.0%),2-3-0 (40.0%),2-1 (66.7%),1-2-0 (33.3%),2-7-0 (22.2%)
St Louis Cardinals,5-4 (55.6%),5-4  (55.6%),3-0 (100.%),3-0-0  (100.%),1-3 (25.0%),1-3-0 (25.0%),1-0 (100.%),1-0-0 (100.%),4-5-0 (44.4%)
Tampa Bay Buccaneers,5-4 (55.6%),3-5-1  (37.5%),3-1 (75.0%),0-3-1  (0.0%),4-1 (80.0%),1-3-1 (25.0%),3-1 (75.0%),0-3-1 (0.0%),5-4-0 (55.6%)
Washington Redskins,8-1 (88.9%),7-2  (77.8%),5-0 (100.%),4-1-0  (80.0%),3-1 (75.0%),2-2-0 (50.0%),3-0 (100.%),2-1-0 (66.7%),3-6-0 (33.3%)
