Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,11-5 (68.8%),11-5  (68.8%),6-1 (85.7%),5-2-0  (71.4%),7-1 (87.5%),6-2-0 (75.0%),4-0 (100.%),3-1-0 (75.0%),5-10-1 (33.3%)
Atlanta Falcons,6-10 (37.5%),8-8  (50.0%),3-4 (42.9%),3-4-0  (42.9%),3-4 (42.9%),3-4-0 (42.9%),1-3 (25.0%),1-3-0 (25.0%),6-9-1 (40.0%)
Baltimore Ravens,10-6 (62.5%),7-8-1  (46.7%),8-4 (66.7%),5-6-1  (45.5%),6-2 (75.0%),4-4-0 (50.0%),6-2 (75.0%),4-4-0 (50.0%),7-9-0 (43.8%)
Buffalo Bills,9-7 (56.3%),9-7  (56.3%),4-4 (50.0%),3-5-0  (37.5%),4-3 (57.1%),3-4-0 (42.9%),3-3 (50.0%),2-4-0 (33.3%),3-13-0 (18.8%)
Carolina Panthers,7-8-1 (46.7%),7-9  (43.8%),4-1 (80.0%),2-3-0  (40.0%),4-4 (50.0%),3-5-0 (37.5%),4-1 (80.0%),2-3-0 (40.0%),8-8-0 (50.0%)
Chicago Bears,5-11 (31.3%),7-9  (43.8%),2-2 (50.0%),2-2-0  (50.0%),2-6 (25.0%),3-5-0 (37.5%),2-2 (50.0%),2-2-0 (50.0%),8-8-0 (50.0%)
Cincinnati Bengals,10-5-1 (66.7%),8-7-1  (53.3%),4-2 (66.7%),2-4-1  (33.3%),5-2 (71.4%),4-3-1 (57.1%),3-2 (60.0%),2-3-1 (40.0%),6-10-0 (37.5%)
Cleveland Browns,7-9 (43.8%),10-5-1  (66.7%),3-3 (50.0%),2-4-0  (33.3%),4-4 (50.0%),4-3-1 (57.1%),3-2 (60.0%),2-3-0 (40.0%),5-11-0 (31.3%)
Dallas Cowboys,12-4 (75.0%),10-6  (62.5%),8-3 (72.7%),6-5-0  (54.5%),4-4 (50.0%),3-5-0 (37.5%),3-3 (50.0%),2-4-0 (33.3%),9-6-1 (60.0%)
Denver Broncos,12-4 (75.0%),8-8  (50.0%),11-3 (78.6%),7-7-0  (50.0%),8-0 (100.%),4-4-0 (50.0%),8-0 (100.%),4-4-0 (50.0%),9-6-1 (60.0%)
Detroit Lions,11-5 (68.8%),7-9  (43.8%),10-1 (90.9%),6-5-0  (54.5%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),5-11-0 (31.3%)
Green Bay Packers,12-4 (75.0%),9-7  (56.3%),12-1 (92.3%),9-4-0  (69.2%),8-0 (100.%),6-2-0 (75.0%),8-0 (100.%),6-2-0 (75.0%),11-5-0 (68.8%)
Houston Texans,9-7 (56.3%),9-7  (56.3%),7-1 (87.5%),6-2-0  (75.0%),5-3 (62.5%),4-4-0 (50.0%),4-1 (80.0%),3-2-0 (60.0%),8-8-0 (50.0%)
Indianapolis Colts,11-5 (68.8%),11-5  (68.8%),11-3 (78.6%),10-4-0  (71.4%),6-2 (75.0%),6-2-0 (75.0%),6-2 (75.0%),6-2-0 (75.0%),8-7-1 (53.3%)
Jacksonville Jaguars,3-13 (18.8%),6-9-1  (40.0%),1-0 (100.%),1-0-0  (100.%),3-4 (42.9%),3-4-0 (42.9%),1-0 (100.%),1-0-0 (100.%),7-9-0 (43.8%)
