Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,5-3 (62.5%),4-5-0  (44.4%),4-4 (50.0%),3-6-0 (33.3%),3-2 (60.0%),2-4-0 (33.3%),1-2 (33.3%),1-2-0 (33.3%),--
2,10-2 (83.3%),7-5-0  (58.3%),8-4 (66.7%),7-5-0 (58.3%),7-1 (87.5%),5-3-0 (62.5%),1-3 (25.0%),2-2-0 (50.0%),--
3,8-3 (72.7%),7-4-0  (63.6%),7-4 (63.6%),6-5-0 (54.5%),6-2 (75.0%),5-3-0 (62.5%),1-2 (33.3%),1-2-0 (33.3%),--
4,10-2 (83.3%),8-3-1  (72.7%),3-9 (25.0%),2-9-1 (18.2%),3-2 (60.0%),2-3-0 (40.0%),0-7 (0.0%),0-6-1 (0.0%),--
5,4-4 (50.0%),1-9-0  (10.0%),6-4 (60.0%),4-8-0 (33.3%),4-3 (57.1%),1-7-0 (12.5%),1-0 (100.%),2-0-0 (100.%),--
6,7-2 (77.8%),5-7-0  (41.7%),6-3 (66.7%),7-5-0 (58.3%),5-1 (83.3%),4-4-0 (50.0%),1-2 (33.3%),3-1-0 (75.0%),--
7,6-4 (60.0%),3-8-0  (27.3%),5-6 (45.5%),8-4-0 (66.7%),1-1 (50.0%),1-2-0 (33.3%),3-5 (37.5%),6-2-0 (75.0%),--
8,6-5 (54.5%),6-5-0  (54.5%),4-8 (33.3%),4-8-0 (33.3%),2-3 (40.0%),2-3-0 (40.0%),2-4 (33.3%),2-4-0 (33.3%),--
9,10-0 (100.%),9-3-0  (75.0%),8-2 (80.0%),8-4-0 (66.7%),8-0 (100.%),7-2-0 (77.8%),0-2 (0.0%),1-2-0 (33.3%),--
10,11-1 (91.7%),8-4-0  (66.7%),9-3 (75.0%),8-4-0 (66.7%),9-1 (90.0%),7-3-0 (70.0%),0-2 (0.0%),1-1-0 (50.0%),--
11,10-2 (83.3%),7-5-0  (58.3%),6-6 (50.0%),7-5-0 (58.3%),5-1 (83.3%),4-2-0 (66.7%),1-5 (16.7%),3-3-0 (50.0%),--
12,8-3 (72.7%),3-9-0  (25.0%),5-6 (45.5%),2-10-0 (16.7%),5-3 (62.5%),1-8-0 (11.1%),0-3 (0.0%),1-2-0 (33.3%),--
13,8-3 (72.7%),4-7-1  (36.4%),6-5 (54.5%),4-7-1 (36.4%),5-2 (71.4%),2-5-1 (28.6%),1-3 (25.0%),2-2-0 (50.0%),--
14,7-4 (63.6%),4-7-0  (36.4%),7-5 (58.3%),6-6-0 (50.0%),5-3 (62.5%),3-5-0 (37.5%),1-2 (33.3%),2-1-0 (66.7%),--
15,2-2 (50.0%),2-2-0  (50.0%),1-3 (25.0%),1-3-0 (25.0%),0-1 (0.0%),0-1-0 (0.0%),1-2 (33.3%),1-2-0 (33.3%),--
16,4-0 (100.%),4-0-0  (100.%),3-1 (75.0%),3-1-0 (75.0%),3-0 (100.%),3-0-0 (100.%),0-1 (0.0%),0-1-0 (0.0%),--
17,2-0 (100.%),1-0-1  (100.%),1-2 (33.3%),0-1-1 (0.0%),1-0 (100.%),0-0-1,0-1 (0.0%),0-1-0 (0.0%),--
Playoffs,4-1 (80.0%),3-2-0  (60.0%),4-0 (100.%),3-1-0 (75.0%),3-0 (100.%),2-1-0 (66.7%),1-0 (100.%),1-0-0 (100.%),1-0-0 (100.%)
