Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,1-12-1 (7.7%),7-7  (50.0%),0-0,0-0-0,1-5 (16.7%),4-3-0 (57.1%),0-0,0-0-0,--
Baltimore Colts,11-1-2 (91.7%),7-6-1  (53.8%),11-0 (100.%),7-5-1  (58.3%),6-0 (100.%),3-3-1 (50.0%),6-0 (100.%),3-3-1 (50.0%),--
Boston Patriots,3-10-1 (23.1%),5-9  (35.7%),2-2 (50.0%),2-2-0  (50.0%),2-4 (33.3%),2-4-0 (33.3%),2-2 (50.0%),2-2-0 (50.0%),--
Buffalo Bills,4-10 (28.6%),5-8-1  (38.5%),2-4 (33.3%),1-5-0  (16.7%),2-5 (28.6%),2-5-0 (28.6%),2-3 (40.0%),1-4-0 (20.0%),--
Chicago Bears,7-6-1 (53.8%),8-6  (57.1%),5-0 (100.%),4-2-0  (66.7%),3-3 (50.0%),4-3-0 (57.1%),2-0 (100.%),2-1-0 (66.7%),--
Cleveland Browns,9-5 (64.3%),7-7  (50.0%),9-3 (75.0%),7-5-0  (58.3%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Dallas Cowboys,9-5 (64.3%),7-6-1  (53.8%),8-4 (66.7%),5-6-1  (45.5%),5-2 (71.4%),4-3-0 (57.1%),5-2 (71.4%),4-3-0 (57.1%),--
Denver Broncos,3-11 (21.4%),7-7  (50.0%),1-1 (50.0%),1-1-0  (50.0%),1-6 (14.3%),3-4-0 (42.9%),1-1 (50.0%),1-1-0 (50.0%),--
Detroit Lions,5-7-2 (41.7%),6-8  (42.9%),2-3 (40.0%),2-4-0  (33.3%),3-4 (42.9%),3-4-0 (42.9%),2-2 (50.0%),2-2-0 (50.0%),--
Green Bay Packers,9-4-1 (69.2%),6-8  (42.9%),9-2 (81.8%),5-7-0  (41.7%),4-2 (66.7%),2-5-0 (28.6%),4-2 (66.7%),2-5-0 (28.6%),--
Houston Oilers,9-4-1 (69.2%),8-6  (57.1%),7-0 (100.%),4-3-0  (57.1%),5-2 (71.4%),4-3-0 (57.1%),5-0 (100.%),3-2-0 (60.0%),--
Kansas City Chiefs,9-5 (64.3%),7-7  (50.0%),9-4 (69.2%),7-6-0  (53.8%),4-3 (57.1%),3-4-0 (42.9%),4-3 (57.1%),3-4-0 (42.9%),--
Los Angeles Rams,11-1-2 (91.7%),10-4  (71.4%),10-1 (90.9%),8-4-0  (66.7%),5-1 (83.3%),3-4-0 (42.9%),5-1 (83.3%),3-4-0 (42.9%),--
Miami Dolphins,4-10 (28.6%),6-8  (42.9%),2-0 (100.%),2-0-0  (100.%),4-3 (57.1%),4-3-0 (57.1%),2-0 (100.%),2-0-0 (100.%),--
Minnesota Vikings,3-8-3 (27.3%),8-6  (57.1%),0-1 (0.0%),0-1-0  (0.0%),1-4 (20.0%),4-3-0 (57.1%),0-0,0-0-0,--
New Orleans Saints,3-11 (21.4%),7-6-1  (53.8%),1-0 (100.%),0-1-0  (0.0%),2-5 (28.6%),2-5-0 (28.6%),1-0 (100.%),0-1-0 (0.0%),--
New York Giants,7-7 (50.0%),7-7  (50.0%),3-2 (60.0%),2-3-0  (40.0%),5-2 (71.4%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
New York Jets,8-5-1 (61.5%),7-6  (53.8%),6-1 (85.7%),5-3-0  (62.5%),4-2 (66.7%),3-4-0 (42.9%),3-1 (75.0%),2-3-0 (40.0%),--
Oakland Raiders,13-1 (92.9%),9-4-1  (69.2%),10-1 (90.9%),6-4-1  (60.0%),7-0 (100.%),5-1-1 (83.3%),6-0 (100.%),4-1-1 (80.0%),--
Philadelphia Eagles,6-7-1 (46.2%),7-7  (50.0%),3-3 (50.0%),3-3-0  (50.0%),5-2 (71.4%),5-2-0 (71.4%),2-1 (66.7%),2-1-0 (66.7%),--
Pittsburgh Steelers,4-9-1 (30.8%),5-9  (35.7%),2-3 (40.0%),1-4-0  (20.0%),1-6 (14.3%),2-5-0 (28.6%),1-3 (25.0%),1-3-0 (25.0%),--
San Diego Chargers,8-5-1 (61.5%),7-6  (53.8%),5-1 (83.3%),4-3-0  (57.1%),5-2 (71.4%),4-3-0 (57.1%),4-0 (100.%),3-2-0 (60.0%),--
San Francisco 49ers,7-7 (50.0%),6-8  (42.9%),4-1 (80.0%),2-3-0  (40.0%),3-4 (42.9%),2-5-0 (28.6%),2-1 (66.7%),1-2-0 (33.3%),--
St Louis Cardinals,6-7-1 (46.2%),6-8  (42.9%),3-1 (75.0%),2-3-0  (40.0%),3-3 (50.0%),2-5-0 (28.6%),2-1 (66.7%),1-3-0 (25.0%),--
Washington Commanders,5-6-3 (45.5%),6-7-1  (46.2%),4-2 (66.7%),3-5-0  (37.5%),2-4 (33.3%),2-4-1 (33.3%),2-1 (66.7%),1-3-0 (25.0%),--
