Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,8-8 (50.0%),8-8  (50.0%),5-4 (55.6%),4-5-0  (44.4%),5-3 (62.5%),5-3-0 (62.5%),3-2 (60.0%),2-3-0 (40.0%),7-8-1 (46.7%)
Atlanta Falcons,7-9 (43.8%),10-6  (62.5%),5-1 (83.3%),4-2-0  (66.7%),5-3 (62.5%),4-4-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),9-7-0 (56.3%)
Buffalo Bills,7-9 (43.8%),8-8  (50.0%),4-7 (36.4%),4-7-0  (36.4%),4-4 (50.0%),4-4-0 (50.0%),4-4 (50.0%),4-4-0 (50.0%),8-8-0 (50.0%)
Chicago Bears,9-7 (56.3%),9-7  (56.3%),5-1 (83.3%),5-1-0  (83.3%),5-3 (62.5%),5-3-0 (62.5%),4-1 (80.0%),4-1-0 (80.0%),7-8-1 (46.7%)
Cincinnati Bengals,3-13 (18.8%),8-8  (50.0%),1-0 (100.%),1-0-0  (100.%),2-6 (25.0%),4-4-0 (50.0%),1-0 (100.%),1-0-0 (100.%),10-6-0 (62.5%)
Cleveland Browns,11-5 (68.8%),11-5  (68.8%),9-2 (81.8%),9-2-0  (81.8%),6-2 (75.0%),6-2-0 (75.0%),6-2 (75.0%),6-2-0 (75.0%),4-11-1 (26.7%)
Dallas Cowboys,12-4 (75.0%),8-8  (50.0%),12-3 (80.0%),8-7-0  (53.3%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),6-10-0 (37.5%)
Denver Broncos,7-9 (43.8%),4-10-2  (28.6%),4-5 (44.4%),1-7-1  (12.5%),4-4 (50.0%),1-6-1 (14.3%),4-4 (50.0%),1-6-1 (14.3%),8-7-1 (53.3%)
Detroit Lions,9-7 (56.3%),7-9  (43.8%),5-2 (71.4%),3-4-0  (42.9%),6-2 (75.0%),4-4-0 (50.0%),5-1 (83.3%),3-3-0 (50.0%),8-7-1 (53.3%)
Green Bay Packers,9-7 (56.3%),8-7-1  (53.3%),8-1 (88.9%),5-3-1  (62.5%),7-1 (87.5%),4-3-1 (57.1%),7-1 (87.5%),4-3-1 (57.1%),8-8-0 (50.0%)
Houston Oilers,2-14 (12.5%),3-12-1  (20.0%),1-4 (20.0%),0-5-0  (0.0%),2-6 (25.0%),1-6-1 (14.3%),1-3 (25.0%),0-4-0 (0.0%),6-9-1 (40.0%)
Indianapolis Colts,8-8 (50.0%),8-8  (50.0%),2-2 (50.0%),1-3-0  (25.0%),5-3 (62.5%),4-4-0 (50.0%),1-2 (33.3%),0-3-0 (0.0%),8-8-0 (50.0%)
Kansas City Chiefs,9-7 (56.3%),9-7  (56.3%),6-4 (60.0%),6-4-0  (60.0%),5-3 (62.5%),5-3-0 (62.5%),4-3 (57.1%),4-3-0 (57.1%),6-10-0 (37.5%)
Los Angeles Raiders,9-7 (56.3%),6-9-1  (40.0%),6-4 (60.0%),2-7-1  (22.2%),4-4 (50.0%),2-6-0 (25.0%),4-4 (50.0%),2-6-0 (25.0%),7-9-0 (43.8%)
Los Angeles Rams,4-12 (25.0%),7-8-1  (46.7%),0-2 (0.0%),0-2-0  (0.0%),3-5 (37.5%),3-4-1 (42.9%),0-2 (0.0%),0-2-0 (0.0%),10-6-0 (62.5%)
Miami Dolphins,10-6 (62.5%),8-8  (50.0%),7-3 (70.0%),4-6-0  (40.0%),6-2 (75.0%),3-5-0 (37.5%),6-2 (75.0%),3-5-0 (37.5%),7-9-0 (43.8%)
Minnesota Vikings,10-6 (62.5%),7-9  (43.8%),6-4 (60.0%),3-7-0  (30.0%),6-2 (75.0%),3-5-0 (37.5%),5-2 (71.4%),2-5-0 (28.6%),8-8-0 (50.0%)
New England Patriots,10-6 (62.5%),9-7  (56.3%),5-3 (62.5%),3-5-0  (37.5%),5-3 (62.5%),4-4-0 (50.0%),3-3 (50.0%),2-4-0 (33.3%),7-7-2 (50.0%)
New Orleans Saints,7-9 (43.8%),9-7  (56.3%),2-1 (66.7%),0-3-0  (0.0%),3-5 (37.5%),2-6-0 (25.0%),2-1 (66.7%),0-3-0 (0.0%),12-4-0 (75.0%)
New York Giants,9-7 (56.3%),9-7  (56.3%),3-6 (33.3%),3-6-0  (33.3%),4-4 (50.0%),4-4-0 (50.0%),3-4 (42.9%),3-4-0 (42.9%),8-8-0 (50.0%)
New York Jets,6-10 (37.5%),5-9-2  (35.7%),3-5 (37.5%),2-5-1  (28.6%),4-4 (50.0%),3-4-1 (42.9%),3-3 (50.0%),2-3-1 (40.0%),5-8-3 (38.5%)
Philadelphia Eagles,7-9 (43.8%),5-11  (31.3%),6-4 (60.0%),4-6-0  (40.0%),5-3 (62.5%),4-4-0 (50.0%),5-2 (71.4%),4-3-0 (57.1%),7-9-0 (43.8%)
Pittsburgh Steelers,12-4 (75.0%),11-4-1  (73.3%),9-1 (90.0%),7-2-1  (77.8%),7-1 (87.5%),6-2-0 (75.0%),7-0 (100.%),6-1-0 (85.7%),6-10-0 (37.5%)
San Diego Chargers,11-5 (68.8%),11-5  (68.8%),7-3 (70.0%),6-4-0  (60.0%),5-3 (62.5%),4-4-0 (50.0%),5-2 (71.4%),4-3-0 (57.1%),9-7-0 (56.3%)
San Francisco 49ers,13-3 (81.3%),11-5  (68.8%),13-3 (81.3%),11-5-0  (68.8%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),11-5-0 (68.8%)
Seattle Seahawks,6-10 (37.5%),6-9-1  (40.0%),1-5 (16.7%),0-6-0  (0.0%),3-5 (37.5%),3-5-0 (37.5%),1-4 (20.0%),0-5-0 (0.0%),8-8-0 (50.0%)
Tampa Bay Buccaneers,6-10 (37.5%),8-8  (50.0%),3-1 (75.0%),3-1-0  (75.0%),4-4 (50.0%),4-4-0 (50.0%),3-1 (75.0%),3-1-0 (75.0%),6-10-0 (37.5%)
Washington Commanders,3-13 (18.8%),6-10  (37.5%),0-3 (0.0%),0-3-0  (0.0%),0-8 (0.0%),1-7-0 (12.5%),0-3 (0.0%),0-3-0 (0.0%),8-7-1 (53.3%)
