Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
1,12-2 (85.7%),7-7-0  (50.0%),8-7 (53.3%),3-12-0 (20.0%),8-2 (80.0%),3-7-0 (30.0%),0-4 (0.0%),0-4-0 (0.0%),5-10-0 (33.3%)
2,10-5 (66.7%),5-9-1  (35.7%),9-6 (60.0%),6-8-1 (42.9%),8-4 (66.7%),4-7-1 (36.4%),1-2 (33.3%),2-1-0 (66.7%),10-5-0 (66.7%)
3,7-7 (50.0%),4-8-2  (33.3%),8-6 (57.1%),5-7-2 (41.7%),6-5 (54.5%),3-6-2 (33.3%),2-1 (66.7%),2-1-0 (66.7%),7-7-0 (50.0%)
4,7-7 (50.0%),6-8-0  (42.9%),4-10 (28.6%),5-9-0 (35.7%),4-7 (36.4%),4-7-0 (36.4%),0-3 (0.0%),1-2-0 (33.3%),7-7-0 (50.0%)
5,8-6 (57.1%),8-6-0  (57.1%),6-8 (42.9%),6-8-0 (42.9%),6-6 (50.0%),6-6-0 (50.0%),0-2 (0.0%),0-2-0 (0.0%),9-5-0 (64.3%)
6,9-5 (64.3%),7-7-0  (50.0%),6-8 (42.9%),8-6-0 (57.1%),5-4 (55.6%),5-4-0 (55.6%),1-4 (20.0%),3-2-0 (60.0%),6-8-0 (42.9%)
7,11-2 (84.6%),8-5-0  (61.5%),9-5 (64.3%),6-8-0 (42.9%),8-2 (80.0%),5-5-0 (50.0%),0-3 (0.0%),0-3-0 (0.0%),8-5-1 (61.5%)
8,10-4 (71.4%),6-7-1  (46.2%),10-4 (71.4%),6-7-1 (46.2%),8-2 (80.0%),4-5-1 (44.4%),2-2 (50.0%),2-2-0 (50.0%),8-4-2 (66.7%)
9,10-4 (71.4%),8-6-0  (57.1%),6-8 (42.9%),6-8-0 (42.9%),5-3 (62.5%),4-4-0 (50.0%),1-5 (16.7%),2-4-0 (33.3%),5-8-1 (38.5%)
10,8-7 (53.3%),5-9-1  (35.7%),8-7 (53.3%),5-9-1 (35.7%),5-4 (55.6%),2-6-1 (25.0%),3-3 (50.0%),3-3-0 (50.0%),5-10-0 (33.3%)
11,10-5 (66.7%),7-7-1  (50.0%),9-6 (60.0%),6-8-1 (42.9%),7-3 (70.0%),4-5-1 (44.4%),2-3 (40.0%),2-3-0 (40.0%),5-10-0 (33.3%)
12,8-7 (53.3%),5-10-0  (33.3%),9-6 (60.0%),6-9-0 (40.0%),7-5 (58.3%),4-8-0 (33.3%),2-1 (66.7%),2-1-0 (66.7%),7-8-0 (46.7%)
13,9-5 (64.3%),8-5-1  (61.5%),8-7 (53.3%),7-7-1 (50.0%),5-3 (62.5%),4-3-1 (57.1%),2-4 (33.3%),2-4-0 (33.3%),9-6-0 (60.0%)
14,9-4 (69.2%),7-6-0  (53.8%),8-7 (53.3%),8-7-0 (53.3%),6-2 (75.0%),5-3-0 (62.5%),2-3 (40.0%),3-2-0 (60.0%),5-9-1 (35.7%)
15,12-3 (80.0%),9-6-0  (60.0%),12-3 (80.0%),11-4-0 (73.3%),11-2 (84.6%),9-4-0 (69.2%),1-1 (50.0%),2-0-0 (100.%),10-5-0 (66.7%)
16,6-9 (40.0%),3-12-0  (20.0%),8-7 (53.3%),9-6-0 (60.0%),3-4 (42.9%),2-5-0 (28.6%),5-3 (62.5%),7-1-0 (87.5%),4-11-0 (26.7%)
17,12-3 (80.0%),9-6-0  (60.0%),10-5 (66.7%),9-6-0 (60.0%),9-2 (81.8%),7-4-0 (63.6%),1-3 (25.0%),2-2-0 (50.0%),8-7-0 (53.3%)
Playoffs,5-6 (45.5%),5-6-0  (45.5%),8-2 (80.0%),8-2-0 (80.0%),4-2 (66.7%),4-2-0 (66.7%),4-0 (100.%),4-0-0 (100.%),3-7-1 (30.0%)
