Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,3-13 (18.8%),4-12  (25.0%),2-1 (66.7%),1-2-0  (33.3%),3-5 (37.5%),3-5-0 (37.5%),2-1 (66.7%),1-2-0 (33.3%),6-10-0 (37.5%)
Atlanta Falcons,4-12 (25.0%),6-10  (37.5%),1-1 (50.0%),1-1-0  (50.0%),3-5 (37.5%),3-5-0 (37.5%),1-1 (50.0%),1-1-0 (50.0%),8-7-1 (53.3%)
Baltimore Ravens,12-4 (75.0%),10-5-1  (66.7%),10-3 (76.9%),8-4-1  (66.7%),6-2 (75.0%),5-2-1 (71.4%),6-2 (75.0%),5-2-1 (71.4%),5-11-0 (31.3%)
Buffalo Bills,8-8 (50.0%),7-9  (43.8%),5-3 (62.5%),3-5-0  (37.5%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),10-6-0 (62.5%)
Carolina Panthers,7-9 (43.8%),8-8  (50.0%),4-3 (57.1%),3-4-0  (42.9%),5-3 (62.5%),4-4-0 (50.0%),3-2 (60.0%),2-3-0 (40.0%),5-10-1 (33.3%)
Chicago Bears,5-11 (31.3%),7-8-1  (46.7%),1-3 (25.0%),1-3-0  (25.0%),3-5 (37.5%),3-5-0 (37.5%),1-3 (25.0%),1-3-0 (25.0%),7-8-1 (46.7%)
Cincinnati Bengals,4-12 (25.0%),7-8-1  (46.7%),2-1 (66.7%),2-1-0  (66.7%),3-5 (37.5%),4-4-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),5-11-0 (31.3%)
Cleveland Browns,3-13 (18.8%),5-11  (31.3%),0-0,0-0-0,2-6 (25.0%),3-5-0 (37.5%),0-0,0-0-0,7-9-0 (43.8%)
Dallas Cowboys,5-11 (31.3%),7-8-1  (46.7%),2-3 (40.0%),2-3-0  (40.0%),3-5 (37.5%),4-4-0 (50.0%),2-3 (40.0%),2-3-0 (40.0%),6-10-0 (37.5%)
Denver Broncos,11-5 (68.8%),9-6-1  (60.0%),8-4 (66.7%),5-6-1  (45.5%),6-2 (75.0%),3-4-1 (42.9%),6-2 (75.0%),3-4-1 (42.9%),13-3-0 (81.3%)
Detroit Lions,9-7 (56.3%),9-7  (56.3%),3-3 (50.0%),2-4-0  (33.3%),4-4 (50.0%),3-5-0 (37.5%),3-3 (50.0%),2-4-0 (33.3%),8-8-0 (50.0%)
Green Bay Packers,9-7 (56.3%),8-8  (50.0%),5-2 (71.4%),3-4-0  (42.9%),6-2 (75.0%),4-4-0 (50.0%),4-2 (66.7%),2-4-0 (33.3%),8-8-0 (50.0%)
Indianapolis Colts,10-6 (62.5%),9-7  (56.3%),8-5 (61.5%),7-6-0  (53.8%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),8-7-1 (53.3%)
Jacksonville Jaguars,7-9 (43.8%),7-7-2  (50.0%),4-4 (50.0%),3-4-1  (42.9%),4-4 (50.0%),3-4-1 (42.9%),3-3 (50.0%),2-3-1 (40.0%),9-7-0 (56.3%)
Kansas City Chiefs,7-9 (43.8%),7-9  (43.8%),4-5 (44.4%),3-6-0  (33.3%),5-3 (62.5%),4-4-0 (50.0%),3-2 (60.0%),2-3-0 (40.0%),7-8-1 (46.7%)
Miami Dolphins,11-5 (68.8%),10-5-1  (66.7%),7-3 (70.0%),6-4-0  (60.0%),5-3 (62.5%),5-3-0 (62.5%),4-3 (57.1%),4-3-0 (57.1%),6-10-0 (37.5%)
Minnesota Vikings,11-5 (68.8%),8-8  (50.0%),9-2 (81.8%),6-5-0  (54.5%),7-1 (87.5%),4-4-0 (50.0%),7-1 (87.5%),4-4-0 (50.0%),8-7-1 (53.3%)
