Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,6-10 (37.5%),6-10  (37.5%),3-0 (100.%),1-2-0  (33.3%),4-4 (50.0%),3-5-0 (37.5%),2-0 (100.%),1-1-0 (50.0%),7-9-0 (43.8%)
Atlanta Falcons,5-11 (31.3%),6-10  (37.5%),4-3 (57.1%),3-4-0  (42.9%),4-4 (50.0%),4-4-0 (50.0%),4-1 (80.0%),3-2-0 (60.0%),9-7-0 (56.3%)
Baltimore Ravens,8-8 (50.0%),9-6-1  (60.0%),5-1 (83.3%),3-3-0  (50.0%),4-4 (50.0%),4-3-1 (57.1%),3-0 (100.%),2-1-0 (66.7%),7-9-0 (43.8%)
Buffalo Bills,11-5 (68.8%),8-7-1  (53.3%),8-4 (66.7%),5-6-1  (45.5%),6-2 (75.0%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),5-11-0 (31.3%)
Carolina Panthers,8-8 (50.0%),10-6  (62.5%),6-2 (75.0%),6-2-0  (75.0%),5-3 (62.5%),6-2-0 (75.0%),5-1 (83.3%),5-1-0 (83.3%),11-5-0 (68.8%)
Chicago Bears,6-10 (37.5%),10-5-1  (66.7%),0-1 (0.0%),0-1-0  (0.0%),3-5 (37.5%),5-3-0 (62.5%),0-1 (0.0%),0-1-0 (0.0%),8-8-0 (50.0%)
Cincinnati Bengals,4-12 (25.0%),5-10-1  (33.3%),3-1 (75.0%),2-2-0  (50.0%),2-6 (25.0%),3-4-1 (42.9%),2-1 (66.7%),2-1-0 (66.7%),9-7-0 (56.3%)
Cleveland Browns,2-14 (12.5%),7-8-1  (46.7%),0-0,0-0-0,0-8 (0.0%),3-4-1 (42.9%),0-0,0-0-0,7-9-0 (43.8%)
Dallas Cowboys,8-8 (50.0%),8-8  (50.0%),6-5 (54.5%),6-5-0  (54.5%),7-1 (87.5%),7-1-0 (87.5%),6-1 (85.7%),6-1-0 (85.7%),7-9-0 (43.8%)
Denver Broncos,6-10 (37.5%),9-7  (56.3%),2-5 (28.6%),2-5-0  (28.6%),3-5 (37.5%),3-5-0 (37.5%),2-4 (33.3%),2-4-0 (33.3%),7-9-0 (43.8%)
Detroit Lions,8-8 (50.0%),7-8-1  (46.7%),2-4 (33.3%),1-5-0  (16.7%),6-2 (75.0%),5-3-0 (62.5%),2-2 (50.0%),1-3-0 (25.0%),9-7-0 (56.3%)
Green Bay Packers,8-8 (50.0%),7-9  (43.8%),7-6 (53.8%),5-8-0  (38.5%),5-3 (62.5%),3-5-0 (37.5%),4-3 (57.1%),2-5-0 (28.6%),9-7-0 (56.3%)
Indianapolis Colts,13-3 (81.3%),10-5-1  (66.7%),11-1 (91.7%),7-4-1  (63.6%),7-1 (87.5%),4-3-1 (57.1%),6-0 (100.%),3-2-1 (60.0%),8-8-0 (50.0%)
Jacksonville Jaguars,14-2 (87.5%),8-7-1  (53.3%),14-2 (87.5%),8-7-1  (53.3%),7-1 (87.5%),4-4-0 (50.0%),7-1 (87.5%),4-4-0 (50.0%),5-11-0 (31.3%)
Kansas City Chiefs,9-7 (56.3%),8-8  (50.0%),6-3 (66.7%),5-4-0  (55.6%),6-2 (75.0%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),7-9-0 (43.8%)
Miami Dolphins,9-7 (56.3%),6-10  (37.5%),6-4 (60.0%),3-7-0  (30.0%),5-3 (62.5%),2-6-0 (25.0%),5-3 (62.5%),2-6-0 (25.0%),8-8-0 (50.0%)
