Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Arizona Cardinals,4-12 (25.0%),7-9  (43.8%),2-3 (40.0%),2-3-0  (40.0%),3-5 (37.5%),3-5-0 (37.5%),2-2 (50.0%),2-2-0 (50.0%),10-5-1 (66.7%)
Atlanta Falcons,9-7 (56.3%),9-6-1  (60.0%),6-2 (75.0%),4-3-1  (57.1%),7-1 (87.5%),5-2-1 (71.4%),6-0 (100.%),4-1-1 (80.0%),9-7-0 (56.3%)
Buffalo Bills,10-6 (62.5%),8-8  (50.0%),8-2 (80.0%),5-5-0  (50.0%),6-2 (75.0%),4-4-0 (50.0%),6-2 (75.0%),4-4-0 (50.0%),11-5-0 (68.8%)
Carolina Panthers,7-9 (43.8%),10-6  (62.5%),0-0,0-0-0,5-3 (62.5%),5-3-0 (62.5%),0-0,0-0-0,7-9-0 (43.8%)
Chicago Bears,9-7 (56.3%),6-10  (37.5%),8-4 (66.7%),5-7-0  (41.7%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),10-6-0 (62.5%)
Cincinnati Bengals,7-9 (43.8%),10-6  (62.5%),2-2 (50.0%),1-3-0  (25.0%),3-5 (37.5%),4-4-0 (50.0%),1-1 (50.0%),0-2-0 (0.0%),9-7-0 (56.3%)
Cleveland Browns,5-11 (31.3%),5-10-1  (33.3%),4-5 (44.4%),3-6-0  (33.3%),3-5 (37.5%),4-4-0 (50.0%),2-3 (40.0%),2-3-0 (40.0%),9-7-0 (56.3%)
Dallas Cowboys,12-4 (75.0%),8-7-1  (53.3%),12-4 (75.0%),8-7-1  (53.3%),6-2 (75.0%),3-4-1 (42.9%),6-2 (75.0%),3-4-1 (42.9%),8-8-0 (50.0%)
Denver Broncos,8-8 (50.0%),6-9-1  (40.0%),5-5 (50.0%),2-8-0  (20.0%),6-2 (75.0%),3-5-0 (37.5%),5-2 (71.4%),2-5-0 (28.6%),9-7-0 (56.3%)
Detroit Lions,10-6 (62.5%),10-6  (62.5%),7-2 (77.8%),6-3-0  (66.7%),7-1 (87.5%),6-2-0 (75.0%),5-1 (83.3%),4-2-0 (66.7%),9-6-1 (60.0%)
Green Bay Packers,11-5 (68.8%),10-6  (62.5%),10-3 (76.9%),9-4-0  (69.2%),7-1 (87.5%),7-1-0 (87.5%),7-1 (87.5%),7-1-0 (87.5%),11-5-0 (68.8%)
Houston Oilers,7-9 (43.8%),11-5  (68.8%),2-2 (50.0%),2-2-0  (50.0%),3-5 (37.5%),4-4-0 (50.0%),1-2 (33.3%),1-2-0 (33.3%),8-8-0 (50.0%)
Indianapolis Colts,9-7 (56.3%),6-9-1  (40.0%),5-4 (55.6%),2-6-1  (25.0%),5-3 (62.5%),2-5-1 (28.6%),3-3 (50.0%),0-5-1 (0.0%),7-9-0 (43.8%)
Jacksonville Jaguars,4-12 (25.0%),9-7  (56.3%),0-0,0-0-0,2-6 (25.0%),4-4-0 (50.0%),0-0,0-0-0,9-7-0 (56.3%)
Kansas City Chiefs,13-3 (81.3%),9-7  (56.3%),9-0 (100.%),5-4-0  (55.6%),8-0 (100.%),4-4-0 (50.0%),8-0 (100.%),4-4-0 (50.0%),6-9-1 (40.0%)
Miami Dolphins,9-7 (56.3%),8-8  (50.0%),8-6 (57.1%),6-8-0  (42.9%),5-3 (62.5%),4-4-0 (50.0%),5-3 (62.5%),4-4-0 (50.0%),9-7-0 (56.3%)
Minnesota Vikings,8-8 (50.0%),9-7  (56.3%),6-3 (66.7%),5-4-0  (55.6%),6-2 (75.0%),6-2-0 (75.0%),5-1 (83.3%),4-2-0 (66.7%),12-4-0 (75.0%)
New England Patriots,6-10 (37.5%),6-9-1  (40.0%),3-4 (42.9%),1-5-1  (16.7%),3-5 (37.5%),1-6-1 (14.3%),2-4 (33.3%),0-5-1 (0.0%),8-8-0 (50.0%)
New Orleans Saints,7-9 (43.8%),8-7-1  (53.3%),4-3 (57.1%),4-3-0  (57.1%),4-4 (50.0%),5-3-0 (62.5%),3-2 (60.0%),3-2-0 (60.0%),7-8-1 (46.7%)
New York Giants,5-11 (31.3%),9-7  (56.3%),3-1 (75.0%),3-1-0  (75.0%),3-5 (37.5%),4-4-0 (50.0%),3-1 (75.0%),3-1-0 (75.0%),6-9-1 (40.0%)
New York Jets,3-13 (18.8%),6-10  (37.5%),1-1 (50.0%),1-1-0  (50.0%),2-6 (25.0%),3-5-0 (37.5%),1-0 (100.%),1-0-0 (100.%),9-7-0 (56.3%)
Oakland Raiders,8-8 (50.0%),6-10  (37.5%),8-6 (57.1%),6-8-0  (42.9%),4-4 (50.0%),4-4-0 (50.0%),4-3 (57.1%),4-3-0 (57.1%),9-6-1 (60.0%)
Philadelphia Eagles,10-6 (62.5%),8-7-1  (53.3%),5-3 (62.5%),3-4-1  (42.9%),6-2 (75.0%),4-3-1 (57.1%),4-2 (66.7%),2-3-1 (40.0%),8-8-0 (50.0%)
Pittsburgh Steelers,11-5 (68.8%),9-7  (56.3%),9-3 (75.0%),7-5-0  (58.3%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),8-7-1 (53.3%)
San Diego Chargers,9-7 (56.3%),8-8  (50.0%),6-2 (75.0%),4-4-0  (50.0%),5-3 (62.5%),3-5-0 (37.5%),4-2 (66.7%),2-4-0 (33.3%),9-7-0 (56.3%)
San Francisco 49ers,11-5 (68.8%),7-9  (43.8%),9-5 (64.3%),5-9-0  (35.7%),6-2 (75.0%),3-5-0 (37.5%),6-2 (75.0%),3-5-0 (37.5%),8-7-1 (53.3%)
