Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,12-2 (85.7%),9-4-1  (69.2%),10-4 (71.4%),7-6-1 (53.8%),10-2 (83.3%),7-4-1 (63.6%),0-2 (0.0%),0-2-0 (0.0%),7-7-0 (50.0%)
2,9-5 (64.3%),6-7-1  (46.2%),6-8 (42.9%),6-7-1 (46.2%),6-5 (54.5%),5-6-0 (45.5%),0-3 (0.0%),1-1-1 (50.0%),4-10-0 (28.6%)
3,8-6 (57.1%),5-8-1  (38.5%),11-3 (78.6%),10-3-1 (76.9%),7-2 (77.8%),5-3-1 (62.5%),4-1 (80.0%),5-0-0 (100.%),1-13-0 (7.1%)
4,11-3 (78.6%),5-8-1  (38.5%),10-4 (71.4%),6-7-1 (46.2%),8-1 (88.9%),3-5-1 (37.5%),2-3 (40.0%),3-2-0 (60.0%),6-8-0 (42.9%)
5,8-4 (66.7%),6-6-0  (50.0%),9-3 (75.0%),9-3-0 (75.0%),6-1 (85.7%),5-2-0 (71.4%),3-2 (60.0%),4-1-0 (80.0%),4-8-0 (33.3%)
6,8-4 (66.7%),8-4-0  (66.7%),5-7 (41.7%),5-7-0 (41.7%),3-2 (60.0%),3-2-0 (60.0%),2-5 (28.6%),2-5-0 (28.6%),3-8-1 (27.3%)
7,9-2 (81.8%),7-3-1  (70.0%),6-5 (54.5%),7-3-1 (70.0%),6-2 (75.0%),6-2-0 (75.0%),0-3 (0.0%),1-1-1 (50.0%),10-1-0 (90.9%)
8,7-5 (58.3%),4-8-0  (33.3%),7-5 (58.3%),8-4-0 (66.7%),4-2 (66.7%),3-3-0 (50.0%),3-3 (50.0%),5-1-0 (83.3%),3-9-0 (25.0%)
9,10-2 (83.3%),8-4-0  (66.7%),6-6 (50.0%),6-6-0 (50.0%),6-2 (75.0%),5-3-0 (62.5%),0-4 (0.0%),1-3-0 (25.0%),3-8-1 (27.3%)
10,9-3 (75.0%),5-7-0  (41.7%),10-2 (83.3%),8-4-0 (66.7%),7-0 (100.%),4-3-0 (57.1%),3-2 (60.0%),4-1-0 (80.0%),4-7-1 (36.4%)
11,8-6 (57.1%),6-7-1  (46.2%),6-8 (42.9%),5-8-1 (38.5%),4-4 (50.0%),3-5-0 (37.5%),2-4 (33.3%),2-3-1 (40.0%),11-3-0 (78.6%)
12,12-2 (85.7%),9-5-0  (64.3%),8-6 (57.1%),5-9-0 (35.7%),7-1 (87.5%),4-4-0 (50.0%),1-5 (16.7%),1-5-0 (16.7%),10-4-0 (71.4%)
13,7-7 (50.0%),4-10-0  (28.6%),6-8 (42.9%),5-9-0 (35.7%),3-4 (42.9%),1-6-0 (14.3%),3-4 (42.9%),4-3-0 (57.1%),7-6-1 (53.8%)
14,10-3 (76.9%),8-5-0  (61.5%),8-5 (61.5%),8-5-0 (61.5%),7-2 (77.8%),6-3-0 (66.7%),1-3 (25.0%),2-2-0 (50.0%),4-9-0 (30.8%)
15,11-2 (84.6%),6-7-0  (46.2%),7-7 (50.0%),8-6-0 (57.1%),7-2 (77.8%),5-4-0 (55.6%),0-4 (0.0%),3-1-0 (75.0%),10-3-1 (76.9%)
16,11-3 (78.6%),8-5-1  (61.5%),9-5 (64.3%),7-6-1 (53.8%),8-2 (80.0%),6-4-0 (60.0%),1-3 (25.0%),1-2-1 (33.3%),6-8-0 (42.9%)
17,7-7 (50.0%),6-7-1  (46.2%),8-6 (57.1%),8-5-1 (61.5%),5-4 (55.6%),5-4-0 (55.6%),3-2 (60.0%),3-1-1 (75.0%),5-9-0 (35.7%)
Playoffs,8-2 (80.0%),4-6-0  (40.0%),8-2 (80.0%),4-6-0 (40.0%),7-2 (77.8%),3-6-0 (33.3%),0-0,0-0-0,6-5-0 (54.5%)
