Atlanta Falcons,10-6 (62.5%),9-7  (56.3%),5-2 (71.4%),4-3-0  (57.1%),6-2 (75.0%),5-3-0 (62.5%),4-1 (80.0%),3-2-0 (60.0%),9-7-0 (56.3%)
Buffalo Bills,13-3 (81.3%),9-7  (56.3%),12-3 (80.0%),8-7-0  (53.3%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),8-8-0 (50.0%)
Chicago Bears,11-5 (68.8%),9-7  (56.3%),8-1 (88.9%),6-3-0  (66.7%),6-2 (75.0%),5-3-0 (62.5%),5-1 (83.3%),4-2-0 (66.7%),8-8-0 (50.0%)
Cincinnati Bengals,3-13 (18.8%),4-12  (25.0%),0-4 (0.0%),0-4-0  (0.0%),3-5 (37.5%),3-5-0 (37.5%),0-3 (0.0%),0-3-0 (0.0%),9-7-0 (56.3%)
Cleveland Browns,6-10 (37.5%),8-6-2  (57.1%),3-1 (75.0%),3-1-0  (75.0%),3-5 (37.5%),3-3-2 (50.0%),1-0 (100.%),1-0-0 (100.%),6-10-0 (37.5%)
Dallas Cowboys,11-5 (68.8%),12-3-1  (80.0%),7-1 (87.5%),7-1-0  (87.5%),6-2 (75.0%),6-1-1 (85.7%),5-1 (83.3%),5-1-0 (83.3%),10-5-1 (66.7%)
Denver Broncos,12-4 (75.0%),9-4-3  (69.2%),8-1 (88.9%),3-3-3  (50.0%),7-1 (87.5%),4-2-2 (66.7%),6-1 (85.7%),3-2-2 (60.0%),5-11-0 (31.3%)
Detroit Lions,12-4 (75.0%),12-4  (75.0%),9-1 (90.0%),9-1-0  (90.0%),8-0 (100.%),8-0-0 (100.%),7-0 (100.%),7-0-0 (100.%),7-8-1 (46.7%)
Green Bay Packers,4-12 (25.0%),6-10  (37.5%),2-0 (100.%),0-2-0  (0.0%),2-6 (25.0%),0-8-0 (0.0%),2-0 (100.%),0-2-0 (0.0%),7-8-1 (46.7%)
Houston Oilers,11-5 (68.8%),7-7-2  (50.0%),10-4 (71.4%),5-7-2  (41.7%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),7-8-1 (46.7%)
Indianapolis Colts,1-15 (6.3%),5-11  (31.3%),0-1 (0.0%),0-1-0  (0.0%),0-8 (0.0%),2-6-0 (25.0%),0-1 (0.0%),0-1-0 (0.0%),5-11-0 (31.3%)
Kansas City Chiefs,10-6 (62.5%),6-10  (37.5%),7-4 (63.6%),3-8-0  (27.3%),6-2 (75.0%),3-5-0 (37.5%),5-2 (71.4%),2-5-0 (28.6%),7-9-0 (43.8%)
Los Angeles Raiders,9-7 (56.3%),7-9  (43.8%),6-4 (60.0%),3-7-0  (30.0%),5-3 (62.5%),3-5-0 (37.5%),4-3 (57.1%),2-5-0 (28.6%),8-7-1 (53.3%)
Los Angeles Rams,3-13 (18.8%),4-12  (25.0%),2-1 (66.7%),1-2-0  (33.3%),2-6 (25.0%),1-7-0 (12.5%),2-1 (66.7%),1-2-0 (33.3%),7-9-0 (43.8%)
Miami Dolphins,8-8 (50.0%),8-8  (50.0%),7-4 (63.6%),5-6-0  (45.5%),5-3 (62.5%),5-3-0 (62.5%),5-1 (83.3%),4-2-0 (66.7%),8-8-0 (50.0%)
Minnesota Vikings,8-8 (50.0%),6-10  (37.5%),6-5 (54.5%),4-7-0  (36.4%),4-4 (50.0%),3-5-0 (37.5%),3-4 (42.9%),2-5-0 (28.6%),8-8-0 (50.0%)
New England Patriots,6-10 (37.5%),7-9  (43.8%),1-1 (50.0%),0-2-0  (0.0%),4-4 (50.0%),4-4-0 (50.0%),1-0 (100.%),0-1-0 (0.0%),5-11-0 (31.3%)
New Orleans Saints,11-5 (68.8%),10-6  (62.5%),10-3 (76.9%),9-4-0  (69.2%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),7-9-0 (43.8%)
New York Giants,8-8 (50.0%),5-11  (31.3%),7-6 (53.8%),4-9-0  (30.8%),5-3 (62.5%),4-4-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),9-6-1 (60.0%)
New York Jets,8-8 (50.0%),8-7-1  (53.3%),6-2 (75.0%),4-4-0  (50.0%),4-4 (50.0%),4-3-1 (57.1%),3-2 (60.0%),2-3-0 (40.0%),5-10-1 (33.3%)
Philadelphia Eagles,10-6 (62.5%),8-7-1  (53.3%),5-3 (62.5%),3-4-1  (42.9%),4-4 (50.0%),3-5-0 (37.5%),2-2 (50.0%),1-3-0 (25.0%),6-9-1 (40.0%)
Phoenix Cardinals,4-12 (25.0%),7-9  (43.8%),1-1 (50.0%),1-1-0  (50.0%),2-6 (25.0%),3-5-0 (37.5%),1-1 (50.0%),1-1-0 (50.0%),4-12-0 (25.0%)
Pittsburgh Steelers,7-9 (43.8%),7-8-1  (46.7%),5-1 (83.3%),4-1-1  (80.0%),5-3 (62.5%),5-2-1 (71.4%),4-1 (80.0%),3-1-1 (75.0%),6-9-1 (40.0%)
San Diego Chargers,4-12 (25.0%),7-6-3  (53.8%),0-2 (0.0%),0-2-0  (0.0%),3-5 (37.5%),5-2-1 (71.4%),0-2 (0.0%),0-2-0 (0.0%),8-7-1 (53.3%)
San Francisco 49ers,10-6 (62.5%),8-8  (50.0%),10-4 (71.4%),8-6-0  (57.1%),7-1 (87.5%),6-2-0 (75.0%),7-1 (87.5%),6-2-0 (75.0%),7-9-0 (43.8%)
Seattle Seahawks,7-9 (43.8%),9-6-1  (60.0%),5-3 (62.5%),4-4-0  (50.0%),5-3 (62.5%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),4-12-0 (25.0%)
Tampa Bay Buccaneers,3-13 (18.8%),8-8  (50.0%),1-1 (50.0%),1-1-0  (50.0%),3-5 (37.5%),7-1-0 (87.5%),1-1 (50.0%),1-1-0 (50.0%),7-9-0 (43.8%)
Washington Redskins,14-2 (87.5%),11-4-1  (73.3%),14-2 (87.5%),11-4-1  (73.3%),7-1 (87.5%),6-2-0 (75.0%),7-1 (87.5%),6-2-0 (75.0%),9-7-0 (56.3%)
