Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,11-3 (78.6%),9-5-0  (64.3%),7-7 (50.0%),7-7-0 (50.0%),5-1 (83.3%),4-2-0 (66.7%),2-6 (25.0%),3-5-0 (37.5%),--
2,9-4 (69.2%),7-6-1  (53.8%),8-5 (61.5%),8-5-1 (61.5%),6-2 (75.0%),5-3-1 (62.5%),2-3 (40.0%),3-2-0 (60.0%),--
3,10-4 (71.4%),4-10-0  (28.6%),6-8 (42.9%),8-6-0 (57.1%),5-3 (62.5%),3-5-0 (37.5%),1-5 (16.7%),5-1-0 (83.3%),--
4,9-5 (64.3%),5-9-0  (35.7%),9-5 (64.3%),9-5-0 (64.3%),5-1 (83.3%),3-3-0 (50.0%),4-4 (50.0%),6-2-0 (75.0%),--
5,8-5 (61.5%),5-7-1  (41.7%),10-4 (71.4%),7-6-1 (53.8%),6-2 (75.0%),3-4-1 (42.9%),3-2 (60.0%),3-2-0 (60.0%),--
6,9-4 (69.2%),8-5-0  (61.5%),9-5 (64.3%),10-4-0 (71.4%),6-1 (85.7%),6-1-0 (85.7%),3-3 (50.0%),4-2-0 (66.7%),--
7,13-1 (92.9%),9-5-0  (64.3%),5-9 (35.7%),7-7-0 (50.0%),4-0 (100.%),3-1-0 (75.0%),1-9 (10.0%),4-6-0 (40.0%),--
8,9-4 (69.2%),8-5-0  (61.5%),10-4 (71.4%),9-5-0 (64.3%),7-2 (77.8%),6-3-0 (66.7%),2-2 (50.0%),2-2-0 (50.0%),--
9,11-3 (78.6%),6-7-1  (46.2%),7-7 (50.0%),6-7-1 (46.2%),6-2 (75.0%),3-4-1 (42.9%),1-5 (16.7%),3-3-0 (50.0%),--
10,9-5 (64.3%),4-10-0  (28.6%),11-3 (78.6%),6-8-0 (42.9%),8-2 (80.0%),3-7-0 (30.0%),3-1 (75.0%),3-1-0 (75.0%),--
11,10-4 (71.4%),6-8-0  (42.9%),4-10 (28.6%),6-8-0 (42.9%),2-2 (50.0%),1-3-0 (25.0%),2-8 (20.0%),5-5-0 (50.0%),--
12,12-2 (85.7%),10-3-1  (76.9%),11-3 (78.6%),9-4-1 (69.2%),10-1 (90.9%),8-2-1 (80.0%),1-2 (33.3%),1-2-0 (33.3%),--
13,11-2 (84.6%),8-5-0  (61.5%),11-3 (78.6%),8-6-0 (57.1%),8-0 (100.%),5-3-0 (62.5%),2-3 (40.0%),2-3-0 (40.0%),--
14,9-5 (64.3%),6-8-0  (42.9%),4-10 (28.6%),7-7-0 (50.0%),3-4 (42.9%),3-4-0 (42.9%),1-6 (14.3%),4-3-0 (57.1%),--
Playoffs,5-2 (71.4%),4-3-0  (57.1%),4-2 (66.7%),3-3-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),1-0-0 (100.%)
