Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,4-10 (28.6%),5-9  (35.7%),0-3 (0.0%),0-3-0  (0.0%),3-4 (42.9%),4-3-0 (57.1%),0-2 (0.0%),0-2-0 (0.0%),--
Baltimore Colts,11-3 (78.6%),9-4-1  (69.2%),11-2 (84.6%),8-4-1  (66.7%),6-1 (85.7%),4-2-1 (66.7%),6-1 (85.7%),4-2-1 (66.7%),--
Buffalo Bills,2-12 (14.3%),4-10  (28.6%),2-4 (33.3%),1-5-0  (16.7%),1-6 (14.3%),2-5-0 (28.6%),1-3 (25.0%),1-3-0 (25.0%),--
Chicago Bears,7-7 (50.0%),9-5  (64.3%),3-3 (50.0%),3-3-0  (50.0%),4-3 (57.1%),5-2-0 (71.4%),1-2 (33.3%),1-2-0 (33.3%),--
Cincinnati Bengals,10-4 (71.4%),7-5-2  (58.3%),10-1 (90.9%),7-3-1  (70.0%),6-1 (85.7%),4-2-1 (66.7%),6-0 (100.%),4-1-1 (80.0%),--
Cleveland Browns,9-5 (64.3%),7-7  (50.0%),7-1 (87.5%),5-3-0  (62.5%),6-1 (85.7%),5-2-0 (71.4%),5-0 (100.%),4-1-0 (80.0%),--
Dallas Cowboys,11-3 (78.6%),6-7-1  (46.2%),11-3 (78.6%),6-7-1  (46.2%),6-1 (85.7%),2-4-1 (33.3%),6-1 (85.7%),2-4-1 (33.3%),--
Denver Broncos,9-5 (64.3%),7-7  (50.0%),8-0 (100.%),6-2-0  (75.0%),6-1 (85.7%),4-3-0 (57.1%),6-0 (100.%),4-2-0 (66.7%),--
Detroit Lions,6-8 (42.9%),8-5-1  (61.5%),4-4 (50.0%),4-4-0  (50.0%),5-2 (71.4%),7-0-0 (100.%),3-0 (100.%),3-0-0 (100.%),--
Green Bay Packers,5-9 (35.7%),7-7  (50.0%),3-0 (100.%),2-1-0  (66.7%),4-3 (57.1%),4-3-0 (57.1%),3-0 (100.%),2-1-0 (66.7%),--
Houston Oilers,5-9 (35.7%),7-7  (50.0%),4-2 (66.7%),3-3-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),3-1 (75.0%),3-1-0 (75.0%),--
Kansas City Chiefs,5-9 (35.7%),9-5  (64.3%),1-2 (33.3%),1-2-0  (33.3%),1-6 (14.3%),3-4-0 (42.9%),0-2 (0.0%),0-2-0 (0.0%),--
Los Angeles Rams,10-3-1 (76.9%),9-5  (64.3%),10-2 (83.3%),8-4-0  (66.7%),5-2 (71.4%),5-2-0 (71.4%),5-2 (71.4%),5-2-0 (71.4%),--
Miami Dolphins,6-8 (42.9%),6-8  (42.9%),5-2 (71.4%),3-4-0  (42.9%),3-4 (42.9%),3-4-0 (42.9%),2-1 (66.7%),1-2-0 (33.3%),--
Minnesota Vikings,11-2-1 (84.6%),5-8-1  (38.5%),10-2 (83.3%),4-8-1  (33.3%),6-0 (100.%),2-4-1 (33.3%),5-0 (100.%),1-4-1 (20.0%),--
New England Patriots,11-3 (78.6%),8-6  (57.1%),7-2 (77.8%),4-5-0  (44.4%),6-1 (85.7%),5-2-0 (71.4%),4-0 (100.%),3-1-0 (75.0%),--
New Orleans Saints,4-10 (28.6%),6-8  (42.9%),1-1 (50.0%),1-1-0  (50.0%),2-5 (28.6%),4-3-0 (57.1%),0-1 (0.0%),0-1-0 (0.0%),--
New York Giants,3-11 (21.4%),8-6  (57.1%),1-2 (33.3%),1-2-0  (33.3%),3-4 (42.9%),4-3-0 (57.1%),1-1 (50.0%),1-1-0 (50.0%),--
New York Jets,3-11 (21.4%),6-8  (42.9%),1-0 (100.%),1-0-0  (100.%),2-5 (28.6%),2-5-0 (28.6%),1-0 (100.%),1-0-0 (100.%),--
Oakland Raiders,13-1 (92.9%),8-6  (57.1%),12-1 (92.3%),7-6-0  (53.8%),7-0 (100.%),5-2-0 (71.4%),6-0 (100.%),4-2-0 (66.7%),--
Philadelphia Eagles,4-10 (28.6%),6-8  (42.9%),1-0 (100.%),1-0-0  (100.%),2-5 (28.6%),4-3-0 (57.1%),1-0 (100.%),1-0-0 (100.%),--
Pittsburgh Steelers,10-4 (71.4%),9-5  (64.3%),9-4 (69.2%),8-5-0  (61.5%),6-1 (85.7%),5-2-0 (71.4%),5-1 (83.3%),4-2-0 (66.7%),--
San Diego Chargers,6-8 (42.9%),6-8  (42.9%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),3-4-0 (42.9%),0-1 (0.0%),0-1-0 (0.0%),--
San Francisco 49ers,8-6 (57.1%),8-6  (57.1%),5-3 (62.5%),4-4-0  (50.0%),4-3 (57.1%),3-4-0 (42.9%),3-2 (60.0%),2-3-0 (40.0%),--
Seattle Seahawks,2-12 (14.3%),6-8  (42.9%),0-0,0-0-0,1-6 (14.3%),3-4-0 (42.9%),0-0,0-0-0,--
St Louis Cardinals,10-4 (71.4%),5-8-1  (38.5%),7-3 (70.0%),2-8-0  (20.0%),6-1 (85.7%),4-3-0 (57.1%),4-1 (80.0%),2-3-0 (40.0%),--
Tampa Bay Buccaneers,0-14 (0.0%),3-10-1  (23.1%),0-0,0-0-0,0-7 (0.0%),3-4-0 (42.9%),0-0,0-0-0,--
Washington Commanders,10-4 (71.4%),8-6  (57.1%),6-3 (66.7%),4-5-0  (44.4%),5-2 (71.4%),4-3-0 (57.1%),4-1 (80.0%),3-2-0 (60.0%),--
