Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,8-5 (61.5%),6-7-0  (46.2%),8-5 (61.5%),10-3-0 (76.9%),4-1 (80.0%),4-1-0 (80.0%),4-4 (50.0%),6-2-0 (75.0%),--
2,7-5 (58.3%),3-10-0  (23.1%),4-8 (33.3%),9-4-0 (69.2%),3-4 (42.9%),3-4-0 (42.9%),1-4 (20.0%),6-0-0 (100.%),--
3,9-4 (69.2%),5-8-0  (38.5%),8-5 (61.5%),6-7-0 (46.2%),6-2 (75.0%),3-5-0 (37.5%),2-3 (40.0%),3-2-0 (60.0%),--
4,12-1 (92.3%),9-4-0  (69.2%),5-8 (38.5%),4-9-0 (30.8%),5-1 (83.3%),3-3-0 (50.0%),0-7 (0.0%),1-6-0 (14.3%),--
5,10-3 (76.9%),6-7-0  (46.2%),8-5 (61.5%),8-5-0 (61.5%),5-0 (100.%),3-2-0 (60.0%),3-5 (37.5%),5-3-0 (62.5%),--
6,10-3 (76.9%),3-9-1  (25.0%),9-4 (69.2%),4-8-1 (33.3%),9-3 (75.0%),3-8-1 (27.3%),0-1 (0.0%),1-0-0 (100.%),--
7,8-4 (66.7%),2-9-1  (18.2%),7-6 (53.8%),5-7-1 (41.7%),4-2 (66.7%),0-5-1 (0.0%),2-4 (33.3%),4-2-0 (66.7%),--
8,9-4 (69.2%),5-8-0  (38.5%),5-8 (38.5%),5-8-0 (38.5%),4-3 (57.1%),2-5-0 (28.6%),1-5 (16.7%),3-3-0 (50.0%),--
9,8-5 (61.5%),7-6-0  (53.8%),5-8 (38.5%),4-9-0 (30.8%),4-4 (50.0%),3-5-0 (37.5%),1-4 (20.0%),1-4-0 (20.0%),--
10,7-6 (53.8%),4-9-0  (30.8%),6-7 (46.2%),3-10-0 (23.1%),4-4 (50.0%),1-7-0 (12.5%),2-3 (40.0%),2-3-0 (40.0%),--
11,11-2 (84.6%),9-3-1  (75.0%),7-6 (53.8%),8-4-1 (66.7%),6-1 (85.7%),6-1-0 (85.7%),1-5 (16.7%),2-3-1 (40.0%),--
12,6-6 (50.0%),5-7-0  (41.7%),9-4 (69.2%),8-5-0 (61.5%),5-3 (62.5%),4-4-0 (50.0%),3-1 (75.0%),3-1-0 (75.0%),--
13,7-6 (53.8%),3-10-0  (23.1%),7-6 (53.8%),9-4-0 (69.2%),4-3 (57.1%),3-4-0 (42.9%),3-3 (50.0%),6-0-0 (100.%),--
14,11-2 (84.6%),7-5-1  (58.3%),11-2 (84.6%),7-5-1 (58.3%),9-0 (100.%),5-3-1 (62.5%),2-2 (50.0%),2-2-0 (50.0%),--
Playoffs,6-1 (85.7%),4-3-0  (57.1%),5-1 (83.3%),3-3-0 (50.0%),5-1 (83.3%),3-3-0 (50.0%),0-0,0-0-0,0-1-0 (0.0%)
