Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,3-11 (21.4%),4-10  (28.6%),1-4 (20.0%),0-5-0  (0.0%),2-5 (28.6%),1-6-0 (14.3%),1-3 (25.0%),0-4-0 (0.0%),--
Baltimore Colts,2-12 (14.3%),8-6  (57.1%),0-0,0-0-0,0-7 (0.0%),4-3-0 (57.1%),0-0,0-0-0,--
Buffalo Bills,9-5 (64.3%),6-6-2  (50.0%),7-2 (77.8%),1-6-2  (14.3%),5-2 (71.4%),2-4-1 (33.3%),4-1 (80.0%),0-4-1 (0.0%),--
Chicago Bears,4-10 (28.6%),6-6-2  (50.0%),2-0 (100.%),1-0-1  (100.%),4-3 (57.1%),4-2-1 (66.7%),2-0 (100.%),1-0-1 (100.%),--
Cincinnati Bengals,7-7 (50.0%),7-7  (50.0%),6-4 (60.0%),5-5-0  (50.0%),4-3 (57.1%),4-3-0 (57.1%),3-3 (50.0%),3-3-0 (50.0%),--
Cleveland Browns,4-10 (28.6%),6-7-1  (46.2%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),3-3-1 (50.0%),1-0 (100.%),1-0-0 (100.%),--
Dallas Cowboys,8-6 (57.1%),5-8-1  (38.5%),7-3 (70.0%),4-6-0  (40.0%),5-2 (71.4%),2-5-0 (28.6%),4-1 (80.0%),1-4-0 (20.0%),--
Denver Broncos,7-6-1 (53.8%),9-5  (64.3%),5-3 (62.5%),5-3-0  (62.5%),3-3 (50.0%),5-2-0 (71.4%),3-1 (75.0%),3-1-0 (75.0%),--
Detroit Lions,7-7 (50.0%),6-8  (42.9%),5-2 (71.4%),1-6-0  (14.3%),5-2 (71.4%),2-5-0 (28.6%),5-1 (83.3%),1-5-0 (16.7%),--
Green Bay Packers,6-8 (42.9%),5-8-1  (38.5%),4-3 (57.1%),2-5-0  (28.6%),4-3 (57.1%),3-4-0 (42.9%),3-0 (100.%),2-1-0 (66.7%),--
Houston Oilers,7-7 (50.0%),8-6  (57.1%),2-0 (100.%),1-1-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),2-0 (100.%),1-1-0 (50.0%),--
Kansas City Chiefs,5-9 (35.7%),7-7  (50.0%),3-2 (60.0%),3-2-0  (60.0%),1-6 (14.3%),2-5-0 (28.6%),1-2 (33.3%),1-2-0 (33.3%),--
Los Angeles Rams,10-4 (71.4%),5-9  (35.7%),10-4 (71.4%),5-9-0  (35.7%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Miami Dolphins,11-3 (78.6%),3-11  (21.4%),11-3 (78.6%),3-11-0  (21.4%),7-0 (100.%),2-5-0 (28.6%),7-0 (100.%),2-5-0 (28.6%),--
Minnesota Vikings,10-4 (71.4%),7-7  (50.0%),10-3 (76.9%),7-6-0  (53.8%),4-3 (57.1%),2-5-0 (28.6%),4-3 (57.1%),2-5-0 (28.6%),--
New England Patriots,7-7 (50.0%),10-4  (71.4%),3-3 (50.0%),3-3-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),1-3 (25.0%),1-3-0 (25.0%),--
New Orleans Saints,5-9 (35.7%),6-8  (42.9%),0-1 (0.0%),0-1-0  (0.0%),4-3 (57.1%),4-3-0 (57.1%),0-1 (0.0%),0-1-0 (0.0%),--
New York Giants,2-12 (14.3%),5-9  (35.7%),0-5 (0.0%),0-5-0  (0.0%),0-7 (0.0%),2-5-0 (28.6%),0-4 (0.0%),0-4-0 (0.0%),--
New York Jets,7-7 (50.0%),9-5  (64.3%),3-2 (60.0%),2-3-0  (40.0%),3-4 (42.9%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),--
Oakland Raiders,12-2 (85.7%),6-7-1  (46.2%),11-2 (84.6%),5-7-1  (41.7%),6-1 (85.7%),3-3-1 (50.0%),6-1 (85.7%),3-3-1 (50.0%),--
Philadelphia Eagles,7-7 (50.0%),8-6  (57.1%),4-2 (66.7%),4-2-0  (66.7%),5-2 (71.4%),5-2-0 (71.4%),3-0 (100.%),3-0-0 (100.%),--
Pittsburgh Steelers,10-3-1 (76.9%),6-8  (42.9%),10-3 (76.9%),6-8-0  (42.9%),5-2 (71.4%),3-4-0 (42.9%),5-2 (71.4%),3-4-0 (42.9%),--
San Diego Chargers,5-9 (35.7%),8-6  (57.1%),1-0 (100.%),1-0-0  (100.%),3-4 (42.9%),5-2-0 (71.4%),1-0 (100.%),1-0-0 (100.%),--
San Francisco 49ers,6-8 (42.9%),10-4  (71.4%),3-1 (75.0%),3-1-0  (75.0%),3-4 (42.9%),5-2-0 (71.4%),2-0 (100.%),2-0-0 (100.%),--
St Louis Cardinals,10-4 (71.4%),9-5  (64.3%),6-2 (75.0%),4-4-0  (50.0%),5-2 (71.4%),5-2-0 (71.4%),2-1 (66.7%),2-1-0 (66.7%),--
Washington Redskins,10-4 (71.4%),9-5  (64.3%),8-1 (88.9%),7-2-0  (77.8%),6-1 (85.7%),6-1-0 (85.7%),5-1 (83.3%),5-1-0 (83.3%),--
