Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,4-12 (25.0%),6-10  (37.5%),0-1 (0.0%),0-1-0  (0.0%),3-5 (37.5%),3-5-0 (37.5%),0-1 (0.0%),0-1-0 (0.0%),11-5-0 (68.8%)
Buffalo Bills,2-14 (12.5%),5-10-1  (33.3%),0-0,0-0-0,2-6 (25.0%),3-4-1 (42.9%),0-0,0-0-0,6-10-0 (37.5%)
Chicago Bears,15-1 (93.8%),12-3-1  (80.0%),13-1 (92.9%),10-3-1  (76.9%),8-0 (100.%),7-1-0 (87.5%),8-0 (100.%),7-1-0 (87.5%),7-9-0 (43.8%)
Cincinnati Bengals,7-9 (43.8%),7-9  (43.8%),3-3 (50.0%),3-3-0  (50.0%),5-3 (62.5%),5-3-0 (62.5%),2-2 (50.0%),2-2-0 (50.0%),10-6-0 (62.5%)
Cleveland Browns,8-8 (50.0%),9-7  (56.3%),5-1 (83.3%),4-2-0  (66.7%),5-3 (62.5%),5-3-0 (62.5%),4-1 (80.0%),3-2-0 (60.0%),7-9-0 (43.8%)
Dallas Cowboys,10-6 (62.5%),10-6  (62.5%),7-4 (63.6%),7-4-0  (63.6%),7-1 (87.5%),7-1-0 (87.5%),6-0 (100.%),6-0-0 (100.%),9-7-0 (56.3%)
Denver Broncos,11-5 (68.8%),9-7  (56.3%),8-2 (80.0%),5-5-0  (50.0%),6-2 (75.0%),4-4-0 (50.0%),5-1 (83.3%),3-3-0 (50.0%),8-8-0 (50.0%)
Detroit Lions,7-9 (43.8%),8-8  (50.0%),2-3 (40.0%),2-3-0  (40.0%),6-2 (75.0%),6-2-0 (75.0%),2-1 (66.7%),2-1-0 (66.7%),8-8-0 (50.0%)
Green Bay Packers,8-8 (50.0%),8-8  (50.0%),5-2 (71.4%),4-3-0  (57.1%),5-3 (62.5%),5-3-0 (62.5%),4-1 (80.0%),3-2-0 (60.0%),10-6-0 (62.5%)
Houston Oilers,5-11 (31.3%),7-9  (43.8%),1-1 (50.0%),1-1-0  (50.0%),4-4 (50.0%),4-4-0 (50.0%),1-0 (100.%),1-0-0 (100.%),9-7-0 (56.3%)
Indianapolis Colts,5-11 (31.3%),8-6-2  (57.1%),2-0 (100.%),2-0-0  (100.%),4-4 (50.0%),5-2-1 (71.4%),2-0 (100.%),2-0-0 (100.%),10-6-0 (62.5%)
Kansas City Chiefs,6-10 (37.5%),7-9  (43.8%),3-2 (60.0%),3-2-0  (60.0%),5-3 (62.5%),5-3-0 (62.5%),3-1 (75.0%),3-1-0 (75.0%),7-9-0 (43.8%)
