Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,8-4 (66.7%),7-4-1  (63.6%),9-5 (64.3%),9-4-1 (69.2%),5-1 (83.3%),5-1-0 (83.3%),3-3 (50.0%),3-2-1 (60.0%),10-4-0 (71.4%)
2,9-4 (69.2%),7-5-1  (58.3%),11-3 (78.6%),9-4-1 (69.2%),7-1 (87.5%),5-2-1 (71.4%),3-2 (60.0%),3-2-0 (60.0%),9-5-0 (64.3%)
3,9-5 (64.3%),8-6-0  (57.1%),6-8 (42.9%),7-7-0 (50.0%),5-4 (55.6%),5-4-0 (55.6%),1-4 (20.0%),2-3-0 (40.0%),5-9-0 (35.7%)
4,9-5 (64.3%),8-6-0  (57.1%),6-8 (42.9%),5-9-0 (35.7%),5-4 (55.6%),4-5-0 (44.4%),1-4 (20.0%),1-4-0 (20.0%),7-7-0 (50.0%)
5,11-3 (78.6%),6-7-1  (46.2%),10-4 (71.4%),6-7-1 (46.2%),9-2 (81.8%),5-6-0 (45.5%),1-2 (33.3%),1-1-1 (50.0%),9-5-0 (64.3%)
6,9-5 (64.3%),5-9-0  (35.7%),10-4 (71.4%),10-4-0 (71.4%),6-1 (85.7%),4-3-0 (57.1%),4-3 (57.1%),6-1-0 (85.7%),4-10-0 (28.6%)
7,7-4 (63.6%),4-7-0  (36.4%),12-2 (85.7%),11-3-0 (78.6%),6-0 (100.%),4-2-0 (66.7%),4-1 (80.0%),5-0-0 (100.%),4-10-0 (28.6%)
8,9-5 (64.3%),7-6-1  (53.8%),8-6 (57.1%),6-7-1 (46.2%),5-2 (71.4%),3-3-1 (50.0%),3-4 (42.9%),3-4-0 (42.9%),5-9-0 (35.7%)
9,11-2 (84.6%),7-6-0  (53.8%),10-4 (71.4%),8-6-0 (57.1%),7-0 (100.%),4-3-0 (57.1%),2-4 (33.3%),3-3-0 (50.0%),4-10-0 (28.6%)
10,7-7 (50.0%),6-8-0  (42.9%),10-4 (71.4%),9-5-0 (64.3%),6-3 (66.7%),5-4-0 (55.6%),4-1 (80.0%),4-1-0 (80.0%),6-8-0 (42.9%)
11,10-3 (76.9%),9-3-1  (75.0%),9-5 (64.3%),8-5-1 (61.5%),8-2 (80.0%),7-2-1 (77.8%),1-2 (33.3%),1-2-0 (33.3%),8-5-1 (61.5%)
12,10-4 (71.4%),8-6-0  (57.1%),10-4 (71.4%),8-6-0 (57.1%),8-2 (80.0%),6-4-0 (60.0%),2-2 (50.0%),2-2-0 (50.0%),6-8-0 (42.9%)
13,8-5 (61.5%),7-5-1  (58.3%),8-6 (57.1%),8-5-1 (61.5%),5-2 (71.4%),5-2-0 (71.4%),3-3 (50.0%),3-2-1 (60.0%),11-3-0 (78.6%)
14,11-3 (78.6%),10-4-0  (71.4%),8-6 (57.1%),7-7-0 (50.0%),7-2 (77.8%),6-3-0 (66.7%),1-4 (20.0%),1-4-0 (20.0%),8-6-0 (57.1%)
15,11-3 (78.6%),6-8-0  (42.9%),10-4 (71.4%),5-9-0 (35.7%),9-2 (81.8%),4-7-0 (36.4%),1-2 (33.3%),1-2-0 (33.3%),9-5-0 (64.3%)
16,11-2 (84.6%),11-2-0  (84.6%),7-7 (50.0%),7-7-0 (50.0%),7-2 (77.8%),7-2-0 (77.8%),0-4 (0.0%),0-4-0 (0.0%),9-4-1 (69.2%)
Playoffs,5-4 (55.6%),4-5-0  (44.4%),5-3 (62.5%),4-4-0 (50.0%),4-3 (57.1%),3-4-0 (42.9%),1-0 (100.%),1-0-0 (100.%),3-5-1 (37.5%)
