Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Baltimore Colts,8-6 (57.1%),5-9  (35.7%),5-4 (55.6%),2-7-0  (22.2%),5-2 (71.4%),2-5-0 (28.6%),4-2 (66.7%),1-5-0 (16.7%),--
Boston Patriots,9-4-1 (69.2%),7-7  (50.0%),7-1 (87.5%),4-4-0  (50.0%),4-2 (66.7%),4-3-0 (57.1%),4-1 (80.0%),3-2-0 (60.0%),--
Buffalo Bills,6-8 (42.9%),7-6  (53.8%),2-1 (66.7%),1-2-0  (33.3%),2-5 (28.6%),4-2-0 (66.7%),0-1 (0.0%),0-1-0 (0.0%),--
Chicago Bears,8-6 (57.1%),9-5  (64.3%),3-2 (60.0%),2-3-0  (40.0%),5-2 (71.4%),5-2-0 (71.4%),3-0 (100.%),2-1-0 (66.7%),--
Cleveland Browns,8-5-1 (61.5%),7-7  (50.0%),8-3 (72.7%),6-5-0  (54.5%),4-3 (57.1%),3-4-0 (42.9%),4-2 (66.7%),3-3-0 (50.0%),--
Dallas Cowboys,4-9-1 (30.8%),4-10  (28.6%),1-0 (100.%),1-1-0  (50.0%),2-4 (33.3%),2-5-0 (28.6%),1-0 (100.%),1-1-0 (50.0%),--
Dallas Texans,6-8 (42.9%),5-8  (38.5%),5-4 (55.6%),3-6-0  (33.3%),4-3 (57.1%),4-2-0 (66.7%),3-2 (60.0%),3-2-0 (60.0%),--
Denver Broncos,3-11 (21.4%),4-9  (30.8%),1-1 (50.0%),0-2-0  (0.0%),2-5 (28.6%),4-3-0 (57.1%),1-0 (100.%),0-1-0 (0.0%),--
Detroit Lions,8-5-1 (61.5%),7-7  (50.0%),4-4 (50.0%),2-6-0  (25.0%),2-5 (28.6%),0-7-0 (0.0%),2-4 (33.3%),0-6-0 (0.0%),--
Green Bay Packers,11-3 (78.6%),9-5  (64.3%),10-3 (76.9%),8-5-0  (61.5%),6-1 (85.7%),5-2-0 (71.4%),6-1 (85.7%),5-2-0 (71.4%),--
Houston Oilers,10-3-1 (76.9%),10-4  (71.4%),9-1 (90.0%),9-2-0  (81.8%),6-1 (85.7%),6-1-0 (85.7%),5-1 (83.3%),5-1-0 (83.3%),--
Los Angeles Rams,4-10 (28.6%),7-7  (50.0%),2-3 (40.0%),2-3-0  (40.0%),4-3 (57.1%),4-3-0 (57.1%),2-2 (50.0%),2-2-0 (50.0%),--
Minnesota Vikings,3-11 (21.4%),7-7  (50.0%),0-1 (0.0%),0-1-0  (0.0%),3-4 (42.9%),3-4-0 (42.9%),0-1 (0.0%),0-1-0 (0.0%),--
New York Giants,10-3-1 (76.9%),9-5  (64.3%),7-2 (77.8%),6-4-0  (60.0%),4-2 (66.7%),4-3-0 (57.1%),4-2 (66.7%),4-3-0 (57.1%),--
New York Titans,7-7 (50.0%),7-7  (50.0%),5-2 (71.4%),5-2-0  (71.4%),5-2 (71.4%),5-2-0 (71.4%),4-0 (100.%),4-0-0 (100.%),--
Oakland Raiders,2-12 (14.3%),6-8  (42.9%),0-0,0-0-0,1-6 (14.3%),3-4-0 (42.9%),0-0,0-0-0,--
Philadelphia Eagles,10-4 (71.4%),6-8  (42.9%),8-1 (88.9%),4-5-0  (44.4%),5-2 (71.4%),2-5-0 (28.6%),4-1 (80.0%),1-4-0 (20.0%),--
Pittsburgh Steelers,6-8 (42.9%),6-8  (42.9%),4-2 (66.7%),3-3-0  (50.0%),4-3 (57.1%),3-4-0 (42.9%),3-1 (75.0%),2-2-0 (50.0%),--
San Diego Chargers,12-2 (85.7%),8-5  (61.5%),11-1 (91.7%),8-4-0  (66.7%),6-1 (85.7%),5-2-0 (71.4%),6-1 (85.7%),5-2-0 (71.4%),--
San Francisco 49ers,7-6-1 (53.8%),7-7  (50.0%),4-4 (50.0%),3-6-0  (33.3%),5-1 (83.3%),4-3-0 (57.1%),3-1 (75.0%),2-3-0 (40.0%),--
St Louis Cardinals,7-7 (50.0%),9-5  (64.3%),5-1 (83.3%),5-1-0  (83.3%),3-4 (42.9%),3-4-0 (42.9%),3-1 (75.0%),3-1-0 (75.0%),--
Washington Redskins,1-12-1 (7.7%),6-8  (42.9%),1-0 (100.%),1-0-0  (100.%),1-6 (14.3%),4-3-0 (57.1%),1-0 (100.%),1-0-0 (100.%),--
