Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,11-5 (68.8%),10-6-0  (62.5%),10-6 (62.5%),9-7-0 (56.3%),7-2 (77.8%),6-3-0 (66.7%),3-4 (42.9%),3-4-0 (42.9%),7-9-0 (43.8%)
2,10-5 (66.7%),6-7-2  (46.2%),6-9 (40.0%),4-9-2 (30.8%),6-5 (54.5%),3-6-2 (33.3%),0-4 (0.0%),1-3-0 (25.0%),7-8-0 (46.7%)
3,13-3 (81.3%),10-6-0  (62.5%),12-4 (75.0%),9-7-0 (56.3%),12-3 (80.0%),9-6-0 (60.0%),0-1 (0.0%),0-1-0 (0.0%),11-5-0 (68.8%)
4,9-4 (69.2%),7-6-0  (53.8%),9-4 (69.2%),7-6-0 (53.8%),7-2 (77.8%),5-4-0 (55.6%),2-2 (50.0%),2-2-0 (50.0%),10-3-0 (76.9%)
5,9-5 (64.3%),6-8-0  (42.9%),6-8 (42.9%),5-9-0 (35.7%),5-4 (55.6%),3-6-0 (33.3%),1-4 (20.0%),2-3-0 (40.0%),8-6-0 (57.1%)
6,8-6 (57.1%),6-8-0  (42.9%),10-4 (71.4%),8-6-0 (57.1%),7-3 (70.0%),5-5-0 (50.0%),3-1 (75.0%),3-1-0 (75.0%),4-10-0 (28.6%)
7,10-4 (71.4%),7-7-0  (50.0%),11-3 (78.6%),8-6-0 (57.1%),8-1 (88.9%),5-4-0 (55.6%),3-2 (60.0%),3-2-0 (60.0%),7-6-1 (53.8%)
8,10-4 (71.4%),7-7-0  (50.0%),9-4 (69.2%),6-7-0 (46.2%),9-3 (75.0%),6-6-0 (50.0%),0-1 (0.0%),0-1-0 (0.0%),6-7-1 (46.2%)
9,9-5 (64.3%),5-9-0  (35.7%),6-8 (42.9%),4-10-0 (28.6%),5-4 (55.6%),2-7-0 (22.2%),1-4 (20.0%),2-3-0 (40.0%),5-7-2 (41.7%)
10,10-4 (71.4%),6-8-0  (42.9%),7-7 (50.0%),3-11-0 (21.4%),7-4 (63.6%),3-8-0 (27.3%),0-3 (0.0%),0-3-0 (0.0%),9-5-0 (64.3%)
11,12-3 (80.0%),8-8-0  (50.0%),8-7 (53.3%),5-11-0 (31.3%),8-3 (72.7%),4-7-0 (36.4%),0-4 (0.0%),1-4-0 (20.0%),5-10-1 (33.3%)
12,11-5 (68.8%),10-5-1  (66.7%),5-11 (31.3%),5-10-1 (33.3%),5-5 (50.0%),5-5-0 (50.0%),0-6 (0.0%),0-5-1 (0.0%),11-5-0 (68.8%)
13,10-6 (62.5%),7-8-1  (46.7%),5-11 (31.3%),5-10-1 (33.3%),5-6 (45.5%),4-7-0 (36.4%),0-5 (0.0%),1-3-1 (25.0%),7-9-0 (43.8%)
14,12-4 (75.0%),9-7-0  (56.3%),11-5 (68.8%),12-4-0 (75.0%),10-3 (76.9%),9-4-0 (69.2%),1-2 (33.3%),3-0-0 (100.%),4-11-1 (26.7%)
15,11-5 (68.8%),5-10-1  (33.3%),11-5 (68.8%),7-8-1 (46.7%),8-2 (80.0%),3-6-1 (33.3%),3-3 (50.0%),4-2-0 (66.7%),7-8-1 (46.7%)
16,7-9 (43.8%),5-11-0  (31.3%),7-9 (43.8%),7-9-0 (43.8%),3-5 (37.5%),2-6-0 (25.0%),4-4 (50.0%),5-3-0 (62.5%),8-7-1 (53.3%)
17,13-3 (81.3%),9-6-1  (60.0%),12-4 (75.0%),8-7-1 (53.3%),11-2 (84.6%),7-5-1 (58.3%),1-2 (33.3%),1-2-0 (33.3%),9-7-0 (56.3%)
Playoffs,6-5 (54.5%),5-6-0  (45.5%),5-5 (50.0%),5-5-0 (50.0%),3-3 (50.0%),3-3-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),5-6-0 (45.5%)
