Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
1,7-4 (63.6%),6-5-0  (54.5%),6-5 (54.5%),5-6-0 (45.5%),4-2 (66.7%),3-3-0 (50.0%),2-3 (40.0%),2-3-0 (40.0%),--
2,2-5 (28.6%),2-7-0  (22.2%),4-4 (50.0%),5-5-0 (50.0%),2-4 (33.3%),2-5-0 (28.6%),1-0 (100.%),2-0-0 (100.%),--
3,10-0 (100.%),7-3-0  (70.0%),6-5 (54.5%),7-4-0 (63.6%),5-0 (100.%),4-1-0 (80.0%),0-5 (0.0%),2-3-0 (40.0%),--
4,7-2 (77.8%),5-5-0  (50.0%),7-3 (70.0%),8-3-0 (72.7%),5-1 (83.3%),4-2-0 (66.7%),1-2 (33.3%),3-1-0 (75.0%),--
5,7-3 (70.0%),6-4-0  (60.0%),6-4 (60.0%),5-5-1 (50.0%),5-2 (71.4%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),--
6,8-2 (80.0%),6-5-0  (54.5%),6-4 (60.0%),6-5-0 (54.5%),6-2 (75.0%),5-4-0 (55.6%),0-2 (0.0%),1-1-0 (50.0%),--
7,7-4 (63.6%),4-5-2  (44.4%),5-6 (45.5%),5-4-2 (55.6%),4-3 (57.1%),3-3-1 (50.0%),1-3 (25.0%),2-1-1 (66.7%),--
8,7-4 (63.6%),6-5-0  (54.5%),7-4 (63.6%),6-5-0 (54.5%),5-2 (71.4%),4-3-0 (57.1%),2-2 (50.0%),2-2-0 (50.0%),--
9,10-1 (90.9%),7-4-0  (63.6%),7-4 (63.6%),6-5-0 (54.5%),7-1 (87.5%),5-3-0 (62.5%),0-3 (0.0%),1-2-0 (33.3%),--
10,2-6 (25.0%),1-8-0  (11.1%),5-5 (50.0%),4-7-0 (36.4%),2-4 (33.3%),1-6-0 (14.3%),2-0 (100.%),2-0-0 (100.%),--
11,7-2 (77.8%),5-5-0  (50.0%),5-4 (55.6%),3-7-0 (30.0%),5-2 (71.4%),3-5-0 (37.5%),0-2 (0.0%),0-2-0 (0.0%),--
12,7-3 (70.0%),6-5-0  (54.5%),4-6 (40.0%),6-5-0 (54.5%),3-2 (60.0%),3-2-0 (60.0%),1-4 (20.0%),3-3-0 (50.0%),--
13,6-4 (60.0%),6-4-0  (60.0%),5-5 (50.0%),5-5-0 (50.0%),3-2 (60.0%),3-2-0 (60.0%),2-3 (40.0%),2-3-0 (40.0%),--
14,7-1 (87.5%),5-4-0  (55.6%),5-4 (55.6%),3-6-0 (33.3%),4-1 (80.0%),2-3-0 (40.0%),0-3 (0.0%),1-3-0 (25.0%),--
15,0-2 (0.0%),0-2-0  (0.0%),3-1 (75.0%),1-1-0 (50.0%),0-1 (0.0%),0-1-0 (0.0%),1-0 (100.%),1-0-0 (100.%),--
Playoffs,1-1 (50.0%),1-1-0  (50.0%),2-0 (100.%),2-0-0 (100.%),1-0 (100.%),1-0-0 (100.%),1-0 (100.%),1-0-0 (100.%),--
