Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,6-10 (37.5%),9-7  (56.3%),2-1 (66.7%),2-1-0  (66.7%),5-3 (62.5%),5-3-0 (62.5%),2-1 (66.7%),2-1-0 (66.7%),9-7-0 (56.3%)
Atlanta Falcons,11-5 (68.8%),7-9  (43.8%),9-1 (90.0%),4-6-0  (40.0%),7-1 (87.5%),3-5-0 (37.5%),7-1 (87.5%),3-5-0 (37.5%),5-11-0 (31.3%)
Baltimore Ravens,9-7 (56.3%),9-7  (56.3%),8-3 (72.7%),7-4-0  (63.6%),6-2 (75.0%),5-3-0 (62.5%),6-2 (75.0%),5-3-0 (62.5%),8-8-0 (50.0%)
Buffalo Bills,9-7 (56.3%),11-5  (68.8%),7-2 (77.8%),7-2-0  (77.8%),5-3 (62.5%),5-3-0 (62.5%),4-2 (66.7%),4-2-0 (66.7%),11-5-0 (68.8%)
Carolina Panthers,7-9 (43.8%),10-6  (62.5%),3-5 (37.5%),3-5-0  (37.5%),3-5 (37.5%),3-5-0 (37.5%),2-5 (28.6%),2-5-0 (28.6%),7-9-0 (43.8%)
Chicago Bears,5-11 (31.3%),6-9-1  (40.0%),1-4 (20.0%),1-4-0  (20.0%),2-6 (25.0%),2-6-0 (25.0%),1-4 (20.0%),1-4-0 (20.0%),6-10-0 (37.5%)
Cincinnati Bengals,8-8 (50.0%),7-9  (43.8%),4-0 (100.%),2-2-0  (50.0%),5-3 (62.5%),3-5-0 (37.5%),3-0 (100.%),1-2-0 (33.3%),9-7-0 (56.3%)
Cleveland Browns,4-12 (25.0%),6-10  (37.5%),1-0 (100.%),1-0-0  (100.%),3-5 (37.5%),4-4-0 (50.0%),1-0 (100.%),1-0-0 (100.%),7-9-0 (43.8%)
Dallas Cowboys,6-10 (37.5%),7-9  (43.8%),3-3 (50.0%),3-3-0  (50.0%),4-4 (50.0%),4-4-0 (50.0%),3-3 (50.0%),3-3-0 (50.0%),9-7-0 (56.3%)
Denver Broncos,10-6 (62.5%),7-7-2  (50.0%),10-5 (66.7%),7-7-1  (50.0%),6-2 (75.0%),4-4-0 (50.0%),6-2 (75.0%),4-4-0 (50.0%),6-9-1 (40.0%)
Detroit Lions,6-10 (37.5%),8-7-1  (53.3%),3-3 (50.0%),2-3-1  (40.0%),3-5 (37.5%),3-4-1 (42.9%),3-2 (60.0%),2-2-1 (50.0%),7-9-0 (43.8%)
Green Bay Packers,10-6 (62.5%),7-8-1  (46.7%),6-4 (60.0%),3-6-1  (33.3%),4-4 (50.0%),2-6-0 (25.0%),4-4 (50.0%),2-6-0 (25.0%),11-5-0 (68.8%)
Houston Texans,7-9 (43.8%),8-7-1  (53.3%),2-2 (50.0%),2-2-0  (50.0%),3-5 (37.5%),4-3-1 (57.1%),2-2 (50.0%),2-2-0 (50.0%),6-9-1 (40.0%)
Indianapolis Colts,12-4 (75.0%),9-6-1  (60.0%),12-2 (85.7%),9-5-0  (64.3%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),11-5-0 (68.8%)
Jacksonville Jaguars,9-7 (56.3%),10-6  (62.5%),3-3 (50.0%),3-3-0  (50.0%),4-4 (50.0%),5-3-0 (62.5%),2-2 (50.0%),2-2-0 (50.0%),4-12-0 (25.0%)
Kansas City Chiefs,7-9 (43.8%),6-10  (37.5%),4-7 (36.4%),3-8-0  (27.3%),4-4 (50.0%),3-5-0 (37.5%),2-3 (40.0%),1-4-0 (20.0%),10-6-0 (62.5%)
Miami Dolphins,4-12 (25.0%),7-9  (43.8%),1-2 (33.3%),0-3-0  (0.0%),3-5 (37.5%),2-6-0 (25.0%),1-2 (33.3%),0-3-0 (0.0%),9-6-1 (60.0%)
Minnesota Vikings,8-8 (50.0%),7-9  (43.8%),8-5 (61.5%),5-8-0  (38.5%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),8-8-0 (50.0%)
New England Patriots,14-2 (87.5%),11-3-2  (78.6%),12-2 (85.7%),9-3-2  (75.0%),8-0 (100.%),5-1-2 (83.3%),8-0 (100.%),5-1-2 (83.3%),8-7-1 (53.3%)
New Orleans Saints,8-8 (50.0%),8-8  (50.0%),2-2 (50.0%),1-3-0  (25.0%),3-5 (37.5%),2-6-0 (25.0%),2-1 (66.7%),1-2-0 (33.3%),7-9-0 (43.8%)
New York Giants,6-10 (37.5%),8-8  (50.0%),2-2 (50.0%),2-2-0  (50.0%),3-5 (37.5%),4-4-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),7-9-0 (43.8%)
New York Jets,10-6 (62.5%),8-7-1  (53.3%),10-2 (83.3%),8-4-0  (66.7%),6-2 (75.0%),4-4-0 (50.0%),6-0 (100.%),4-2-0 (66.7%),7-9-0 (43.8%)
Oakland Raiders,5-11 (31.3%),6-10  (37.5%),3-2 (60.0%),2-3-0  (40.0%),3-5 (37.5%),2-6-0 (25.0%),3-1 (75.0%),2-2-0 (50.0%),10-6-0 (62.5%)
Philadelphia Eagles,13-3 (81.3%),9-7  (56.3%),13-1 (92.9%),9-5-0  (64.3%),7-1 (87.5%),5-3-0 (62.5%),7-0 (100.%),5-2-0 (71.4%),5-11-0 (31.3%)
Pittsburgh Steelers,15-1 (93.8%),11-5  (68.8%),10-0 (100.%),6-4-0  (60.0%),8-0 (100.%),6-2-0 (75.0%),6-0 (100.%),4-2-0 (66.7%),8-8-0 (50.0%)
San Diego Chargers,12-4 (75.0%),13-2-1  (86.7%),6-0 (100.%),5-0-1  (100.%),7-1 (87.5%),6-1-1 (85.7%),4-0 (100.%),3-0-1 (100.%),9-7-0 (56.3%)
San Francisco 49ers,2-14 (12.5%),6-10  (37.5%),1-1 (50.0%),1-1-0  (50.0%),1-7 (12.5%),2-6-0 (25.0%),1-1 (50.0%),1-1-0 (50.0%),9-7-0 (56.3%)
Seattle Seahawks,9-7 (56.3%),5-11  (31.3%),8-5 (61.5%),4-9-0  (30.8%),5-3 (62.5%),1-7-0 (12.5%),5-3 (62.5%),1-7-0 (12.5%),11-5-0 (68.8%)
St Louis Rams,8-8 (50.0%),6-10  (37.5%),5-4 (55.6%),3-6-0  (33.3%),6-2 (75.0%),4-4-0 (50.0%),4-2 (66.7%),2-4-0 (33.3%),9-7-0 (56.3%)
Tampa Bay Buccaneers,5-11 (31.3%),5-10-1  (33.3%),3-3 (50.0%),3-3-0  (50.0%),4-4 (50.0%),4-3-1 (57.1%),3-2 (60.0%),3-2-0 (60.0%),5-11-0 (31.3%)
Tennessee Titans,5-11 (31.3%),5-11  (31.3%),2-4 (33.3%),2-4-0  (33.3%),2-6 (25.0%),2-6-0 (25.0%),1-3 (25.0%),1-3-0 (25.0%),10-6-0 (62.5%)
Washington Commanders,6-10 (37.5%),8-8  (50.0%),3-5 (37.5%),3-5-0  (37.5%),3-5 (37.5%),4-4-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),4-12-0 (25.0%)
