Atlanta Falcons,2-12 (14.3%),7-7  (50.0%),0-0,0-0-0,1-6 (14.3%),4-3-0 (57.1%),0-0,0-0-0,--
Baltimore Colts,13-1 (92.9%),12-2  (85.7%),12-1 (92.3%),11-2-0  (84.6%),6-1 (85.7%),6-1-0 (85.7%),5-1 (83.3%),5-1-0 (83.3%),--
Boston Patriots,4-10 (28.6%),4-9  (30.8%),2-3 (40.0%),1-4-0  (20.0%),2-5 (28.6%),3-4-0 (42.9%),1-3 (25.0%),1-3-0 (25.0%),--
Buffalo Bills,1-12-1 (7.7%),5-8  (38.5%),0-1 (0.0%),0-1-0  (0.0%),1-6 (14.3%),2-5-0 (28.6%),0-1 (0.0%),0-1-0 (0.0%),--
Chicago Bears,7-7 (50.0%),7-7  (50.0%),2-4 (33.3%),2-4-0  (33.3%),2-5 (28.6%),2-5-0 (28.6%),1-3 (25.0%),1-3-0 (25.0%),--
Cincinnati Bengals,3-11 (21.4%),5-7-2  (41.7%),2-2 (50.0%),2-2-0  (50.0%),2-5 (28.6%),3-3-1 (50.0%),2-1 (66.7%),2-1-0 (66.7%),--
Cleveland Browns,10-4 (71.4%),8-6  (57.1%),8-2 (80.0%),6-4-0  (60.0%),5-2 (71.4%),4-3-0 (57.1%),5-1 (83.3%),4-2-0 (66.7%),--
Dallas Cowboys,12-2 (85.7%),11-3  (78.6%),12-2 (85.7%),11-3-0  (78.6%),5-2 (71.4%),4-3-0 (57.1%),5-2 (71.4%),4-3-0 (57.1%),--
Denver Broncos,5-9 (35.7%),5-6-1  (45.5%),1-0 (100.%),0-0-1,3-4 (42.9%),2-3-1 (40.0%),1-0 (100.%),0-0-1,--
Detroit Lions,4-8-2 (33.3%),6-8  (42.9%),1-3 (25.0%),1-4-0  (20.0%),1-4 (20.0%),2-5-0 (28.6%),0-2 (0.0%),0-3-0 (0.0%),--
Green Bay Packers,6-7-1 (46.2%),5-8-1  (38.5%),4-6 (40.0%),3-7-1  (30.0%),2-5 (28.6%),1-5-1 (16.7%),2-4 (33.3%),1-4-1 (20.0%),--
Houston Oilers,7-7 (50.0%),6-7-1  (46.2%),6-1 (85.7%),5-1-1  (83.3%),3-4 (42.9%),3-4-0 (42.9%),3-1 (75.0%),3-1-0 (75.0%),--
Kansas City Chiefs,12-2 (85.7%),6-5  (54.5%),8-1 (88.9%),5-4-0  (55.6%),6-1 (85.7%),2-2-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),--
Los Angeles Rams,10-3-1 (76.9%),6-8  (42.9%),9-1 (90.0%),5-6-0  (45.5%),5-2 (71.4%),2-5-0 (28.6%),5-1 (83.3%),2-4-0 (33.3%),--
Miami Dolphins,5-8-1 (38.5%),6-8  (42.9%),1-2 (33.3%),1-3-0  (25.0%),1-5 (16.7%),1-6-0 (14.3%),1-1 (50.0%),1-2-0 (33.3%),--
Minnesota Vikings,8-6 (57.1%),7-7  (50.0%),5-3 (62.5%),4-4-0  (50.0%),4-3 (57.1%),4-3-0 (57.1%),3-1 (75.0%),3-1-0 (75.0%),--
New Orleans Saints,4-9-1 (30.8%),6-8  (42.9%),2-1 (66.7%),2-1-0  (66.7%),3-4 (42.9%),4-3-0 (57.1%),1-1 (50.0%),1-1-0 (50.0%),--
New York Giants,7-7 (50.0%),6-7-1  (46.2%),6-2 (75.0%),4-3-1  (57.1%),3-4 (42.9%),2-5-0 (28.6%),3-1 (75.0%),2-2-0 (50.0%),--
New York Jets,11-3 (78.6%),9-5  (64.3%),9-2 (81.8%),7-4-0  (63.6%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Oakland Raiders,12-2 (85.7%),9-4  (69.2%),12-1 (92.3%),9-4-0  (69.2%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Philadelphia Eagles,2-12 (14.3%),5-8-1  (38.5%),1-0 (100.%),1-0-0  (100.%),1-6 (14.3%),2-5-0 (28.6%),1-0 (100.%),1-0-0 (100.%),--
Pittsburgh Steelers,2-11-1 (15.4%),5-9  (35.7%),1-0 (100.%),1-0-0  (100.%),1-6 (14.3%),1-6-0 (14.3%),1-0 (100.%),1-0-0 (100.%),--
San Diego Chargers,9-5 (64.3%),9-5  (64.3%),8-2 (80.0%),6-4-0  (60.0%),4-3 (57.1%),4-3-0 (57.1%),4-2 (66.7%),3-3-0 (50.0%),--
San Francisco 49ers,7-6-1 (53.8%),7-7  (50.0%),4-2 (66.7%),3-3-0  (50.0%),3-3 (50.0%),4-3-0 (57.1%),2-2 (50.0%),2-2-0 (50.0%),--
St Louis Cardinals,9-4-1 (69.2%),7-7  (50.0%),7-0 (100.%),5-3-0  (62.5%),4-2 (66.7%),3-4-0 (42.9%),3-0 (100.%),2-2-0 (50.0%),--
Washington Redskins,5-9 (35.7%),5-8-1  (38.5%),3-1 (75.0%),1-3-0  (25.0%),3-4 (42.9%),2-4-1 (33.3%),2-0 (100.%),0-2-0 (0.0%),--
