Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,9-2 (81.8%),8-2-1  (80.0%),5-6 (45.5%),4-6-1 (40.0%),5-2 (71.4%),4-2-1 (66.7%),0-4 (0.0%),0-4-0 (0.0%),--
2,8-4 (66.7%),7-5-0  (58.3%),6-6 (50.0%),7-5-0 (58.3%),4-2 (66.7%),4-2-0 (66.7%),2-4 (33.3%),3-3-0 (50.0%),--
3,10-2 (83.3%),9-3-0  (75.0%),5-8 (38.5%),5-7-0 (41.7%),4-2 (66.7%),4-2-0 (66.7%),0-6 (0.0%),1-5-0 (16.7%),--
4,12-1 (92.3%),9-4-0  (69.2%),7-6 (53.8%),6-7-0 (46.2%),6-0 (100.%),4-2-0 (66.7%),1-6 (14.3%),2-5-0 (28.6%),--
5,7-5 (58.3%),3-8-1  (27.3%),7-6 (53.8%),5-7-1 (41.7%),5-3 (62.5%),2-5-1 (28.6%),2-2 (50.0%),3-1-0 (75.0%),--
6,6-5 (54.5%),4-9-0  (30.8%),3-8 (27.3%),2-11-0 (15.4%),3-5 (37.5%),1-8-0 (11.1%),0-3 (0.0%),1-3-0 (25.0%),--
7,7-4 (63.6%),6-4-1  (60.0%),8-5 (61.5%),7-4-1 (63.6%),5-3 (62.5%),5-3-0 (62.5%),1-2 (33.3%),1-1-1 (50.0%),--
8,9-3 (75.0%),8-4-0  (66.7%),6-7 (46.2%),5-8-0 (38.5%),5-2 (71.4%),4-3-0 (57.1%),1-4 (20.0%),1-4-0 (20.0%),--
9,9-3 (75.0%),5-7-1  (41.7%),6-6 (50.0%),5-7-1 (41.7%),5-2 (71.4%),3-5-0 (37.5%),1-4 (20.0%),2-2-1 (50.0%),--
10,10-1 (90.9%),7-5-0  (58.3%),4-8 (33.3%),6-7-0 (46.2%),4-1 (80.0%),3-2-0 (60.0%),0-6 (0.0%),3-4-0 (42.9%),--
11,10-1 (90.9%),8-4-0  (66.7%),7-5 (58.3%),4-8-0 (33.3%),6-1 (85.7%),4-4-0 (50.0%),0-4 (0.0%),0-4-0 (0.0%),--
12,6-5 (54.5%),5-6-0  (45.5%),5-7 (41.7%),3-8-0 (27.3%),3-4 (42.9%),2-5-0 (28.6%),1-3 (25.0%),1-3-0 (25.0%),--
13,10-3 (76.9%),8-5-0  (61.5%),6-7 (46.2%),6-7-0 (46.2%),5-2 (71.4%),4-3-0 (57.1%),1-5 (16.7%),2-4-0 (33.3%),--
14,9-4 (69.2%),6-7-0  (46.2%),7-6 (53.8%),8-5-0 (61.5%),5-2 (71.4%),4-3-0 (57.1%),2-4 (33.3%),4-2-0 (66.7%),--
15,4-0 (100.%),3-1-0  (75.0%),1-3 (25.0%),2-2-0 (50.0%),1-0 (100.%),1-0-0 (100.%),0-3 (0.0%),1-2-0 (33.3%),--
Playoffs,3-3 (50.0%),2-4-0  (33.3%),4-1 (80.0%),3-2-0 (60.0%),2-0 (100.%),1-1-0 (50.0%),2-1 (66.7%),2-1-0 (66.7%),0-1-0 (0.0%)
