Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Atlanta Falcons,5-11 (31.3%),8-7-1  (53.3%),2-1 (66.7%),2-1-0  (66.7%),2-6 (25.0%),4-4-0 (50.0%),2-1 (66.7%),2-1-0 (66.7%),7-9-0 (43.8%)
Buffalo Bills,12-4 (75.0%),9-6-1  (60.0%),8-2 (80.0%),5-4-1  (55.6%),8-0 (100.%),5-2-1 (71.4%),7-0 (100.%),4-2-1 (66.7%),6-10-0 (37.5%)
Chicago Bears,12-4 (75.0%),11-5  (68.8%),11-2 (84.6%),9-4-0  (69.2%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),4-11-1 (26.7%)
Cincinnati Bengals,12-4 (75.0%),11-5  (68.8%),9-2 (81.8%),8-3-0  (72.7%),8-0 (100.%),7-1-0 (87.5%),8-0 (100.%),7-1-0 (87.5%),9-6-1 (60.0%)
Cleveland Browns,10-6 (62.5%),8-8  (50.0%),7-4 (63.6%),5-6-0  (45.5%),6-2 (75.0%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),5-10-1 (33.3%)
Dallas Cowboys,3-13 (18.8%),6-8-2  (42.9%),1-1 (50.0%),0-1-1  (0.0%),1-7 (12.5%),1-6-1 (14.3%),1-1 (50.0%),0-1-1 (0.0%),8-8-0 (50.0%)
Denver Broncos,8-8 (50.0%),8-8  (50.0%),4-4 (50.0%),3-5-0  (37.5%),6-2 (75.0%),5-3-0 (62.5%),3-2 (60.0%),2-3-0 (40.0%),8-8-0 (50.0%)
Detroit Lions,4-12 (25.0%),8-8  (50.0%),2-1 (66.7%),2-1-0  (66.7%),2-6 (25.0%),3-5-0 (37.5%),2-1 (66.7%),2-1-0 (66.7%),5-11-0 (31.3%)
Green Bay Packers,4-12 (25.0%),6-10  (37.5%),0-2 (0.0%),0-2-0  (0.0%),2-6 (25.0%),3-5-0 (37.5%),0-2 (0.0%),0-2-0 (0.0%),4-11-1 (26.7%)
Houston Oilers,10-6 (62.5%),9-7  (56.3%),6-2 (75.0%),5-3-0  (62.5%),7-1 (87.5%),6-2-0 (75.0%),5-1 (83.3%),4-2-0 (66.7%),10-6-0 (62.5%)
Indianapolis Colts,9-7 (56.3%),6-10  (37.5%),7-2 (77.8%),4-5-0  (44.4%),6-2 (75.0%),3-5-0 (37.5%),5-1 (83.3%),2-4-0 (33.3%),9-7-0 (56.3%)
Kansas City Chiefs,4-11-1 (26.7%),8-8  (50.0%),1-3 (25.0%),1-3-0  (25.0%),4-4 (50.0%),5-3-0 (62.5%),1-3 (25.0%),1-3-0 (25.0%),6-10-0 (37.5%)
Los Angeles Raiders,7-9 (43.8%),6-10  (37.5%),4-4 (50.0%),3-5-0  (37.5%),3-5 (37.5%),2-6-0 (25.0%),3-4 (42.9%),2-5-0 (28.6%),8-8-0 (50.0%)
Los Angeles Rams,10-6 (62.5%),9-7  (56.3%),7-4 (63.6%),6-5-0  (54.5%),4-4 (50.0%),3-5-0 (37.5%),4-3 (57.1%),3-4-0 (42.9%),7-8-1 (46.7%)
Miami Dolphins,6-10 (37.5%),4-11-1  (26.7%),3-2 (60.0%),0-5-0  (0.0%),4-4 (50.0%),2-6-0 (25.0%),2-2 (50.0%),0-4-0 (0.0%),6-10-0 (37.5%)
Minnesota Vikings,11-5 (68.8%),9-7  (56.3%),10-4 (71.4%),7-7-0  (50.0%),7-1 (87.5%),4-4-0 (50.0%),7-1 (87.5%),4-4-0 (50.0%),7-9-0 (43.8%)
New England Patriots,9-7 (56.3%),10-6  (62.5%),5-3 (62.5%),4-4-0  (50.0%),7-1 (87.5%),6-2-0 (75.0%),5-1 (83.3%),4-2-0 (66.7%),5-10-1 (33.3%)
New Orleans Saints,10-6 (62.5%),7-9  (43.8%),8-2 (80.0%),4-6-0  (40.0%),5-3 (62.5%),2-6-0 (25.0%),5-2 (71.4%),2-5-0 (28.6%),7-9-0 (43.8%)
New York Giants,10-6 (62.5%),7-9  (43.8%),8-4 (66.7%),5-7-0  (41.7%),5-3 (62.5%),5-3-0 (62.5%),5-3 (62.5%),5-3-0 (62.5%),8-8-0 (50.0%)
New York Jets,8-7-1 (53.3%),8-8  (50.0%),3-2 (60.0%),2-4-0  (33.3%),5-2 (71.4%),4-4-0 (50.0%),2-2 (50.0%),1-4-0 (20.0%),9-6-1 (60.0%)
Philadelphia Eagles,10-6 (62.5%),9-7  (56.3%),7-3 (70.0%),5-5-0  (50.0%),5-3 (62.5%),4-4-0 (50.0%),4-3 (57.1%),3-4-0 (42.9%),8-8-0 (50.0%)
Phoenix Cardinals,7-9 (43.8%),6-10  (37.5%),4-3 (57.1%),3-4-0  (42.9%),4-4 (50.0%),3-5-0 (37.5%),3-3 (50.0%),2-4-0 (33.3%),10-5-1 (66.7%)
Pittsburgh Steelers,5-11 (31.3%),7-8-1  (46.7%),3-3 (50.0%),2-3-1  (40.0%),4-4 (50.0%),4-3-1 (57.1%),3-3 (50.0%),2-3-1 (40.0%),10-5-1 (66.7%)
San Diego Chargers,6-10 (37.5%),8-8  (50.0%),2-0 (100.%),2-0-0  (100.%),3-5 (37.5%),3-5-0 (37.5%),2-0 (100.%),2-0-0 (100.%),5-11-0 (31.3%)
San Francisco 49ers,10-6 (62.5%),10-6  (62.5%),7-4 (63.6%),5-6-0  (45.5%),4-4 (50.0%),2-6-0 (25.0%),4-4 (50.0%),2-6-0 (25.0%),10-6-0 (62.5%)
Seattle Seahawks,9-7 (56.3%),8-8  (50.0%),6-3 (66.7%),5-4-0  (55.6%),5-3 (62.5%),4-4-0 (50.0%),5-1 (83.3%),4-2-0 (66.7%),7-8-1 (46.7%)
Tampa Bay Buccaneers,5-11 (31.3%),10-6  (62.5%),2-0 (100.%),2-0-0  (100.%),3-5 (37.5%),4-4-0 (50.0%),2-0 (100.%),2-0-0 (100.%),8-8-0 (50.0%)
Washington Redskins,7-9 (43.8%),5-11  (31.3%),6-6 (50.0%),3-9-0  (25.0%),4-4 (50.0%),2-6-0 (25.0%),4-4 (50.0%),2-6-0 (25.0%),10-6-0 (62.5%)
