Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,10-6 (62.5%),10-5-1  (66.7%),6-1 (85.7%),4-2-1  (66.7%),6-2 (75.0%),5-3-0 (62.5%),4-1 (80.0%),3-2-0 (60.0%),8-8-0 (50.0%)
Atlanta Falcons,4-12 (25.0%),7-9  (43.8%),3-2 (60.0%),2-3-0  (40.0%),3-5 (37.5%),4-4-0 (50.0%),3-2 (60.0%),2-3-0 (40.0%),9-7-0 (56.3%)
Baltimore Ravens,8-8 (50.0%),7-8-1  (46.7%),5-3 (62.5%),3-5-0  (37.5%),6-2 (75.0%),4-3-1 (57.1%),5-1 (83.3%),3-3-0 (50.0%),8-8-0 (50.0%)
Buffalo Bills,6-10 (37.5%),8-8  (50.0%),1-1 (50.0%),1-1-0  (50.0%),4-4 (50.0%),6-2-0 (75.0%),0-1 (0.0%),0-1-0 (0.0%),10-6-0 (62.5%)
Carolina Panthers,12-4 (75.0%),9-5-2  (64.3%),9-2 (81.8%),6-3-2  (66.7%),7-1 (87.5%),6-1-1 (85.7%),6-0 (100.%),5-0-1 (100.%),5-11-0 (31.3%)
Chicago Bears,8-8 (50.0%),4-11-1  (26.7%),6-1 (85.7%),2-4-1  (33.3%),5-3 (62.5%),1-6-1 (14.3%),5-0 (100.%),1-3-1 (25.0%),12-4-0 (75.0%)
Cincinnati Bengals,11-5 (68.8%),10-5-1  (66.7%),8-3 (72.7%),7-4-0  (63.6%),8-0 (100.%),8-0-0 (100.%),6-0 (100.%),6-0-0 (100.%),10-5-1 (66.7%)
Cleveland Browns,4-12 (25.0%),6-10  (37.5%),1-4 (20.0%),1-4-0  (20.0%),3-5 (37.5%),3-5-0 (37.5%),1-4 (20.0%),1-4-0 (20.0%),9-7-0 (56.3%)
Dallas Cowboys,8-8 (50.0%),9-7  (56.3%),6-2 (75.0%),3-5-0  (37.5%),5-3 (62.5%),5-3-0 (62.5%),5-1 (83.3%),3-3-0 (50.0%),9-7-0 (56.3%)
Denver Broncos,13-3 (81.3%),10-6  (62.5%),13-3 (81.3%),10-6-0  (62.5%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),11-5-0 (68.8%)
Detroit Lions,7-9 (43.8%),6-10  (37.5%),7-7 (50.0%),6-8-0  (42.9%),4-4 (50.0%),3-5-0 (37.5%),4-4 (50.0%),3-5-0 (37.5%),8-8-0 (50.0%)
Green Bay Packers,8-7-1 (53.3%),6-9-1  (40.0%),7-3 (70.0%),5-5-1  (50.0%),4-3 (57.1%),3-5-0 (37.5%),4-2 (66.7%),3-4-0 (42.9%),9-7-0 (56.3%)
Houston Texans,2-14 (12.5%),4-12  (25.0%),2-4 (33.3%),0-6-0  (0.0%),1-7 (12.5%),1-7-0 (12.5%),1-2 (33.3%),0-3-0 (0.0%),9-7-0 (56.3%)
Indianapolis Colts,11-5 (68.8%),9-6-1  (60.0%),7-2 (77.8%),5-3-1  (62.5%),6-2 (75.0%),5-3-0 (62.5%),4-2 (66.7%),3-3-0 (50.0%),8-8-0 (50.0%)
Jacksonville Jaguars,4-12 (25.0%),5-10-1  (33.3%),1-0 (100.%),1-0-0  (100.%),1-6 (14.3%),1-5-1 (16.7%),0-0,0-0-0,9-7-0 (56.3%)
Kansas City Chiefs,11-5 (68.8%),9-7  (56.3%),10-2 (83.3%),7-5-0  (58.3%),5-3 (62.5%),2-6-0 (25.0%),5-2 (71.4%),2-5-0 (28.6%),7-9-0 (43.8%)
Miami Dolphins,8-8 (50.0%),8-7-1  (53.3%),2-5 (28.6%),2-5-0  (28.6%),4-4 (50.0%),4-3-1 (57.1%),2-3 (40.0%),2-3-0 (40.0%),7-8-1 (46.7%)
Minnesota Vikings,5-10-1 (33.3%),9-7  (56.3%),2-2 (50.0%),2-2-0  (50.0%),4-3 (57.1%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),12-4-0 (75.0%)
New England Patriots,12-4 (75.0%),8-8  (50.0%),9-2 (81.8%),5-6-0  (45.5%),8-0 (100.%),6-2-0 (75.0%),7-0 (100.%),5-2-0 (71.4%),9-7-0 (56.3%)
New Orleans Saints,11-5 (68.8%),8-8  (50.0%),11-2 (84.6%),8-5-0  (61.5%),8-0 (100.%),7-1-0 (87.5%),8-0 (100.%),7-1-0 (87.5%),6-10-0 (37.5%)
New York Giants,7-9 (43.8%),7-9  (43.8%),4-3 (57.1%),3-4-0  (42.9%),4-4 (50.0%),3-5-0 (37.5%),4-2 (66.7%),3-3-0 (50.0%),7-9-0 (43.8%)
New York Jets,8-8 (50.0%),9-6-1  (60.0%),3-2 (60.0%),3-2-0  (60.0%),6-2 (75.0%),6-2-0 (75.0%),3-1 (75.0%),3-1-0 (75.0%),9-7-0 (56.3%)
Oakland Raiders,4-12 (25.0%),8-8  (50.0%),1-1 (50.0%),1-1-0  (50.0%),3-5 (37.5%),3-5-0 (37.5%),1-1 (50.0%),1-1-0 (50.0%),7-8-1 (46.7%)
Philadelphia Eagles,10-6 (62.5%),8-8  (50.0%),7-5 (58.3%),5-7-0  (41.7%),4-4 (50.0%),3-5-0 (37.5%),4-4 (50.0%),3-5-0 (37.5%),9-7-0 (56.3%)
Pittsburgh Steelers,8-8 (50.0%),9-7  (56.3%),4-4 (50.0%),4-4-0  (50.0%),5-3 (62.5%),5-3-0 (62.5%),3-2 (60.0%),3-2-0 (60.0%),8-8-0 (50.0%)
