Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,12-4 (75.0%),7-8-1  (46.7%),9-7 (56.3%),8-7-1 (53.3%),8-3 (72.7%),5-5-1 (50.0%),1-4 (20.0%),3-2-0 (60.0%),8-8-0 (50.0%)
2,12-4 (75.0%),7-9-0  (43.8%),12-4 (75.0%),9-7-0 (56.3%),10-2 (83.3%),6-6-0 (50.0%),2-2 (50.0%),3-1-0 (75.0%),8-8-0 (50.0%)
3,10-6 (62.5%),8-7-1  (53.3%),11-5 (68.8%),9-6-1 (60.0%),8-3 (72.7%),6-4-1 (60.0%),3-2 (60.0%),3-2-0 (60.0%),7-9-0 (43.8%)
4,9-6 (60.0%),9-6-0  (60.0%),8-6 (57.1%),8-6-0 (57.1%),5-2 (71.4%),5-2-0 (71.4%),3-4 (42.9%),3-4-0 (42.9%),9-6-0 (60.0%)
5,7-7 (50.0%),6-8-0  (42.9%),8-6 (57.1%),9-5-0 (64.3%),4-3 (57.1%),4-3-0 (57.1%),4-3 (57.1%),5-2-0 (71.4%),8-6-0 (57.1%)
6,12-2 (85.7%),7-6-1  (53.8%),8-7 (53.3%),6-8-1 (42.9%),7-2 (77.8%),4-5-0 (44.4%),0-5 (0.0%),1-3-1 (25.0%),9-6-0 (60.0%)
7,9-6 (60.0%),8-7-0  (53.3%),9-6 (60.0%),8-7-0 (53.3%),6-3 (66.7%),5-4-0 (55.6%),3-3 (50.0%),3-3-0 (50.0%),9-6-0 (60.0%)
8,11-2 (84.6%),8-5-0  (61.5%),8-4 (66.7%),7-5-0 (58.3%),7-1 (87.5%),5-3-0 (62.5%),1-3 (25.0%),2-2-0 (50.0%),8-5-0 (61.5%)
9,7-5 (58.3%),5-7-0  (41.7%),8-5 (61.5%),6-7-0 (46.2%),4-2 (66.7%),2-4-0 (33.3%),3-3 (50.0%),3-3-0 (50.0%),8-4-1 (66.7%)
10,9-5 (64.3%),7-7-0  (50.0%),7-7 (50.0%),5-9-0 (35.7%),5-3 (62.5%),3-5-0 (37.5%),2-4 (33.3%),2-4-0 (33.3%),7-7-0 (50.0%)
11,11-4 (73.3%),8-6-1  (57.1%),12-3 (80.0%),10-4-1 (71.4%),9-1 (90.0%),7-3-0 (70.0%),3-2 (60.0%),3-1-1 (75.0%),9-6-0 (60.0%)
12,8-5 (61.5%),6-7-1  (46.2%),4-9 (30.8%),5-8-1 (38.5%),3-4 (42.9%),3-5-0 (37.5%),1-5 (16.7%),2-3-1 (40.0%),6-7-1 (46.2%)
13,12-4 (75.0%),8-8-0  (50.0%),9-7 (56.3%),7-9-0 (43.8%),9-4 (69.2%),6-7-0 (46.2%),0-3 (0.0%),1-2-0 (33.3%),7-9-0 (43.8%)
14,14-2 (87.5%),10-5-1  (66.7%),14-2 (87.5%),10-5-1 (66.7%),13-1 (92.9%),9-4-1 (69.2%),1-1 (50.0%),1-1-0 (50.0%),11-5-0 (68.8%)
15,9-7 (56.3%),6-8-2  (42.9%),7-9 (43.8%),5-9-2 (35.7%),4-4 (50.0%),2-5-1 (28.6%),3-5 (37.5%),3-4-1 (42.9%),10-6-0 (62.5%)
16,10-6 (62.5%),7-8-1  (46.7%),8-8 (50.0%),8-7-1 (53.3%),7-5 (58.3%),6-6-0 (50.0%),1-3 (25.0%),2-1-1 (66.7%),5-11-0 (31.3%)
17,13-3 (81.3%),9-7-0  (56.3%),10-6 (62.5%),10-6-0 (62.5%),9-2 (81.8%),7-4-0 (63.6%),1-4 (20.0%),3-2-0 (60.0%),6-10-0 (37.5%)
Playoffs,7-4 (63.6%),4-6-1  (40.0%),6-4 (60.0%),4-5-1 (44.4%),5-2 (71.4%),3-4-0 (42.9%),1-2 (33.3%),1-1-1 (50.0%),3-8-0 (27.3%)
