Baltimore Colts,7-7 (50.0%),8-5-1  (61.5%),5-2 (71.4%),4-3-0  (57.1%),3-4 (42.9%),2-4-1 (33.3%),3-2 (60.0%),2-3-0 (40.0%),--
Boston Patriots,9-4-1 (69.2%),8-6  (57.1%),6-2 (75.0%),4-5-0  (44.4%),6-1 (85.7%),4-3-0 (57.1%),5-1 (83.3%),3-3-0 (50.0%),--
Buffalo Bills,7-6-1 (53.8%),8-5  (61.5%),3-2 (60.0%),2-3-0  (40.0%),3-3 (50.0%),4-2-0 (66.7%),1-2 (33.3%),1-2-0 (33.3%),--
Chicago Bears,9-5 (64.3%),8-6  (57.1%),6-1 (85.7%),4-3-0  (57.1%),4-3 (57.1%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
Cleveland Browns,7-6-1 (53.8%),7-7  (50.0%),7-5 (58.3%),6-7-0  (46.2%),4-2 (66.7%),3-4-0 (42.9%),4-2 (66.7%),3-4-0 (42.9%),--
Dallas Cowboys,5-8-1 (38.5%),9-5  (64.3%),0-3 (0.0%),0-3-0  (0.0%),2-4 (33.3%),5-2-0 (71.4%),0-1 (0.0%),0-1-0 (0.0%),--
Dallas Texans,11-3 (78.6%),7-5-2  (58.3%),9-2 (81.8%),5-4-2  (55.6%),6-1 (85.7%),3-3-1 (50.0%),6-0 (100.%),3-2-1 (60.0%),--
Denver Broncos,7-7 (50.0%),7-6  (53.8%),2-3 (40.0%),2-3-0  (40.0%),3-4 (42.9%),2-4-0 (33.3%),1-3 (25.0%),1-3-0 (25.0%),--
Detroit Lions,11-3 (78.6%),9-5  (64.3%),10-2 (83.3%),7-5-0  (58.3%),7-0 (100.%),4-3-0 (57.1%),6-0 (100.%),3-3-0 (50.0%),--
Green Bay Packers,13-1 (92.9%),8-5-1  (61.5%),13-1 (92.9%),8-5-1  (61.5%),7-0 (100.%),5-2-0 (71.4%),7-0 (100.%),5-2-0 (71.4%),--
Houston Oilers,11-3 (78.6%),5-8  (38.5%),9-2 (81.8%),4-7-0  (36.4%),6-1 (85.7%),2-5-0 (28.6%),6-1 (85.7%),2-5-0 (28.6%),--
Los Angeles Rams,1-12-1 (7.7%),5-9  (35.7%),0-2 (0.0%),0-2-0  (0.0%),0-7 (0.0%),1-6-0 (14.3%),0-2 (0.0%),0-2-0 (0.0%),--
Minnesota Vikings,2-11-1 (15.4%),4-10  (28.6%),0-0,0-1-0  (0.0%),1-5 (16.7%),1-6-0 (14.3%),0-0,0-1-0 (0.0%),--
New York Giants,12-2 (85.7%),7-7  (50.0%),11-1 (91.7%),6-6-0  (50.0%),6-1 (85.7%),3-4-0 (42.9%),5-1 (83.3%),2-4-0 (33.3%),--
New York Titans,5-9 (35.7%),6-7  (46.2%),1-1 (50.0%),1-1-0  (50.0%),2-5 (28.6%),2-5-0 (28.6%),1-1 (50.0%),1-1-0 (50.0%),--
Oakland Raiders,1-13 (7.1%),7-5-1  (58.3%),0-0,0-0-0,1-6 (14.3%),4-1-1 (80.0%),0-0,0-0-0,--
Philadelphia Eagles,3-10-1 (23.1%),5-9  (35.7%),0-3 (0.0%),0-3-0  (0.0%),2-5 (28.6%),2-5-0 (28.6%),0-2 (0.0%),0-2-0 (0.0%),--
Pittsburgh Steelers,9-5 (64.3%),7-7  (50.0%),5-1 (83.3%),2-4-0  (33.3%),4-3 (57.1%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
San Diego Chargers,4-10 (28.6%),3-9-1  (25.0%),3-4 (42.9%),1-6-0  (14.3%),3-4 (42.9%),2-5-0 (28.6%),2-2 (50.0%),1-3-0 (25.0%),--
San Francisco 49ers,6-8 (42.9%),7-7  (50.0%),4-3 (57.1%),4-3-0  (57.1%),1-6 (14.3%),2-5-0 (28.6%),1-3 (25.0%),1-3-0 (25.0%),--
St Louis Cardinals,4-9-1 (30.8%),5-9  (35.7%),1-2 (33.3%),1-3-0  (25.0%),2-4 (33.3%),2-5-0 (28.6%),1-1 (50.0%),1-2-0 (33.3%),--
Washington Redskins,5-7-2 (41.7%),8-6  (57.1%),1-2 (33.3%),1-3-0  (25.0%),3-4 (42.9%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),--
