Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
1,5-2 (71.4%),4-4-0  (50.0%),6-4 (60.0%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),0-0,1-0-0 (100.%),--
2,7-3 (70.0%),6-4-0  (60.0%),4-6 (40.0%),5-5-0 (50.0%),3-2 (60.0%),3-2-0 (60.0%),1-4 (20.0%),2-3-0 (40.0%),--
3,6-5 (54.5%),4-6-1  (40.0%),5-6 (45.5%),6-4-1 (60.0%),3-3 (50.0%),3-3-0 (50.0%),2-3 (40.0%),3-1-1 (75.0%),--
4,7-2 (77.8%),4-5-0  (44.4%),5-5 (50.0%),4-6-0 (40.0%),4-2 (66.7%),2-4-0 (33.3%),0-3 (0.0%),1-2-0 (33.3%),--
5,5-5 (50.0%),3-8-0  (27.3%),5-5 (50.0%),3-8-0 (27.3%),3-3 (50.0%),1-6-0 (14.3%),2-2 (50.0%),2-2-0 (50.0%),--
6,5-5 (50.0%),5-5-0  (50.0%),5-6 (45.5%),5-6-0 (45.5%),3-3 (50.0%),3-3-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),--
7,7-2 (77.8%),5-3-1  (62.5%),7-4 (63.6%),6-4-1 (60.0%),5-2 (71.4%),4-3-0 (57.1%),0-2 (0.0%),0-1-1 (0.0%),--
8,5-5 (50.0%),3-8-0  (27.3%),4-6 (40.0%),2-9-0 (18.2%),3-4 (42.9%),1-7-0 (12.5%),1-2 (33.3%),1-2-0 (33.3%),--
9,7-2 (77.8%),6-4-0  (60.0%),3-7 (30.0%),3-8-0 (27.3%),2-1 (66.7%),1-2-0 (33.3%),1-5 (16.7%),2-5-0 (28.6%),--
10,9-2 (81.8%),4-7-0  (36.4%),4-7 (36.4%),3-8-0 (27.3%),4-2 (66.7%),1-5-0 (16.7%),0-5 (0.0%),2-3-0 (40.0%),--
11,6-3 (66.7%),4-6-0  (40.0%),4-5 (44.4%),4-6-0 (40.0%),2-1 (66.7%),1-3-0 (25.0%),2-4 (33.3%),3-3-0 (50.0%),--
12,8-3 (72.7%),5-6-0  (45.5%),7-4 (63.6%),6-5-0 (54.5%),6-2 (75.0%),4-4-0 (50.0%),1-2 (33.3%),2-1-0 (66.7%),--
13,8-3 (72.7%),3-8-0  (27.3%),9-2 (81.8%),6-5-0 (54.5%),7-1 (87.5%),3-5-0 (37.5%),2-1 (66.7%),3-0-0 (100.%),--
14,9-1 (90.0%),5-5-0  (50.0%),6-5 (54.5%),6-5-0 (54.5%),5-0 (100.%),3-2-0 (60.0%),1-4 (20.0%),3-2-0 (60.0%),--
15,2-1 (66.7%),1-1-1  (50.0%),2-1 (66.7%),1-1-1 (50.0%),1-0 (100.%),0-0-1,1-1 (50.0%),1-1-0 (50.0%),--
Playoffs,1-1 (50.0%),1-1-0  (50.0%),0-2 (0.0%),0-2-0 (0.0%),0-1 (0.0%),0-1-0 (0.0%),0-1 (0.0%),0-1-0 (0.0%),--
