Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Baltimore Colts,3-9 (25.0%),6-6  (50.0%),0-2 (0.0%),0-2-0  (0.0%),2-4 (33.3%),4-2-0 (66.7%),0-1 (0.0%),0-1-0 (0.0%),--
Chicago Bears,3-8-1 (27.3%),7-5  (58.3%),1-3 (25.0%),1-4-0  (20.0%),1-4 (20.0%),2-4-0 (33.3%),0-2 (0.0%),0-3-0 (0.0%),--
Chicago Cardinals,1-10-1 (9.1%),5-7  (41.7%),0-1 (0.0%),0-1-0  (0.0%),0-5 (0.0%),2-4-0 (33.3%),0-1 (0.0%),0-1-0 (0.0%),--
Cleveland Browns,11-1 (91.7%),6-5  (54.5%),10-1 (90.9%),6-5-0  (54.5%),6-0 (100.%),3-2-0 (60.0%),5-0 (100.%),3-2-0 (60.0%),--
Detroit Lions,10-2 (83.3%),3-9  (25.0%),10-1 (90.9%),3-8-0  (27.3%),5-1 (83.3%),2-4-0 (33.3%),5-1 (83.3%),2-4-0 (33.3%),--
Green Bay Packers,2-9-1 (18.2%),5-7  (41.7%),0-0,0-0-0,1-5 (16.7%),2-4-0 (33.3%),0-0,0-0-0,--
Los Angeles Rams,8-3-1 (72.7%),5-7  (41.7%),7-3 (70.0%),4-7-0  (36.4%),5-1 (83.3%),3-3-0 (50.0%),5-1 (83.3%),3-3-0 (50.0%),--
New York Giants,3-9 (25.0%),3-9  (25.0%),2-1 (66.7%),1-2-0  (33.3%),2-4 (33.3%),3-3-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),--
Philadelphia Eagles,7-4-1 (63.6%),7-3  (70.0%),5-2 (71.4%),5-2-0  (71.4%),5-0 (100.%),5-0-0 (100.%),4-0 (100.%),4-0-0 (100.%),--
Pittsburgh Steelers,6-6 (50.0%),6-6  (50.0%),4-2 (66.7%),3-3-0  (50.0%),3-3 (50.0%),3-3-0 (50.0%),2-2 (50.0%),1-3-0 (25.0%),--
San Francisco 49ers,9-3 (75.0%),11-1  (91.7%),7-0 (100.%),6-1-0  (85.7%),5-1 (83.3%),5-1-0 (83.3%),4-0 (100.%),3-1-0 (75.0%),--
Washington Redskins,6-5-1 (54.5%),6-5  (54.5%),2-3 (40.0%),2-3-0  (40.0%),3-3 (50.0%),3-3-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),--
