1,1-4 (20.0%),0-4-1  (0.0%),4-2 (66.7%),3-2-1 (60.0%),1-2 (33.3%),0-2-1 (0.0%),2-0 (100.%),2-0-0 (100.%),--
2,1-5 (16.7%),0-6-0  (0.0%),4-2 (66.7%),3-3-0 (50.0%),1-2 (33.3%),0-3-0 (0.0%),3-0 (100.%),3-0-0 (100.%),--
3,1-5 (16.7%),0-6-0  (0.0%),2-4 (33.3%),1-5-0 (16.7%),1-4 (20.0%),0-5-0 (0.0%),1-0 (100.%),1-0-0 (100.%),--
4,3-3 (50.0%),3-3-0  (50.0%),4-2 (66.7%),4-2-0 (66.7%),2-1 (66.7%),2-1-0 (66.7%),2-1 (66.7%),2-1-0 (66.7%),--
5,2-3 (40.0%),2-4-0  (33.3%),2-3 (40.0%),3-3-0 (50.0%),2-3 (40.0%),2-3-0 (40.0%),0-0,1-0-0 (100.%),--
6,4-1 (80.0%),2-2-1  (50.0%),4-2 (66.7%),4-1-1 (80.0%),3-1 (75.0%),2-1-1 (66.7%),0-1 (0.0%),1-0-0 (100.%),--
7,4-2 (66.7%),4-2-0  (66.7%),6-0 (100.%),6-0-0 (100.%),4-0 (100.%),4-0-0 (100.%),2-0 (100.%),2-0-0 (100.%),--
8,4-2 (66.7%),4-2-0  (66.7%),5-1 (83.3%),5-1-0 (83.3%),3-0 (100.%),3-0-0 (100.%),2-1 (66.7%),2-1-0 (66.7%),--
9,3-1 (75.0%),2-3-0  (40.0%),3-2 (60.0%),5-1-0 (83.3%),2-0 (100.%),2-0-0 (100.%),1-1 (50.0%),3-0-0 (100.%),--
10,3-2 (60.0%),3-3-0  (50.0%),3-2 (60.0%),4-2-0 (66.7%),2-1 (66.7%),2-1-0 (66.7%),1-1 (50.0%),2-1-0 (66.7%),--
11,4-2 (66.7%),2-4-0  (33.3%),3-3 (50.0%),1-5-0 (16.7%),3-2 (60.0%),1-4-0 (20.0%),0-1 (0.0%),0-1-0 (0.0%),--
12,4-1 (80.0%),2-3-0  (40.0%),5-1 (83.3%),3-3-0 (50.0%),3-0 (100.%),1-2-0 (33.3%),1-1 (50.0%),1-1-0 (50.0%),--
Playoffs,1-0 (100.%),1-0-0  (100.%),0-1 (0.0%),0-1-0 (0.0%),0-0,0-0-0,0-1 (0.0%),0-1-0 (0.0%),--
