Arizona Cardinals,11-6 (64.7%),10-7  (58.8%),5-6 (45.5%),4-7-0  (36.4%),3-5 (37.5%),2-6-0 (25.0%),3-5 (37.5%),2-6-0 (25.0%),8-9-0 (47.1%)
Atlanta Falcons,7-10 (41.2%),6-10-1  (37.5%),4-2 (66.7%),2-3-1  (40.0%),1-6 (14.3%),0-7-0 (0.0%),1-2 (33.3%),0-3-0 (0.0%),7-9-1 (43.8%)
Baltimore Ravens,8-9 (47.1%),7-10  (41.2%),7-5 (58.3%),3-9-0  (25.0%),5-4 (55.6%),5-4-0 (55.6%),4-2 (66.7%),2-4-0 (33.3%),8-9-0 (47.1%)
Buffalo Bills,11-6 (64.7%),10-7  (58.8%),9-5 (64.3%),8-6-0  (57.1%),6-3 (66.7%),5-4-0 (55.6%),6-3 (66.7%),5-4-0 (55.6%),8-8-1 (50.0%)
Carolina Panthers,5-12 (29.4%),5-12  (29.4%),2-5 (28.6%),2-5-0  (28.6%),2-6 (25.0%),2-6-0 (25.0%),1-3 (25.0%),1-3-0 (25.0%),8-9-0 (47.1%)
Chicago Bears,6-11 (35.3%),7-10  (41.2%),4-0 (100.%),3-1-0  (75.0%),3-5 (37.5%),4-4-0 (50.0%),3-0 (100.%),3-0-0 (100.%),7-10-0 (41.2%)
Cincinnati Bengals,10-7 (58.8%),10-6-1  (62.5%),5-3 (62.5%),4-4-0  (50.0%),5-4 (55.6%),4-4-1 (50.0%),3-2 (60.0%),2-3-0 (40.0%),8-7-2 (53.3%)
Cleveland Browns,8-9 (47.1%),6-11  (35.3%),7-3 (70.0%),3-7-0  (30.0%),6-3 (66.7%),2-7-0 (22.2%),6-3 (66.7%),2-7-0 (22.2%),7-9-1 (43.8%)
Dallas Cowboys,12-5 (70.6%),13-4  (76.5%),10-3 (76.9%),10-3-0  (76.9%),5-3 (62.5%),5-3-0 (62.5%),5-3 (62.5%),5-3-0 (62.5%),8-9-0 (47.1%)
Denver Broncos,7-10 (41.2%),8-9  (47.1%),5-4 (55.6%),5-4-0  (55.6%),4-5 (44.4%),5-4-0 (55.6%),3-3 (50.0%),3-3-0 (50.0%),5-12-0 (29.4%)
Detroit Lions,3-13-1 (18.8%),11-6  (64.7%),0-0,0-0-0,3-5 (37.5%),6-2-0 (75.0%),0-0,0-0-0,7-10-0 (41.2%)
