Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,4-12 (25.0%),4-12  (25.0%),1-6 (14.3%),1-6-0  (14.3%),2-6 (25.0%),2-6-0 (25.0%),1-5 (16.7%),1-5-0 (16.7%),8-8-0 (50.0%)
Buffalo Bills,2-14 (12.5%),5-10-1  (33.3%),1-1 (50.0%),1-1-0  (50.0%),2-6 (25.0%),3-4-1 (42.9%),1-1 (50.0%),1-1-0 (50.0%),9-5-2 (64.3%)
Chicago Bears,10-6 (62.5%),9-7  (56.3%),6-2 (75.0%),5-3-0  (62.5%),6-2 (75.0%),5-3-0 (62.5%),5-1 (83.3%),4-2-0 (66.7%),6-10-0 (37.5%)
Cincinnati Bengals,8-8 (50.0%),9-6-1  (60.0%),6-3 (66.7%),5-3-1  (62.5%),5-3 (62.5%),5-3-0 (62.5%),4-2 (66.7%),4-2-0 (66.7%),9-7-0 (56.3%)
Cleveland Browns,5-11 (31.3%),9-7  (56.3%),2-2 (50.0%),2-2-0  (50.0%),2-6 (25.0%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),6-10-0 (37.5%)
Dallas Cowboys,9-7 (56.3%),6-9-1  (40.0%),7-4 (63.6%),4-6-1  (40.0%),5-3 (62.5%),2-5-1 (28.6%),5-2 (71.4%),2-4-1 (33.3%),6-10-0 (37.5%)
Denver Broncos,13-3 (81.3%),11-5  (68.8%),7-2 (77.8%),5-4-0  (55.6%),7-1 (87.5%),5-3-0 (62.5%),5-1 (83.3%),3-3-0 (50.0%),6-10-0 (37.5%)
Detroit Lions,4-11-1 (26.7%),6-10  (37.5%),1-4 (20.0%),1-5-0  (16.7%),2-5 (28.6%),2-6-0 (25.0%),1-3 (25.0%),1-4-0 (20.0%),9-7-0 (56.3%)
Green Bay Packers,8-8 (50.0%),8-8  (50.0%),6-2 (75.0%),5-3-0  (62.5%),5-3 (62.5%),4-4-0 (50.0%),5-1 (83.3%),4-2-0 (66.7%),8-8-0 (50.0%)
Houston Oilers,3-13 (18.8%),4-12  (25.0%),0-2 (0.0%),0-2-0  (0.0%),2-6 (25.0%),2-6-0 (25.0%),0-2 (0.0%),0-2-0 (0.0%),8-7-1 (53.3%)
Indianapolis Colts,4-12 (25.0%),7-9  (43.8%),1-0 (100.%),1-0-0  (100.%),2-6 (25.0%),3-5-0 (37.5%),1-0 (100.%),1-0-0 (100.%),8-8-0 (50.0%)
Kansas City Chiefs,8-8 (50.0%),8-8  (50.0%),2-2 (50.0%),0-4-0  (0.0%),5-3 (62.5%),4-4-0 (50.0%),2-2 (50.0%),0-4-0 (0.0%),6-9-1 (40.0%)
Los Angeles Raiders,11-5 (68.8%),7-8-1  (46.7%),10-4 (71.4%),6-8-0  (42.9%),6-2 (75.0%),3-5-0 (37.5%),6-2 (75.0%),3-5-0 (37.5%),4-12-0 (25.0%)
Los Angeles Rams,10-6 (62.5%),8-8  (50.0%),6-2 (75.0%),3-5-0  (37.5%),5-3 (62.5%),3-5-0 (37.5%),5-2 (71.4%),3-4-0 (42.9%),5-10-1 (33.3%)
Miami Dolphins,14-2 (87.5%),11-5  (68.8%),13-2 (86.7%),10-5-0  (66.7%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),10-4-2 (71.4%)
Minnesota Vikings,3-13 (18.8%),5-11  (31.3%),1-1 (50.0%),1-1-0  (50.0%),2-6 (25.0%),2-6-0 (25.0%),1-1 (50.0%),1-1-0 (50.0%),10-6-0 (62.5%)
New England Patriots,9-7 (56.3%),6-9-1  (40.0%),8-2 (80.0%),5-5-0  (50.0%),5-3 (62.5%),3-5-0 (37.5%),5-1 (83.3%),3-3-0 (50.0%),8-7-1 (53.3%)
New Orleans Saints,7-9 (43.8%),7-8-1  (46.7%),2-3 (40.0%),1-4-0  (20.0%),3-5 (37.5%),2-5-1 (28.6%),1-3 (25.0%),0-4-0 (0.0%),7-9-0 (43.8%)
New York Giants,9-7 (56.3%),6-10  (37.5%),4-3 (57.1%),1-6-0  (14.3%),6-2 (75.0%),3-5-0 (37.5%),3-1 (75.0%),0-4-0 (0.0%),5-11-0 (31.3%)
New York Jets,7-9 (43.8%),6-9-1  (40.0%),4-3 (57.1%),2-4-1  (33.3%),3-5 (37.5%),2-6-0 (25.0%),2-2 (50.0%),1-3-0 (25.0%),9-6-1 (60.0%)
Philadelphia Eagles,6-9-1 (40.0%),10-6  (62.5%),2-1 (66.7%),1-2-0  (33.3%),5-3 (62.5%),4-4-0 (50.0%),2-0 (100.%),1-1-0 (50.0%),7-9-0 (43.8%)
Pittsburgh Steelers,9-7 (56.3%),8-8  (50.0%),7-6 (53.8%),6-7-0  (46.2%),6-2 (75.0%),5-3-0 (62.5%),6-1 (85.7%),5-2-0 (71.4%),8-8-0 (50.0%)
San Diego Chargers,7-9 (43.8%),8-8  (50.0%),5-4 (55.6%),4-5-0  (44.4%),4-4 (50.0%),3-5-0 (37.5%),2-2 (50.0%),1-3-0 (25.0%),9-7-0 (56.3%)
San Francisco 49ers,15-1 (93.8%),12-4  (75.0%),15-1 (93.8%),12-4-0  (75.0%),7-1 (87.5%),4-4-0 (50.0%),7-1 (87.5%),4-4-0 (50.0%),8-8-0 (50.0%)
Seattle Seahawks,12-4 (75.0%),10-5-1  (66.7%),9-2 (81.8%),7-3-1  (70.0%),7-1 (87.5%),5-2-1 (71.4%),6-1 (85.7%),4-2-1 (66.7%),8-7-1 (53.3%)
St Louis Cardinals,9-7 (56.3%),9-7  (56.3%),6-2 (75.0%),4-4-0  (50.0%),5-3 (62.5%),4-4-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),10-6-0 (62.5%)
