Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Atlanta Falcons,7-7 (50.0%),4-10  (28.6%),5-3 (62.5%),2-6-0  (25.0%),4-3 (57.1%),2-5-0 (28.6%),3-2 (60.0%),1-4-0 (20.0%),--
Baltimore Colts,5-9 (35.7%),6-7-1  (46.2%),4-2 (66.7%),3-2-1  (60.0%),2-5 (28.6%),2-5-0 (28.6%),2-2 (50.0%),2-2-0 (50.0%),--
Buffalo Bills,4-9-1 (30.8%),6-8  (42.9%),1-0 (100.%),0-1-0  (0.0%),2-4 (33.3%),3-4-0 (42.9%),0-0,0-0-0,--
Chicago Bears,4-9-1 (30.8%),7-6-1  (53.8%),2-0 (100.%),2-0-0  (100.%),1-5 (16.7%),2-5-0 (28.6%),0-0,0-0-0,--
Cincinnati Bengals,8-6 (57.1%),9-5  (64.3%),6-3 (66.7%),6-3-0  (66.7%),4-3 (57.1%),4-3-0 (57.1%),3-2 (60.0%),3-2-0 (60.0%),--
Cleveland Browns,10-4 (71.4%),10-4  (71.4%),5-1 (83.3%),5-1-0  (83.3%),4-3 (57.1%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),--
Dallas Cowboys,10-4 (71.4%),5-8-1  (38.5%),10-3 (76.9%),5-7-1  (41.7%),5-2 (71.4%),2-5-0 (28.6%),5-2 (71.4%),2-5-0 (28.6%),--
Denver Broncos,5-9 (35.7%),8-6  (57.1%),2-1 (66.7%),2-1-0  (66.7%),3-4 (42.9%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),--
Detroit Lions,8-5-1 (61.5%),9-5  (64.3%),7-2 (77.8%),6-4-0  (60.0%),5-2 (71.4%),4-3-0 (57.1%),5-1 (83.3%),4-2-0 (66.7%),--
Green Bay Packers,10-4 (71.4%),10-4  (71.4%),4-1 (80.0%),3-2-0  (60.0%),4-3 (57.1%),3-4-0 (42.9%),1-1 (50.0%),0-2-0 (0.0%),--
Houston Oilers,1-13 (7.1%),3-11  (21.4%),0-1 (0.0%),0-1-0  (0.0%),1-6 (14.3%),2-5-0 (28.6%),0-1 (0.0%),0-1-0 (0.0%),--
Kansas City Chiefs,8-6 (57.1%),6-8  (42.9%),7-4 (63.6%),5-6-0  (45.5%),3-4 (42.9%),2-5-0 (28.6%),3-4 (42.9%),2-5-0 (28.6%),--
Los Angeles Rams,6-7-1 (46.2%),5-8-1  (38.5%),4-5 (44.4%),3-7-0  (30.0%),4-3 (57.1%),3-3-1 (50.0%),3-2 (60.0%),2-3-0 (40.0%),--
Miami Dolphins,14-0 (100.%),11-3  (78.6%),12-0 (100.%),9-3-0  (75.0%),7-0 (100.%),5-2-0 (71.4%),7-0 (100.%),5-2-0 (71.4%),--
Minnesota Vikings,7-7 (50.0%),4-8-2  (33.3%),7-6 (53.8%),3-8-2  (27.3%),3-4 (42.9%),1-5-1 (16.7%),3-4 (42.9%),1-5-1 (16.7%),--
New England Patriots,3-11 (21.4%),5-8-1  (38.5%),0-1 (0.0%),0-1-0  (0.0%),2-5 (28.6%),4-2-1 (66.7%),0-0,0-0-0,--
New Orleans Saints,2-11-1 (15.4%),7-7  (50.0%),1-1 (50.0%),1-1-0  (50.0%),2-5 (28.6%),4-3-0 (57.1%),1-1 (50.0%),1-1-0 (50.0%),--
New York Giants,8-6 (57.1%),7-5-2  (58.3%),6-0 (100.%),5-1-0  (83.3%),4-3 (57.1%),3-2-2 (60.0%),4-0 (100.%),3-1-0 (75.0%),--
New York Jets,7-7 (50.0%),6-8  (42.9%),7-1 (87.5%),5-3-0  (62.5%),4-3 (57.1%),2-5-0 (28.6%),4-0 (100.%),2-2-0 (50.0%),--
Oakland Raiders,10-3-1 (76.9%),7-7  (50.0%),10-2 (83.3%),7-6-0  (53.8%),5-1 (83.3%),3-4-0 (42.9%),5-1 (83.3%),3-4-0 (42.9%),--
Philadelphia Eagles,2-11-1 (15.4%),6-8  (42.9%),0-0,0-0-0,0-6 (0.0%),2-5-0 (28.6%),0-0,0-0-0,--
Pittsburgh Steelers,11-3 (78.6%),11-3  (78.6%),8-1 (88.9%),7-2-0  (77.8%),7-0 (100.%),7-0-0 (100.%),4-0 (100.%),4-0-0 (100.%),--
San Diego Chargers,4-9-1 (30.8%),7-7  (50.0%),2-2 (50.0%),2-2-0  (50.0%),2-5 (28.6%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),--
San Francisco 49ers,8-5-1 (61.5%),6-8  (42.9%),6-5 (54.5%),4-8-0  (33.3%),4-2 (66.7%),2-5-0 (28.6%),4-2 (66.7%),2-5-0 (28.6%),--
St Louis Cardinals,4-9-1 (30.8%),5-9  (35.7%),1-0 (100.%),0-2-0  (0.0%),2-5 (28.6%),1-6-0 (14.3%),1-0 (100.%),0-1-0 (0.0%),--
Washington Redskins,11-3 (78.6%),7-6-1  (53.8%),10-2 (83.3%),6-5-1  (54.5%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
