Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Baltimore Colts,6-6 (50.0%),4-8  (33.3%),6-6 (50.0%),4-8-0  (33.3%),4-2 (66.7%),3-3-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),--
Boston Patriots,5-9 (35.7%),4-8-1  (33.3%),0-4 (0.0%),0-4-0  (0.0%),3-4 (42.9%),2-4-0 (33.3%),0-3 (0.0%),0-3-0 (0.0%),--
Buffalo Bills,5-8-1 (38.5%),6-7  (46.2%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),3-3-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),--
Chicago Bears,5-6-1 (45.5%),4-8  (33.3%),4-2 (66.7%),2-5-0  (28.6%),4-2 (66.7%),3-3-0 (50.0%),4-1 (80.0%),2-3-0 (40.0%),--
Cleveland Browns,8-3-1 (72.7%),6-6  (50.0%),7-3 (70.0%),5-6-0  (45.5%),4-2 (66.7%),2-4-0 (33.3%),4-2 (66.7%),2-4-0 (33.3%),--
Dallas Cowboys,0-11-1 (0.0%),6-6  (50.0%),0-0,0-0-0,0-6 (0.0%),2-4-0 (33.3%),0-0,0-0-0,--
Dallas Texans,8-6 (57.1%),6-6-1  (50.0%),6-5 (54.5%),5-5-1  (50.0%),5-2 (71.4%),4-2-0 (66.7%),4-2 (66.7%),4-2-0 (66.7%),--
Denver Broncos,4-9-1 (30.8%),4-7-1  (36.4%),2-2 (50.0%),1-3-1  (25.0%),2-4 (33.3%),1-5-1 (16.7%),2-2 (50.0%),1-3-1 (25.0%),--
Detroit Lions,7-5 (58.3%),5-6-1  (45.5%),3-0 (100.%),1-2-0  (33.3%),5-1 (83.3%),3-2-1 (60.0%),3-0 (100.%),1-2-0 (33.3%),--
Green Bay Packers,8-4 (66.7%),7-4-1  (63.6%),6-3 (66.7%),5-3-1  (62.5%),4-2 (66.7%),4-2-0 (66.7%),3-2 (60.0%),3-2-0 (60.0%),--
Houston Oilers,10-4 (71.4%),8-6  (57.1%),9-2 (81.8%),7-4-0  (63.6%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Los Angeles Chargers,10-4 (71.4%),9-3-1  (75.0%),4-2 (66.7%),3-2-1  (60.0%),5-2 (71.4%),4-2-1 (66.7%),3-2 (60.0%),2-2-1 (50.0%),--
Los Angeles Rams,4-7-1 (36.4%),9-3  (75.0%),2-2 (50.0%),2-2-0  (50.0%),2-3 (40.0%),3-3-0 (50.0%),1-2 (33.3%),1-2-0 (33.3%),--
New York Giants,6-4-2 (60.0%),5-7  (41.7%),4-2 (66.7%),3-5-0  (37.5%),1-3 (25.0%),0-6-0 (0.0%),1-2 (33.3%),0-5-0 (0.0%),--
New York Titans,7-7 (50.0%),6-5-2  (54.5%),4-4 (50.0%),2-5-1  (28.6%),3-4 (42.9%),2-5-0 (28.6%),2-4 (33.3%),1-5-0 (16.7%),--
Oakland Raiders,6-8 (42.9%),5-6-2  (45.5%),2-0 (100.%),2-0-0  (100.%),3-4 (42.9%),2-2-2 (50.0%),2-0 (100.%),2-0-0 (100.%),--
Philadelphia Eagles,10-2 (83.3%),7-5  (58.3%),8-1 (88.9%),5-4-0  (55.6%),5-1 (83.3%),3-3-0 (50.0%),5-0 (100.%),3-2-0 (60.0%),--
Pittsburgh Steelers,5-6-1 (45.5%),6-4-2  (60.0%),3-0 (100.%),3-0-0  (100.%),4-2 (66.7%),4-1-1 (80.0%),2-0 (100.%),2-0-0 (100.%),--
San Francisco 49ers,7-5 (58.3%),4-7-1  (36.4%),3-2 (60.0%),0-4-1  (0.0%),3-3 (50.0%),2-4-0 (33.3%),1-2 (33.3%),0-3-0 (0.0%),--
St Louis Cardinals,6-5-1 (54.5%),8-4  (66.7%),4-0 (100.%),3-1-0  (75.0%),3-2 (60.0%),3-3-0 (50.0%),3-0 (100.%),2-1-0 (66.7%),--
Washington Commanders,1-9-2 (10.0%),4-7-1  (36.4%),1-0 (100.%),1-0-0  (100.%),1-4 (20.0%),1-4-1 (20.0%),1-0 (100.%),1-0-0 (100.%),--
