Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,5-11 (31.3%),5-11  (31.3%),2-2 (50.0%),1-3-0  (25.0%),4-4 (50.0%),3-5-0 (37.5%),1-2 (33.3%),0-3-0 (0.0%),10-6-0 (62.5%)
Atlanta Falcons,13-3 (81.3%),11-5  (68.8%),12-2 (85.7%),10-4-0  (71.4%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),9-6-1 (60.0%)
Baltimore Ravens,12-4 (75.0%),8-7-1  (53.3%),10-2 (83.3%),6-6-0  (50.0%),7-1 (87.5%),3-5-0 (37.5%),7-1 (87.5%),3-5-0 (37.5%),7-9-0 (43.8%)
Buffalo Bills,4-12 (25.0%),8-7-1  (53.3%),1-1 (50.0%),1-1-0  (50.0%),2-6 (25.0%),3-4-1 (42.9%),1-1 (50.0%),1-1-0 (50.0%),7-9-0 (43.8%)
Carolina Panthers,2-14 (12.5%),4-12  (25.0%),1-2 (33.3%),1-2-0  (33.3%),2-6 (25.0%),2-6-0 (25.0%),1-2 (33.3%),1-2-0 (33.3%),6-9-1 (40.0%)
Chicago Bears,11-5 (68.8%),9-6-1  (60.0%),5-2 (71.4%),2-4-1  (33.3%),5-3 (62.5%),4-4-0 (50.0%),2-2 (50.0%),1-3-0 (25.0%),7-9-0 (43.8%)
Cincinnati Bengals,4-12 (25.0%),7-9  (43.8%),1-4 (20.0%),1-4-0  (20.0%),3-5 (37.5%),4-4-0 (50.0%),0-3 (0.0%),0-3-0 (0.0%),8-8-0 (50.0%)
Cleveland Browns,5-11 (31.3%),5-11  (31.3%),1-1 (50.0%),0-2-0  (0.0%),3-5 (37.5%),2-6-0 (25.0%),1-1 (50.0%),0-2-0 (0.0%),9-7-0 (56.3%)
Dallas Cowboys,6-10 (37.5%),7-9  (43.8%),2-6 (25.0%),1-7-0  (12.5%),2-6 (25.0%),3-5-0 (37.5%),2-4 (33.3%),1-5-0 (16.7%),13-3-0 (81.3%)
Denver Broncos,4-12 (25.0%),5-11  (31.3%),1-3 (25.0%),1-3-0  (25.0%),3-5 (37.5%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),10-6-0 (62.5%)
Detroit Lions,6-10 (37.5%),12-4  (75.0%),3-0 (100.%),3-0-0  (100.%),4-4 (50.0%),7-1-0 (87.5%),3-0 (100.%),3-0-0 (100.%),10-5-1 (66.7%)
Green Bay Packers,10-6 (62.5%),9-7  (56.3%),9-4 (69.2%),7-6-0  (53.8%),7-1 (87.5%),5-3-0 (62.5%),7-1 (87.5%),5-3-0 (62.5%),6-10-0 (37.5%)
Houston Texans,6-10 (37.5%),5-10-1  (33.3%),5-3 (62.5%),3-4-1  (42.9%),4-4 (50.0%),3-5-0 (37.5%),3-2 (60.0%),2-3-0 (40.0%),11-5-0 (68.8%)
Indianapolis Colts,10-6 (62.5%),8-7-1  (53.3%),10-4 (71.4%),6-7-1  (46.2%),6-2 (75.0%),4-4-0 (50.0%),6-2 (75.0%),4-4-0 (50.0%),10-6-0 (62.5%)
Jacksonville Jaguars,8-8 (50.0%),9-7  (56.3%),3-1 (75.0%),3-1-0  (75.0%),5-3 (62.5%),5-3-0 (62.5%),3-1 (75.0%),3-1-0 (75.0%),10-5-1 (66.7%)
Kansas City Chiefs,10-6 (62.5%),9-7  (56.3%),6-2 (75.0%),4-4-0  (50.0%),7-1 (87.5%),5-3-0 (62.5%),5-1 (83.3%),3-3-0 (50.0%),7-9-0 (43.8%)
Miami Dolphins,7-9 (43.8%),8-8  (50.0%),2-5 (28.6%),2-5-0  (28.6%),1-7 (12.5%),2-6-0 (25.0%),1-5 (16.7%),1-5-0 (16.7%),7-9-0 (43.8%)
Minnesota Vikings,6-10 (37.5%),5-10-1  (33.3%),5-2 (71.4%),4-3-0  (57.1%),4-4 (50.0%),3-5-0 (37.5%),4-1 (80.0%),3-2-0 (60.0%),7-9-0 (43.8%)
New England Patriots,14-2 (87.5%),10-5-1  (66.7%),12-2 (85.7%),8-5-1  (61.5%),8-0 (100.%),4-3-1 (57.1%),8-0 (100.%),4-3-1 (57.1%),13-3-0 (81.3%)
New Orleans Saints,11-5 (68.8%),6-9-1  (40.0%),10-4 (71.4%),5-8-1  (38.5%),5-3 (62.5%),3-4-1 (42.9%),5-3 (62.5%),3-4-1 (42.9%),8-8-0 (50.0%)
New York Giants,10-6 (62.5%),7-9  (43.8%),8-3 (72.7%),5-6-0  (45.5%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),8-7-1 (53.3%)
New York Jets,11-5 (68.8%),9-7  (56.3%),8-3 (72.7%),6-5-0  (54.5%),5-3 (62.5%),4-4-0 (50.0%),4-3 (57.1%),3-4-0 (42.9%),12-4-0 (75.0%)
Oakland Raiders,8-8 (50.0%),8-8  (50.0%),3-1 (75.0%),2-2-0  (50.0%),5-3 (62.5%),4-4-0 (50.0%),3-1 (75.0%),2-2-0 (50.0%),10-6-0 (62.5%)
Philadelphia Eagles,10-6 (62.5%),7-9  (43.8%),8-3 (72.7%),5-6-0  (45.5%),4-4 (50.0%),3-5-0 (37.5%),4-2 (66.7%),3-3-0 (50.0%),10-6-0 (62.5%)
Pittsburgh Steelers,12-4 (75.0%),10-6  (62.5%),9-3 (75.0%),7-5-0  (58.3%),5-3 (62.5%),5-3-0 (62.5%),4-3 (57.1%),4-3-0 (57.1%),7-9-0 (43.8%)
San Diego Chargers,9-7 (56.3%),9-7  (56.3%),8-7 (53.3%),8-7-0  (53.3%),6-2 (75.0%),6-2-0 (75.0%),6-2 (75.0%),6-2-0 (75.0%),8-8-0 (50.0%)
San Francisco 49ers,6-10 (37.5%),7-9  (43.8%),6-5 (54.5%),5-6-0  (45.5%),4-3 (57.1%),4-3-0 (57.1%),4-2 (66.7%),3-3-0 (50.0%),9-6-1 (60.0%)
Seattle Seahawks,7-9 (43.8%),7-9  (43.8%),2-1 (66.7%),2-1-0  (66.7%),5-3 (62.5%),5-3-0 (62.5%),2-0 (100.%),2-0-0 (100.%),11-4-1 (73.3%)
St Louis Rams,7-9 (43.8%),10-6  (62.5%),3-2 (60.0%),3-2-0  (60.0%),5-3 (62.5%),5-3-0 (62.5%),2-1 (66.7%),2-1-0 (66.7%),6-10-0 (37.5%)
Tampa Bay Buccaneers,10-6 (62.5%),10-6  (62.5%),5-1 (83.3%),3-3-0  (50.0%),4-4 (50.0%),3-5-0 (37.5%),4-1 (80.0%),3-2-0 (60.0%),7-8-1 (46.7%)
Tennessee Titans,6-10 (37.5%),8-8  (50.0%),4-4 (50.0%),4-4-0  (50.0%),3-5 (37.5%),4-4-0 (50.0%),3-4 (42.9%),3-4-0 (42.9%),9-7-0 (56.3%)
Washington Redskins,6-10 (37.5%),9-5-2  (64.3%),0-1 (0.0%),0-1-0  (0.0%),2-6 (25.0%),4-2-2 (66.7%),0-0,0-0-0,6-10-0 (37.5%)
