Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,32-50-1 (39.2%),43-38-2 (53.0%),11-14-0 (44.0%),9-16-0 (36.0%),12-27-0 (30.8%),18-22-0 (45.0%),7-10-0 (41.2%),5-12-0 (29.4%),42-41-0 (50.6%)
Atlanta Falcons,32-51-0 (38.6%),35-46-2 (43.4%),16-17-0 (48.5%),10-22-1 (31.8%),17-23-0 (42.5%),15-24-1 (38.8%),12-12-0 (50.0%),7-17-0 (29.2%),35-47-1 (42.8%)
Baltimore Ravens,56-27-0 (67.5%),44-38-1 (53.6%),47-17-0 (73.4%),31-33-0 (48.4%),28-14-0 (66.7%),20-21-1 (48.8%),25-10-0 (71.4%),15-20-0 (42.9%),37-46-0 (44.6%)
Buffalo Bills,58-24-0 (70.7%),45-34-3 (56.7%),48-14-0 (77.4%),33-28-1 (54.0%),30-10-0 (75.0%),21-19-0 (52.5%),28-6-0 (82.4%),18-16-0 (52.9%),34-46-2 (42.7%)
Carolina Panthers,24-59-0 (28.9%),33-47-3 (41.6%),6-14-0 (30.0%),6-14-0 (30.0%),13-28-0 (31.7%),14-25-2 (36.6%),3-12-0 (20.0%),3-12-0 (20.0%),40-43-0 (48.2%)
Chicago Bears,32-51-0 (38.6%),32-49-2 (39.8%),16-7-0 (69.6%),8-14-1 (37.0%),17-24-0 (41.5%),17-22-2 (43.9%),10-6-0 (62.5%),6-9-1 (40.6%),40-43-0 (48.2%)
Cincinnati Bengals,37-44-1 (45.7%),45-34-3 (56.7%),24-14-0 (63.2%),21-15-2 (57.9%),22-19-0 (53.7%),21-17-3 (54.9%),15-7-0 (68.2%),12-8-2 (59.1%),38-40-4 (48.8%)
Cleveland Browns,43-40-0 (51.8%),36-46-1 (44.0%),32-16-0 (66.7%),21-26-1 (44.8%),28-14-0 (66.7%),20-21-1 (48.8%),24-9-0 (72.7%),16-16-1 (50.0%),43-38-2 (53.0%)
Dallas Cowboys,50-33-0 (60.2%),47-36-0 (56.6%),41-19-0 (68.3%),35-25-0 (58.3%),30-11-0 (73.2%),25-16-0 (61.0%),26-9-0 (74.3%),20-15-0 (57.1%),46-36-1 (56.0%)
Denver Broncos,32-51-0 (38.6%),39-42-2 (48.2%),16-15-0 (51.6%),11-18-2 (38.7%),20-22-0 (47.6%),21-20-1 (51.2%),13-10-0 (56.5%),9-13-1 (41.3%),34-49-0 (41.0%)
Detroit Lions,32-49-2 (39.8%),48-35-0 (57.8%),18-8-0 (69.2%),16-11-0 (59.3%),17-24-0 (41.5%),25-16-0 (61.0%),12-4-0 (75.0%),10-6-0 (62.5%),47-35-1 (57.2%)
Green Bay Packers,56-27-0 (67.5%),47-34-2 (57.8%),40-15-0 (72.7%),28-25-2 (52.7%),32-8-0 (80.0%),25-14-1 (63.7%),28-6-0 (82.4%),21-12-1 (63.2%),41-42-0 (49.4%)
Houston Texans,31-51-1 (38.0%),37-43-3 (46.4%),14-9-0 (60.9%),7-15-1 (32.6%),15-26-0 (36.6%),16-25-1 (39.3%),9-6-0 (60.0%),4-11-0 (26.7%),36-47-0 (43.4%)
Indianapolis Colts,40-42-1 (48.8%),40-41-2 (49.4%),28-15-0 (65.1%),22-22-0 (50.0%),21-21-0 (50.0%),18-24-0 (42.9%),19-10-0 (65.5%),13-16-0 (44.8%),44-39-0 (53.0%)
Jacksonville Jaguars,28-55-0 (33.7%),36-47-0 (43.4%),12-12-0 (50.0%),10-13-1 (43.8%),14-24-0 (36.8%),15-23-0 (39.5%),5-7-0 (41.7%),4-8-0 (33.3%),37-46-0 (44.6%)
Kansas City Chiefs,63-20-0 (75.9%),41-40-2 (50.6%),58-17-0 (77.3%),36-37-2 (49.3%),29-12-0 (70.7%),18-22-1 (45.1%),28-9-0 (75.7%),17-19-1 (47.3%),38-44-1 (46.4%)
Los Angeles Chargers,36-47-0 (43.4%),36-41-6 (47.0%),28-23-0 (54.9%),21-27-3 (44.1%),18-23-0 (43.9%),16-23-2 (41.5%),16-14-0 (53.3%),11-17-2 (40.0%),38-45-0 (45.8%)
Los Angeles Rams,46-37-0 (55.4%),43-36-4 (54.2%),38-17-0 (69.1%),29-24-2 (54.5%),24-16-0 (60.0%),21-18-1 (53.8%),21-11-0 (65.6%),16-15-1 (51.6%),36-47-0 (43.4%)
