Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,179-238-2 (43.0%),196-213-10 (48.0%),91-51-0 (64.1%),61-78-4 (44.1%),103-102-0 (50.2%),97-107-3 (47.6%),62-36-0 (63.3%),40-57-2 (41.4%),207-208-4 (49.9%)
Atlanta Falcons,208-210-1 (49.8%),200-212-7 (48.6%),139-71-0 (66.2%),98-109-3 (47.4%),116-91-0 (56.0%),93-112-2 (45.4%),94-51-0 (64.8%),64-80-1 (44.5%),186-225-8 (45.3%)
Baltimore Ravens,246-173-0 (58.7%),210-194-15 (51.9%),191-71-0 (72.9%),130-125-7 (51.0%),147-63-0 (70.0%),107-95-8 (52.9%),131-36-0 (78.4%),87-76-4 (53.3%),188-219-12 (46.3%)
Buffalo Bills,206-212-0 (49.3%),210-193-15 (52.0%),132-61-0 (68.4%),100-87-6 (53.4%),118-89-0 (57.0%),104-97-6 (51.7%),91-41-0 (68.9%),68-62-2 (52.3%),199-215-4 (48.1%)
Carolina Panthers,188-230-1 (45.0%),203-202-14 (50.1%),110-74-0 (59.8%),82-96-6 (46.2%),104-105-0 (49.8%),97-105-7 (48.1%),77-49-0 (61.1%),57-66-3 (46.4%),201-213-5 (48.6%)
Chicago Bears,191-228-0 (45.6%),195-211-13 (48.1%),105-47-0 (69.1%),69-77-6 (47.4%),108-101-0 (51.7%),101-102-6 (49.8%),72-37-0 (66.1%),48-57-4 (45.9%),197-218-4 (47.5%)
Cincinnati Bengals,187-227-4 (45.2%),203-197-18 (50.7%),110-65-0 (62.9%),84-84-9 (50.0%),108-98-0 (52.4%),96-101-11 (48.8%),71-43-0 (62.3%),50-57-8 (47.0%),197-212-9 (48.2%)
Dallas Cowboys,228-191-0 (54.4%),209-202-8 (50.8%),164-86-0 (65.6%),120-125-5 (49.0%),129-80-0 (61.7%),107-98-4 (52.2%),107-52-0 (67.3%),75-81-3 (48.1%),209-207-3 (50.2%)
Denver Broncos,227-192-0 (54.2%),197-211-11 (48.3%),163-90-0 (64.4%),110-133-10 (45.5%),131-79-0 (62.4%),95-108-7 (46.9%),107-51-0 (67.7%),65-86-7 (43.4%),211-202-6 (51.1%)
Detroit Lions,156-261-2 (37.5%),203-207-9 (49.5%),84-56-0 (60.0%),63-72-6 (46.8%),95-114-0 (45.5%),107-98-4 (52.2%),63-33-0 (65.6%),47-45-4 (51.0%),220-193-6 (53.2%)
Green Bay Packers,259-158-2 (62.1%),219-186-14 (53.9%),204-79-0 (72.1%),149-126-9 (54.0%),151-55-0 (73.3%),115-88-5 (56.5%),137-39-0 (77.8%),99-74-4 (57.1%),225-192-2 (53.9%)
Indianapolis Colts,246-172-1 (58.8%),215-193-11 (52.6%),194-66-0 (74.6%),137-117-7 (53.8%),135-75-0 (64.3%),103-104-3 (49.8%),120-41-0 (74.5%),79-79-3 (50.0%),217-196-6 (52.5%)
Jacksonville Jaguars,174-245-0 (41.5%),192-216-11 (47.1%),99-66-0 (60.0%),75-86-4 (46.7%),99-103-0 (49.0%),90-107-5 (45.8%),64-40-0 (61.5%),48-54-2 (47.1%),203-212-4 (48.9%)
Kansas City Chiefs,233-186-0 (55.6%),212-198-9 (51.7%),171-75-0 (69.5%),121-122-3 (49.8%),129-79-0 (62.0%),100-104-4 (49.0%),107-45-0 (70.4%),72-78-2 (48.0%),196-216-7 (47.6%)
Miami Dolphins,207-212-0 (49.4%),206-202-11 (50.5%),116-62-0 (65.2%),85-90-3 (48.6%),121-86-0 (58.5%),100-100-7 (50.0%),86-42-0 (67.2%),60-65-3 (48.0%),195-218-6 (47.3%)
Minnesota Vikings,225-192-2 (53.9%),208-197-14 (51.3%),163-72-0 (69.4%),116-113-7 (50.6%),137-71-0 (65.9%),109-94-5 (53.6%),111-43-0 (72.1%),77-73-4 (51.3%),213-198-8 (51.8%)
New England Patriots,283-136-0 (67.5%),230-177-12 (56.3%),233-73-0 (76.1%),164-133-9 (55.1%),155-54-0 (74.2%),113-87-9 (56.2%),140-38-0 (78.7%),95-76-7 (55.3%),206-207-6 (49.9%)
New Orleans Saints,229-190-0 (54.7%),215-198-6 (52.0%),165-79-0 (67.6%),125-115-4 (52.0%),116-90-0 (56.3%),95-107-4 (47.1%),95-54-0 (63.8%),71-75-3 (48.7%),216-199-4 (52.0%)
New York Giants,198-220-1 (47.4%),208-202-9 (50.7%),124-66-0 (65.3%),91-93-6 (49.5%),105-103-0 (50.5%),92-112-5 (45.2%),83-48-0 (63.4%),57-69-5 (45.4%),188-219-12 (46.3%)
New York Jets,188-231-0 (44.9%),196-209-14 (48.4%),102-63-0 (61.8%),75-84-6 (47.3%),106-104-0 (50.5%),101-105-4 (49.0%),71-41-0 (63.4%),50-59-3 (46.0%),198-210-11 (48.6%)
Oakland Raiders,141-211-0 (40.1%),160-185-7 (46.4%),69-51-0 (57.5%),47-69-4 (40.8%),80-91-0 (46.8%),69-98-4 (41.5%),53-33-0 (61.6%),35-49-2 (41.9%),171-172-9 (49.9%)
Philadelphia Eagles,236-181-2 (56.6%),211-200-8 (51.3%),176-80-0 (68.8%),130-125-3 (51.0%),123-85-0 (59.1%),101-103-5 (49.5%),110-45-0 (71.0%),80-74-2 (51.9%),206-207-6 (49.9%)
Pittsburgh Steelers,258-158-3 (61.9%),216-194-9 (52.6%),185-89-0 (67.5%),130-141-6 (48.0%),142-66-0 (68.3%),108-98-4 (52.4%),119-52-0 (69.6%),83-87-3 (48.8%),190-224-5 (45.9%)
San Diego Chargers,149-155-0 (49.0%),152-145-7 (51.2%),97-51-0 (65.5%),72-73-3 (49.7%),87-65-0 (57.2%),72-77-3 (48.4%),68-31-0 (68.7%),50-46-3 (52.0%),156-144-4 (52.0%)
San Francisco 49ers,205-213-1 (49.0%),195-209-15 (48.3%),144-66-0 (68.6%),98-104-9 (48.6%),117-90-0 (56.5%),95-103-10 (48.1%),91-41-0 (68.9%),58-66-9 (47.0%),208-202-9 (50.7%)
Seattle Seahawks,236-182-1 (56.4%),204-199-16 (50.6%),172-68-0 (71.7%),115-117-8 (49.6%),139-70-0 (66.5%),112-91-6 (55.0%),116-39-0 (74.8%),80-70-5 (53.2%),205-202-12 (50.4%)
St Louis Rams,124-163-1 (43.2%),130-154-4 (45.8%),80-49-0 (62.0%),59-67-3 (46.9%),73-70-0 (51.0%),69-71-3 (49.3%),50-29-0 (63.3%),36-41-2 (46.8%),138-145-5 (48.8%)
Tampa Bay Buccaneers,198-221-0 (47.3%),197-211-11 (48.3%),133-78-0 (63.0%),96-110-5 (46.7%),109-96-0 (53.2%),94-104-7 (47.6%),88-52-0 (62.9%),65-70-5 (48.2%),196-220-3 (47.1%)
Tennessee Oilers,8-8-0 (50.0%),8-8-0 (50.0%),3-3-0 (50.0%),2-4-0 (33.3%),3-5-0 (37.5%),2-6-0 (25.0%),3-3-0 (50.0%),2-4-0 (33.3%),7-9-0 (43.8%)
Washington Redskins,148-203-1 (42.2%),163-176-13 (48.2%),71-58-0 (55.0%),49-77-3 (39.1%),83-93-0 (47.2%),75-96-5 (44.0%),50-38-0 (56.8%),33-53-2 (38.6%),165-180-7 (47.9%)
Cleveland Browns,138-264-1 (34.4%),182-212-9 (46.3%),68-48-0 (58.6%),53-61-2 (46.6%),84-116-0 (42.0%),90-104-7 (46.5%),52-38-0 (57.8%),40-48-2 (45.6%),185-211-7 (46.8%)
Tennessee Titans,209-194-0 (51.9%),188-202-13 (48.3%),130-65-0 (66.7%),86-102-7 (45.9%),115-86-0 (57.2%),96-97-8 (49.8%),85-41-0 (67.5%),57-65-4 (46.8%),210-185-8 (53.1%)
Houston Texans,152-202-1 (43.0%),165-180-10 (47.9%),88-46-0 (65.7%),59-69-6 (46.3%),87-90-0 (49.2%),82-90-6 (47.8%),63-33-0 (65.6%),43-50-3 (46.4%),167-183-5 (47.7%)
Los Angeles Rams,74-57-0 (56.5%),63-62-6 (50.4%),61-26-0 (70.1%),44-40-3 (52.3%),35-27-0 (56.5%),28-31-3 (47.6%),31-17-0 (64.6%),22-24-2 (47.9%),62-69-0 (47.3%)
Los Angeles Chargers,57-58-0 (49.6%),53-55-7 (49.1%),42-28-0 (60.0%),30-37-3 (45.0%),27-29-0 (48.2%),22-32-2 (41.1%),24-19-0 (55.8%),16-25-2 (39.5%),50-65-0 (43.5%)
Las Vegas Raiders,32-35-0 (47.8%),35-31-1 (53.0%),16-13-0 (55.2%),13-16-0 (44.8%),17-17-0 (50.0%),19-14-1 (57.4%),12-6-0 (66.7%),11-7-0 (61.1%),35-31-1 (53.0%)
Washington Football Team,14-19-0 (42.4%),16-17-0 (48.5%),5-2-0 (71.4%),3-4-0 (42.9%),6-10-0 (37.5%),8-8-0 (50.0%),2-2-0 (50.0%),1-3-0 (25.0%),12-21-0 (36.4%)
Washington Commanders,12-21-1 (36.8%),14-19-1 (42.6%),5-5-0 (50.0%),4-7-0 (36.4%),5-12-0 (29.4%),4-12-1 (26.5%),3-4-0 (42.9%),2-5-0 (28.6%),15-19-0 (44.1%)
