Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,45-33-0 (57.7%),33-46-1 (41.9%),35-42-0 (45.5%),33-45-1 (42.4%),25-22-0 (53.2%),17-29-1 (37.2%),10-20-0 (33.3%),16-16-0 (50.0%),33-47-0 (41.2%)
2,56-24-0 (70.0%),34-44-2 (43.8%),43-37-0 (53.8%),34-44-2 (43.8%),34-15-0 (69.4%),19-29-1 (39.8%),9-22-0 (29.0%),15-15-1 (50.0%),41-39-0 (51.2%)
3,46-33-0 (58.2%),36-42-2 (46.2%),40-39-0 (50.6%),34-44-2 (43.8%),31-24-0 (56.4%),23-31-2 (42.9%),9-15-0 (37.5%),11-13-0 (45.8%),35-44-1 (44.4%)
4,50-28-0 (64.1%),37-39-2 (48.7%),32-44-0 (42.1%),32-42-2 (43.4%),25-21-0 (54.3%),20-26-0 (43.5%),7-23-0 (23.3%),12-16-2 (43.3%),35-42-1 (45.5%)
5,49-26-0 (65.3%),34-40-1 (46.0%),37-34-0 (52.1%),29-41-1 (41.5%),31-17-0 (64.6%),20-28-0 (41.7%),6-17-0 (26.1%),9-13-1 (41.3%),37-38-0 (49.3%)
6,44-27-0 (62.0%),34-37-0 (47.9%),36-32-0 (52.9%),32-36-0 (47.1%),24-14-0 (63.2%),17-21-0 (44.7%),12-18-0 (40.0%),15-15-0 (50.0%),24-46-1 (34.5%)
7,44-24-0 (64.7%),31-35-2 (47.1%),38-30-0 (55.9%),36-30-2 (54.4%),28-14-0 (66.7%),21-20-1 (51.2%),10-16-0 (38.5%),15-10-1 (59.6%),29-38-1 (43.4%)
8,48-27-0 (64.0%),31-43-1 (42.0%),40-33-0 (54.8%),34-38-1 (47.3%),30-16-0 (65.2%),19-27-0 (41.3%),10-17-0 (37.0%),15-11-1 (57.4%),37-37-1 (50.0%)
9,45-24-0 (65.2%),29-37-3 (44.2%),39-28-0 (58.2%),37-27-3 (57.5%),28-12-0 (70.0%),20-19-1 (51.2%),11-16-0 (40.7%),17-8-2 (66.7%),33-36-0 (47.8%)
10,38-30-0 (55.9%),28-40-1 (41.3%),43-23-0 (65.2%),33-33-1 (50.0%),28-15-0 (65.1%),18-25-1 (42.0%),15-8-0 (65.2%),15-8-0 (65.2%),31-36-2 (46.4%)
11,52-19-0 (73.2%),35-35-1 (50.0%),37-31-0 (54.4%),28-39-1 (41.9%),32-14-0 (69.6%),19-26-1 (42.4%),5-17-0 (22.7%),9-13-0 (40.9%),31-40-0 (43.7%)
12,53-23-0 (69.7%),39-37-0 (51.3%),43-34-0 (55.8%),43-34-0 (55.8%),29-10-0 (74.4%),22-17-0 (56.4%),13-24-0 (35.1%),20-17-0 (54.1%),35-42-0 (45.5%)
13,48-24-0 (66.7%),38-35-0 (52.1%),33-39-0 (45.8%),30-43-0 (41.1%),23-14-0 (62.2%),16-21-0 (43.2%),10-25-0 (28.6%),14-22-0 (38.9%),35-38-0 (47.9%)
14,51-23-0 (68.9%),38-34-2 (52.7%),40-34-0 (54.1%),34-38-2 (47.3%),32-15-0 (68.1%),23-23-1 (50.0%),8-19-0 (29.6%),11-15-1 (42.6%),38-35-1 (52.0%)
15,55-25-0 (68.8%),40-35-5 (53.1%),43-37-0 (53.8%),40-35-5 (53.1%),34-16-0 (68.0%),26-21-3 (55.0%),9-21-0 (30.0%),14-14-2 (50.0%),41-39-0 (51.2%)
16,52-27-0 (65.8%),38-38-3 (50.0%),43-37-0 (53.8%),39-38-3 (50.6%),30-15-0 (66.7%),22-22-1 (50.0%),12-22-0 (35.3%),16-16-2 (50.0%),38-40-2 (48.8%)
17,61-18-0 (77.2%),37-40-2 (48.1%),44-35-0 (55.7%),44-33-2 (57.0%),37-11-0 (77.1%),25-21-2 (54.2%),7-24-0 (22.6%),19-12-0 (61.3%),44-33-2 (57.0%)
18,32-16-0 (66.7%),24-23-1 (51.0%),26-22-0 (54.2%),24-23-1 (51.0%),19-9-0 (67.9%),14-13-1 (51.8%),7-13-0 (35.0%),10-10-0 (50.0%),25-22-1 (53.1%)
Playoffs,39-24-0 (61.9%),28-35-0 (44.4%),37-23-0 (61.7%),29-31-0 (48.3%),34-20-0 (63.0%),25-29-0 (46.3%),3-3-0 (50.0%),4-2-0 (66.7%),28-33-2 (46.0%)
