Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,104-68-0 (60.5%),74-96-5 (43.7%),86-85-0 (50.3%),75-94-5 (44.5%),65-46-0 (58.6%),43-63-5 (41.0%),21-39-0 (35.0%),32-31-0 (50.8%),78-96-1 (44.9%)
2,113-62-0 (64.6%),77-97-2 (44.3%),103-72-0 (58.9%),85-89-2 (48.9%),79-38-0 (67.5%),52-64-1 (44.9%),24-34-0 (41.4%),33-25-1 (56.8%),88-88-0 (50.0%)
3,104-69-0 (60.1%),79-91-4 (46.6%),98-77-0 (56.0%),86-86-4 (50.0%),73-46-0 (61.3%),55-62-3 (47.1%),23-31-0 (42.6%),29-24-1 (54.6%),90-85-1 (51.4%)
4,105-62-0 (62.9%),81-83-3 (49.4%),81-79-0 (50.6%),72-85-3 (45.9%),61-38-0 (61.6%),46-52-1 (47.0%),20-41-0 (32.8%),26-33-2 (44.3%),86-80-1 (51.8%)
5,104-55-0 (65.4%),74-80-5 (48.1%),85-72-0 (54.1%),69-83-5 (45.5%),69-38-0 (64.5%),47-57-3 (45.3%),14-34-0 (29.2%),20-26-2 (43.8%),80-80-1 (50.0%)
6,98-59-0 (62.4%),67-87-4 (43.7%),83-71-0 (53.9%),71-80-4 (47.1%),58-34-0 (63.0%),37-53-3 (41.4%),24-37-0 (39.3%),33-27-1 (54.9%),79-79-1 (50.0%)
7,104-51-0 (67.1%),75-76-5 (49.7%),89-62-0 (58.9%),76-71-5 (51.6%),67-28-0 (70.5%),47-45-4 (51.0%),22-34-0 (39.3%),29-26-1 (52.7%),69-85-2 (44.9%)
8,110-46-0 (70.5%),77-78-2 (49.7%),88-62-0 (58.7%),75-73-2 (50.7%),68-25-0 (73.1%),46-46-1 (50.0%),20-37-0 (35.1%),29-27-1 (51.8%),80-74-3 (51.9%)
9,94-51-0 (64.8%),67-71-7 (48.6%),84-61-0 (57.9%),73-65-7 (52.8%),59-27-0 (68.6%),42-41-3 (50.6%),23-34-0 (40.4%),29-24-4 (54.4%),76-69-2 (52.4%)
10,85-66-0 (56.3%),64-85-3 (43.1%),83-65-0 (56.1%),67-79-3 (46.0%),58-41-0 (58.6%),40-58-2 (41.0%),25-24-0 (51.0%),27-21-1 (56.1%),71-77-4 (48.0%)
11,112-42-0 (72.7%),78-68-8 (53.2%),86-64-0 (57.3%),67-75-8 (47.3%),72-29-0 (71.3%),47-49-5 (49.0%),13-35-0 (27.1%),19-26-3 (42.7%),66-89-0 (42.6%)
12,120-47-0 (71.9%),88-79-1 (52.7%),95-72-0 (56.9%),90-77-1 (53.9%),73-26-0 (73.7%),55-45-0 (55.0%),21-46-0 (31.3%),34-32-1 (51.5%),79-89-1 (47.0%)
13,111-54-0 (67.3%),87-79-0 (52.4%),86-81-0 (51.5%),83-85-0 (49.4%),65-34-0 (65.7%),51-48-0 (51.5%),20-46-0 (30.3%),31-36-0 (46.3%),80-87-1 (47.9%)
14,115-54-0 (68.0%),89-77-3 (53.6%),99-71-0 (58.2%),82-85-3 (49.1%),75-30-0 (71.4%),54-49-2 (52.4%),24-40-0 (37.5%),28-35-1 (44.5%),78-90-2 (46.5%)
15,126-50-0 (71.6%),90-76-10 (54.0%),91-85-0 (51.7%),81-85-10 (48.9%),75-34-0 (68.8%),55-50-4 (52.3%),16-51-0 (23.9%),26-35-6 (43.3%),84-90-2 (48.3%)
16,116-59-0 (66.3%),79-91-5 (46.6%),102-74-0 (58.0%),86-85-5 (50.3%),75-33-0 (69.4%),50-56-2 (47.2%),26-41-0 (38.8%),35-29-3 (54.5%),76-93-7 (45.2%)
17,130-44-0 (74.7%),83-88-3 (48.6%),100-75-0 (57.1%),87-85-3 (50.6%),85-29-0 (74.6%),55-56-3 (49.6%),15-45-0 (25.0%),32-28-0 (53.3%),84-89-2 (48.6%)
18,32-16-0 (66.7%),24-23-1 (51.0%),26-22-0 (54.2%),24-23-1 (51.0%),19-9-0 (67.9%),14-13-1 (51.8%),7-13-0 (35.0%),10-10-0 (50.0%),25-22-1 (53.1%)
Playoffs,82-47-0 (63.6%),54-74-1 (42.2%),77-43-0 (64.2%),57-62-1 (47.9%),70-35-0 (66.7%),47-58-0 (44.8%),7-8-0 (46.7%),10-4-1 (70.0%),58-68-3 (46.1%)
