Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,10-6 (62.5%),7-9-0  (43.8%),9-7 (56.3%),8-8-0 (50.0%),7-4 (63.6%),5-6-0 (45.5%),2-3 (40.0%),3-2-0 (60.0%),9-7-0 (56.3%)
2,10-6 (62.5%),7-8-1  (46.7%),14-2 (87.5%),11-4-1 (73.3%),9-1 (90.0%),6-3-1 (66.7%),5-1 (83.3%),5-1-0 (83.3%),7-7-2 (50.0%)
3,6-10 (37.5%),3-12-1  (20.0%),8-8 (50.0%),6-9-1 (40.0%),3-5 (37.5%),1-7-0 (12.5%),5-3 (62.5%),5-2-1 (71.4%),6-10-0 (37.5%)
4,10-5 (66.7%),6-9-0  (40.0%),8-7 (53.3%),4-11-0 (26.7%),7-4 (63.6%),3-8-0 (27.3%),1-3 (25.0%),1-3-0 (25.0%),8-7-0 (53.3%)
5,10-4 (71.4%),7-7-0  (50.0%),8-6 (57.1%),9-5-0 (64.3%),6-2 (75.0%),5-3-0 (62.5%),2-4 (33.3%),4-2-0 (66.7%),6-8-0 (42.9%)
6,5-8 (38.5%),2-11-0  (15.4%),9-5 (64.3%),6-8-0 (42.9%),5-4 (55.6%),2-7-0 (22.2%),4-0 (100.%),4-0-0 (100.%),9-4-1 (69.2%)
7,11-2 (84.6%),6-7-0  (46.2%),8-5 (61.5%),3-10-0 (23.1%),8-2 (80.0%),3-7-0 (30.0%),0-3 (0.0%),0-3-0 (0.0%),6-7-0 (46.2%)
8,8-6 (57.1%),6-8-0  (42.9%),6-7 (46.2%),4-9-0 (30.8%),5-5 (50.0%),3-7-0 (30.0%),1-2 (33.3%),1-2-0 (33.3%),6-7-1 (46.2%)
9,10-4 (71.4%),10-4-0  (71.4%),7-7 (50.0%),7-7-0 (50.0%),6-3 (66.7%),6-3-0 (66.7%),1-4 (20.0%),1-4-0 (20.0%),7-7-0 (50.0%)
10,8-5 (61.5%),6-8-0  (42.9%),8-5 (61.5%),6-8-0 (42.9%),5-2 (71.4%),3-5-0 (37.5%),3-3 (50.0%),3-3-0 (50.0%),8-6-0 (57.1%)
11,13-1 (92.9%),8-5-1  (61.5%),8-6 (57.1%),4-9-1 (30.8%),8-1 (88.9%),4-5-0 (44.4%),0-5 (0.0%),0-4-1 (0.0%),6-8-0 (42.9%)
12,11-5 (68.8%),8-8-0  (50.0%),7-9 (43.8%),10-6-0 (62.5%),4-2 (66.7%),4-2-0 (66.7%),3-7 (30.0%),6-4-0 (60.0%),8-8-0 (50.0%)
13,10-6 (62.5%),7-9-0  (43.8%),9-7 (56.3%),8-8-0 (50.0%),6-3 (66.7%),4-5-0 (44.4%),3-4 (42.9%),4-3-0 (57.1%),7-9-0 (43.8%)
14,10-6 (62.5%),9-6-1  (60.0%),10-6 (62.5%),9-6-1 (60.0%),8-4 (66.7%),7-4-1 (63.6%),2-2 (50.0%),2-2-0 (50.0%),8-8-0 (50.0%)
15,9-6 (60.0%),9-6-0  (60.0%),8-8 (50.0%),8-8-0 (50.0%),5-4 (55.6%),5-4-0 (55.6%),2-4 (33.3%),2-4-0 (33.3%),8-8-0 (50.0%)
16,10-6 (62.5%),9-7-0  (56.3%),6-10 (37.5%),7-9-0 (43.8%),5-5 (50.0%),5-5-0 (50.0%),1-5 (16.7%),2-4-0 (33.3%),7-8-1 (46.7%)
17,12-4 (75.0%),8-8-0  (50.0%),13-3 (81.3%),11-5-0 (68.8%),11-2 (84.6%),8-5-0 (61.5%),2-1 (66.7%),3-0-0 (100.%),7-9-0 (43.8%)
Playoffs,8-3 (72.7%),7-4-0  (63.6%),6-4 (60.0%),5-5-0 (50.0%),6-2 (75.0%),5-3-0 (62.5%),0-2 (0.0%),0-2-0 (0.0%),6-5-0 (54.5%)
