Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,9-5 (64.3%),7-7-0  (50.0%),11-3 (78.6%),11-3-0 (78.6%),7-1 (87.5%),6-2-0 (75.0%),4-2 (66.7%),5-1-0 (83.3%),7-7-0 (50.0%)
2,9-5 (64.3%),8-6-0  (57.1%),7-7 (50.0%),6-8-0 (42.9%),5-3 (62.5%),4-4-0 (50.0%),2-4 (33.3%),2-4-0 (33.3%),5-9-0 (35.7%)
3,10-3 (76.9%),6-6-1  (50.0%),10-4 (71.4%),6-7-1 (46.2%),10-3 (76.9%),6-6-1 (50.0%),0-0,0-0-0,4-10-0 (28.6%)
4,6-5 (54.5%),5-6-0  (45.5%),5-7 (41.7%),4-8-0 (33.3%),4-4 (50.0%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),7-4-1 (63.6%)
5,6-6 (50.0%),3-9-0  (25.0%),7-5 (58.3%),6-6-0 (50.0%),4-3 (57.1%),2-5-0 (28.6%),3-2 (60.0%),4-1-0 (80.0%),9-3-0 (75.0%)
6,10-2 (83.3%),9-2-1  (81.8%),8-4 (66.7%),7-4-1 (63.6%),8-2 (80.0%),7-2-1 (77.8%),0-2 (0.0%),0-2-0 (0.0%),10-2-0 (83.3%)
7,9-3 (75.0%),6-6-0  (50.0%),8-4 (66.7%),5-7-0 (41.7%),8-3 (72.7%),5-6-0 (45.5%),0-1 (0.0%),0-1-0 (0.0%),4-7-1 (36.4%)
8,9-2 (81.8%),7-4-0  (63.6%),6-6 (50.0%),6-6-0 (50.0%),5-2 (71.4%),4-3-0 (57.1%),0-4 (0.0%),1-3-0 (25.0%),5-7-0 (41.7%)
9,11-3 (78.6%),7-4-3  (63.6%),7-7 (50.0%),6-5-3 (54.5%),6-2 (75.0%),4-2-2 (66.7%),1-5 (16.7%),2-3-1 (40.0%),6-8-0 (42.9%)
10,8-4 (66.7%),7-5-0  (58.3%),5-7 (41.7%),4-8-0 (33.3%),5-4 (55.6%),4-5-0 (44.4%),0-3 (0.0%),0-3-0 (0.0%),4-8-0 (33.3%)
11,9-5 (64.3%),7-7-0  (50.0%),7-7 (50.0%),7-7-0 (50.0%),6-4 (60.0%),5-5-0 (50.0%),1-3 (25.0%),2-2-0 (50.0%),6-7-1 (46.2%)
12,7-7 (50.0%),5-8-1  (38.5%),8-6 (57.1%),6-7-1 (46.2%),5-4 (55.6%),3-5-1 (37.5%),3-2 (60.0%),3-2-0 (60.0%),9-5-0 (64.3%)
13,10-4 (71.4%),9-5-0  (64.3%),10-4 (71.4%),9-5-0 (64.3%),7-1 (87.5%),6-2-0 (75.0%),3-3 (50.0%),3-3-0 (50.0%),7-7-0 (50.0%)
14,9-3 (75.0%),7-5-0  (58.3%),6-6 (50.0%),6-6-0 (50.0%),6-3 (66.7%),5-4-0 (55.6%),0-3 (0.0%),1-2-0 (33.3%),6-6-0 (50.0%)
15,7-6 (53.8%),7-6-0  (53.8%),8-6 (57.1%),8-6-0 (57.1%),5-4 (55.6%),5-4-0 (55.6%),2-2 (50.0%),2-2-0 (50.0%),5-9-0 (35.7%)
16,10-4 (71.4%),7-5-2  (58.3%),9-5 (64.3%),9-3-2 (75.0%),6-1 (85.7%),5-1-1 (83.3%),3-4 (42.9%),4-2-1 (66.7%),9-4-1 (69.2%)
17,12-2 (85.7%),5-9-0  (35.7%),9-5 (64.3%),8-6-0 (57.1%),8-1 (88.9%),4-5-0 (44.4%),1-4 (20.0%),4-1-0 (80.0%),3-11-0 (21.4%)
Playoffs,8-3 (72.7%),7-4-0  (63.6%),8-2 (80.0%),7-3-0 (70.0%),8-2 (80.0%),7-3-0 (70.0%),0-0,0-0-0,4-7-0 (36.4%)
