Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Atlanta Falcons,3-11 (21.4%),6-7-1  (46.2%),0-0,0-0-0,1-6 (14.3%),3-4-0 (42.9%),0-0,0-0-0,--
Baltimore Colts,10-5 (66.7%),6-9  (40.0%),9-3 (75.0%),5-7-0  (41.7%),5-2 (71.4%),3-4-0 (42.9%),5-1 (83.3%),3-3-0 (50.0%),--
Boston Patriots,8-4-2 (66.7%),7-7  (50.0%),5-2 (71.4%),2-5-0  (28.6%),4-2 (66.7%),3-4-0 (42.9%),2-1 (66.7%),0-3-0 (0.0%),--
Buffalo Bills,9-4-1 (69.2%),10-4  (71.4%),6-3 (66.7%),6-3-0  (66.7%),4-2 (66.7%),5-2-0 (71.4%),4-2 (66.7%),4-2-0 (66.7%),--
Chicago Bears,5-7-2 (41.7%),6-7-1  (46.2%),3-2 (60.0%),2-4-1  (33.3%),4-1 (80.0%),3-3-1 (50.0%),2-0 (100.%),1-2-1 (33.3%),--
Cleveland Browns,9-5 (64.3%),8-5-1  (61.5%),8-3 (72.7%),6-4-1  (60.0%),5-2 (71.4%),4-2-1 (66.7%),4-1 (80.0%),2-2-1 (50.0%),--
Dallas Cowboys,10-3-1 (76.9%),8-6  (57.1%),10-3 (76.9%),8-6-0  (57.1%),6-1 (85.7%),6-1-0 (85.7%),6-1 (85.7%),6-1-0 (85.7%),--
Denver Broncos,4-10 (28.6%),6-8  (42.9%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),1-0 (100.%),1-0-0 (100.%),--
Detroit Lions,4-9-1 (30.8%),7-7  (50.0%),1-2 (33.3%),1-2-0  (33.3%),3-4 (42.9%),3-4-0 (42.9%),1-1 (50.0%),1-1-0 (50.0%),--
Green Bay Packers,12-2 (85.7%),9-5  (64.3%),11-2 (84.6%),8-5-0  (61.5%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),--
Houston Oilers,3-11 (21.4%),5-8-1  (38.5%),2-3 (40.0%),2-3-0  (40.0%),3-4 (42.9%),3-3-1 (50.0%),2-1 (66.7%),2-1-0 (66.7%),--
Kansas City Chiefs,11-2-1 (84.6%),9-5  (64.3%),9-2 (81.8%),7-5-0  (58.3%),4-2 (66.7%),3-4-0 (42.9%),4-2 (66.7%),3-4-0 (42.9%),--
Los Angeles Rams,8-6 (57.1%),7-7  (50.0%),6-3 (66.7%),5-4-0  (55.6%),5-2 (71.4%),5-2-0 (71.4%),4-1 (80.0%),4-1-0 (80.0%),--
Miami Dolphins,3-11 (21.4%),8-6  (57.1%),1-0 (100.%),0-1-0  (0.0%),2-5 (28.6%),5-2-0 (71.4%),1-0 (100.%),0-1-0 (0.0%),--
Minnesota Vikings,4-9-1 (30.8%),5-9  (35.7%),1-3 (25.0%),1-4-0  (20.0%),2-5 (28.6%),2-5-0 (28.6%),1-2 (33.3%),1-2-0 (33.3%),--
New York Giants,1-12-1 (7.7%),6-8  (42.9%),0-1 (0.0%),0-1-0  (0.0%),1-6 (14.3%),3-4-0 (42.9%),0-1 (0.0%),0-1-0 (0.0%),--
New York Jets,6-6-2 (50.0%),5-9  (35.7%),3-3 (50.0%),1-6-0  (14.3%),4-3 (57.1%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),--
Oakland Raiders,8-5-1 (61.5%),7-7  (50.0%),5-0 (100.%),3-3-0  (50.0%),3-3 (50.0%),2-5-0 (28.6%),3-0 (100.%),2-2-0 (50.0%),--
Philadelphia Eagles,9-6 (60.0%),10-5  (66.7%),5-1 (83.3%),4-2-0  (66.7%),5-2 (71.4%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
Pittsburgh Steelers,5-8-1 (38.5%),7-7  (50.0%),2-1 (66.7%),2-2-0  (50.0%),3-3 (50.0%),3-4-0 (42.9%),0-1 (0.0%),0-2-0 (0.0%),--
San Diego Chargers,7-6-1 (53.8%),5-8-1  (38.5%),7-5 (58.3%),5-7-1  (41.7%),5-2 (71.4%),4-3-0 (57.1%),5-2 (71.4%),4-3-0 (57.1%),--
San Francisco 49ers,6-6-2 (50.0%),7-7  (50.0%),3-2 (60.0%),2-3-0  (40.0%),4-2 (66.7%),4-3-0 (57.1%),2-2 (50.0%),1-3-0 (25.0%),--
St Louis Cardinals,8-5-1 (61.5%),5-9  (35.7%),6-3 (66.7%),2-7-0  (22.2%),5-1 (83.3%),3-4-0 (42.9%),4-0 (100.%),1-3-0 (25.0%),--
Washington Redskins,7-7 (50.0%),7-6-1  (53.8%),3-2 (60.0%),2-3-0  (40.0%),4-3 (57.1%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
